Time,generation(kWh),power(W),Irradiance (W/m2),Area,Efficiency
2022-09-01 00:00:00,0.0,0.0,18.61913333333333,156.69612,0.0
2022-09-01 00:15:00,0.0,0.0,19.18526666666667,156.69612,0.0
2022-09-01 00:30:00,0.0,0.0,19.8244,156.69612,0.0
2022-09-01 00:45:00,0.0,0.0,20.10293333333333,156.69612,0.0
2022-09-01 01:00:00,0.0,0.0,20.19786666666667,156.69612,0.0
2022-09-01 01:15:00,0.0,0.0,20.26393333333333,156.69612,0.0
2022-09-01 01:30:00,0.0,0.0,20.4042,156.69612,0.0
2022-09-01 01:45:00,0.0,0.0,20.10993333333333,156.69612,0.0
2022-09-01 02:00:00,0.0,0.0,19.98473333333333,156.69612,0.0
2022-09-01 02:15:00,0.0,0.0,19.97093333333333,156.69612,0.0
2022-09-01 02:30:00,0.0,0.0,20.25013333333333,156.69612,0.0
2022-09-01 02:45:00,0.0,0.0,20.41926666666667,156.69612,0.0
2022-09-01 03:00:00,0.0,0.0,20.42706666666667,156.69612,0.0
2022-09-01 03:15:00,0.0,0.0,20.39773333333333,156.69612,0.0
2022-09-01 03:30:00,0.0,0.0,20.32513333333333,156.69612,0.0
2022-09-01 03:45:00,0.0,0.0,20.27346666666666,156.69612,0.0
2022-09-01 04:00:00,0.0,0.0,20.50126666666667,156.69612,0.0
2022-09-01 04:15:00,0.0,0.0,20.75153333333333,156.69612,0.0
2022-09-01 04:30:00,0.0,0.0,20.83193333333333,156.69612,0.0
2022-09-01 04:45:00,0.0,0.0,20.8242,156.69612,0.0
2022-09-01 05:00:00,0.0,0.0,20.6846,156.69612,0.0
2022-09-01 05:15:00,0.0,0.0,20.54513333333334,156.69612,0.0
2022-09-01 05:30:00,0.0,0.0,20.7588,156.69612,0.0
2022-09-01 05:45:00,0.0,0.0,21.11173333333333,156.69612,0.0
2022-09-01 06:00:00,0.0,0.0,24.1488,156.69612,0.0
2022-09-01 06:15:00,0.06,319.624,33.92193333333334,156.69612,6.013129307045142
2022-09-01 06:30:00,0.217,996.2662,55.41593333333334,156.69612,11.473145502176056
2022-09-01 06:45:00,0.402,1655.9374,87.18393333333333,156.69612,12.12130037734623
2022-09-01 07:00:00,0.631,2624.2874,120.0086666666667,156.69612,13.955343851843331
2022-09-01 07:15:00,1.058,4372.2407,172.7806666666667,156.69612,16.149187404679278
2022-09-01 07:30:00,1.457,5891.634,223.5126666666667,156.69612,16.821912778778188
2022-09-01 07:45:00,1.815,7287.1973,271.164,156.69612,17.15024204026775
2022-09-01 08:00:00,2.219,8994.127,318.7646666666667,156.69612,18.006553534652333
2022-09-01 08:15:00,2.6670000000000003,10618.881,364.8773333333333,156.69612,18.572639360259238
2022-09-01 08:30:00,3.136,12325.338,406.214,156.69612,19.363582394314218
2022-09-01 08:45:00,3.532,14014.921,454.456,156.69612,19.680701280027847
2022-09-01 09:00:00,3.961,15586.807,477.902,156.69612,20.814216469931328
2022-09-01 09:15:00,2.62,11317.129,463.676,156.69612,15.576267828157095
2022-09-01 09:30:00,4.767,19055.61,522.4426666666666,156.69612,23.276944728409166
2022-09-01 09:45:00,4.936,20155.168,613.5066666666667,156.69612,20.965677121985554
2022-09-01 10:00:00,5.163,21696.49,632.1373333333333,156.69612,21.90381675738626
2022-09-01 10:15:00,5.577,22012.646,663.1346666666667,156.69612,21.1842100730293
2022-09-01 10:30:00,5.8180000000000005,22622.73,675.41,156.69612,21.37564769281588
2022-09-01 10:45:00,5.863,22966.502,697.8113333333333,156.69612,21.003834703395032
2022-09-01 11:00:00,6.2700000000000005,24656.307,706.5913333333333,156.69612,22.269039195462447
2022-09-01 11:15:00,6.384,24823.518,670.9533333333333,156.69612,23.61091252420569
2022-09-01 11:30:00,6.2940000000000005,24641.846,735.4413333333334,156.69612,21.382917567822282
2022-09-01 11:45:00,6.6080000000000005,25986.746,741.4646666666666,156.69612,22.366766216976657
2022-09-01 12:00:00,6.594,25744.572,758.1706666666666,156.69612,21.670077050325435
