Time,generation(kWh),power(W),Irradiance (W/m2),Area,Efficiency
2023-08-01 00:00:00,0.0,0.0,27.36,851.4612,0.0
2023-08-01 00:15:00,0.0,0.0,27.47073333333333,851.4612,0.0
2023-08-01 00:30:00,0.0,0.0,27.92673333333333,851.4612,0.0
2023-08-01 00:45:00,0.0,0.0,27.9266,851.4612,0.0
2023-08-01 01:00:00,0.0,0.0,28.10313333333333,851.4612,0.0
2023-08-01 01:15:00,0.0,0.0,28.18426666666667,851.4612,0.0
2023-08-01 01:30:00,0.0,0.0,28.25053333333333,851.4612,0.0
2023-08-01 01:45:00,0.0,0.0,28.17673333333333,851.4612,0.0
2023-08-01 02:00:00,0.0,0.0,27.77933333333333,851.4612,0.0
2023-08-01 02:15:00,0.0,0.0,27.88253333333333,851.4612,0.0
2023-08-01 02:30:00,0.0,0.0,28.24326666666667,851.4612,0.0
2023-08-01 02:45:00,0.0,0.0,28.44933333333334,851.4612,0.0
2023-08-01 03:00:00,0.0,0.0,28.45766666666667,851.4612,0.0
2023-08-01 03:15:00,0.0,0.0,28.39133333333333,851.4612,0.0
2023-08-01 03:30:00,0.0,0.0,28.47906666666666,851.4612,0.0
2023-08-01 03:45:00,0.0,0.0,28.6118,851.4612,0.0
2023-08-01 04:00:00,0.0,0.0,29.15626666666667,851.4612,0.0
2023-08-01 04:15:00,0.0,0.0,29.38466666666666,851.4612,0.0
2023-08-01 04:30:00,0.0,0.0,29.50246666666667,851.4612,0.0
2023-08-01 04:45:00,0.0,0.0,29.47286666666666,851.4612,0.0
2023-08-01 05:00:00,0.0,0.0,29.59093333333333,851.4612,0.0
2023-08-01 05:15:00,0.0,0.0,29.5172,851.4612,0.0
2023-08-01 05:30:00,0.0,0.0,29.99626666666667,851.4612,0.0
2023-08-01 05:45:00,0.0,0.0,33.1086,851.4612,0.0
2023-08-01 06:00:00,0.103,725.60596,53.41846666666667,851.4612,1.5953080658446543
2023-08-01 06:15:00,0.514,2079.121,96.147,851.4612,2.5396809692727826
2023-08-01 06:30:00,0.936,4050.295,145.8426666666666,851.4612,3.2616488034255458
2023-08-01 06:45:00,1.595,6716.3135,209.0706666666667,851.4612,3.772880007036556
2023-08-01 07:00:00,2.358,9650.624,277.7593333333334,851.4612,4.080579765507612
2023-08-01 07:15:00,3.247,13159.056,356.4753333333334,851.4612,4.335412134480224
2023-08-01 07:30:00,4.138,16733.484,433.252,851.4612,4.5360823892184765
2023-08-01 07:45:00,5.01,20150.146,502.8533333333334,851.4612,4.70621757527356
2023-08-01 08:00:00,5.992,24089.104,577.3413333333333,851.4612,4.9003052419910995
2023-08-01 08:15:00,6.881,27796.8,601.6306666666667,851.4612,5.426252195270499
2023-08-01 08:30:00,5.884,21406.55,518.958,851.4612,4.844507202017714
2023-08-01 08:45:00,10.287,40957.516,879.1293333333334,851.4612,5.47162060018091
2023-08-01 09:00:00,9.84,41533.08,823.372,851.4612,5.92424733738517
2023-08-01 09:15:00,11.957,46921.418,1000.95,851.4612,5.505463426787817
2023-08-01 09:30:00,13.499,54427.188,953.0373333333332,851.4612,6.707197902594296
2023-08-01 09:45:00,12.052,43024.68,892.1333333333333,851.4612,5.6639970686226375
2023-08-01 10:00:00,12.906,52061.67,904.014,851.4612,6.763602504532734
2023-08-01 10:15:00,12.764,46805.625,975.9953333333334,851.4612,5.632295669315455
2023-08-01 10:30:00,15.361,61727.824,1091.72,851.4612,6.640562042653308
2023-08-01 10:45:00,16.111,55542.438,1344.42,851.4612,4.852048260231164
2023-08-01 11:00:00,16.31,63287.977,1395.42,851.4612,5.326616228557832
2023-08-01 11:15:00,16.399,62999.926,1506.786666666667,851.4612,4.910473914120584
2023-08-01 11:30:00,16.492,64261.184,1427.881333333333,851.4612,5.285568973329032
2023-08-01 11:45:00,13.669,53674.08,1036.559333333333,851.4612,6.08142815194986
2023-08-01 12:00:00,15.72,65653.53,1324.633333333333,851.4612,5.820999202493498
2023-08-01 12:15:00,15.86,58029.527,1350.52,851.4612,5.046417155398139
2023-08-01 12:30:00,13.079,50707.562,968.286,851.4612,6.150412087786169
2023-08-01 12:45:00,11.02,45124.215,847.1306666666666,851.4612,6.255966198694907
2023-08-01 13:00:00,8.869,30551.268,651.0386666666667,851.4612,5.511344954702527
2023-08-01 13:15:00,4.871,17224.3,376.4573333333333,851.4612,5.373545827459258
2023-08-01 13:30:00,5.676,23140.068,415.922,851.4612,6.534131577061455
2023-08-01 13:45:00,5.838,22069.674,411.0753333333333,851.4612,6.305356378953902
2023-08-01 14:00:00,1.835,21566.988,404.076,851.4612,6.268470376154438
2023-08-01 14:15:00,,,421.4806666666667,851.4612,
2023-08-01 14:30:00,,,493.708,851.4612,
2023-08-01 14:45:00,,,765.474,851.4612,
2023-08-01 15:00:00,,,979.4273333333332,851.4612,
2023-08-01 15:15:00,,,796.1033333333332,851.4612,
2023-08-01 15:30:00,,,750.3340000000001,851.4612,
2023-08-01 15:45:00,,,934.1626666666668,851.4612,
2023-08-01 16:00:00,,,930.6793333333334,851.4612,
2023-08-01 16:15:00,,,720.1373333333333,851.4612,
2023-08-01 16:30:00,,,450.406,851.4612,
2023-08-01 16:45:00,,,360.97,851.4612,
2023-08-01 17:00:00,,,131.624,851.4612,
2023-08-01 17:15:00,,,111.2653333333333,851.4612,
2023-08-01 17:30:00,,,114.3813333333333,851.4612,
2023-08-01 17:45:00,,,88.41493333333332,851.4612,
2023-08-01 18:00:00,0.0,0.0,70.35706666666667,851.4612,0.0
