Time,generation(kWh),power(W),Irradiance (W/m2),Area,Efficiency
2/3/2023 0:00,0,0,0.235544,189.181872,0
2/3/2023 0:15,0,0,0.080971333,189.181872,0
2/3/2023 0:30,0,0,0.014722667,189.181872,0
2/3/2023 0:45,0,0,0.007362,189.181872,0
2/3/2023 1:00,0,0,0,189.181872,
2/3/2023 1:15,0,0,0.014722667,189.181872,0
2/3/2023 1:30,0,0,0.022084,189.181872,0
2/3/2023 1:45,0,0,0.007361333,189.181872,0
2/3/2023 2:00,0,0,0,189.181872,
2/3/2023 2:15,0,0,0.007361333,189.181872,0
2/3/2023 2:30,0,0,0.014723333,189.181872,0
2/3/2023 2:45,0,0,0.036807333,189.181872,0
2/3/2023 3:00,0,0,0.029445333,189.181872,0
2/3/2023 3:15,0,0,0.029445333,189.181872,0
2/3/2023 3:30,0,0,0.036806667,189.181872,0
2/3/2023 3:45,0,0,0.022084,189.181872,0
2/3/2023 4:00,0,0,0.088336,189.181872,0
2/3/2023 4:15,0,0,0.198760667,189.181872,0
2/3/2023 4:30,0,0,0.471145333,189.181872,0
2/3/2023 4:45,0,0,0.633094,189.181872,0
2/3/2023 5:00,0,0,0.655154667,189.181872,0
2/3/2023 5:15,0,0,0.699332667,189.181872,0
2/3/2023 5:30,0,0,0.574184,189.181872,0
2/3/2023 5:45,0,0,0.537371333,189.181872,0
2/3/2023 6:00,0,0,0.507912,189.181872,0
2/3/2023 6:15,0,0,0.772952667,189.181872,0
2/3/2023 6:30,0,0,2.009726667,189.181872,0
2/3/2023 6:45,0,1.7739191,8.834113333,189.181872,0.106142992
2/3/2023 7:00,0.066,361.9326,36.7574,189.181872,5.204792255
2/3/2023 7:15,0.235,1014.80347,77.24693333,189.181872,6.944183328
2/3/2023 7:30,0.386,1516.0626,102.4908,189.181872,7.819027355
2/3/2023 7:45,0.542,2427.573,136.898,189.181872,9.373368188
2/3/2023 8:00,0.953,3851.2146,239.9286667,189.181872,8.484691579
2/3/2023 8:15,1.176,4721.938,289.518,189.181872,8.621149808
2/3/2023 8:30,1.726,6595.2036,449.896,189.181872,7.748837557
2/3/2023 8:45,1.731,6823.7593,450.2013333,189.181872,8.01193475
2/3/2023 9:00,1.52,6128.9126,403.504,189.181872,8.028900305
2/3/2023 9:15,2.311,9187.337,673.0713333,189.181872,7.215210973
2/3/2023 9:30,2.363,7098.4517,609.056,189.181872,6.160654976
2/3/2023 9:45,2.777,10879.322,702.4173333,189.181872,8.187043395
2/3/2023 10:00,3.184,13824.8955,736.668,189.181872,9.919973994
2/3/2023 10:15,3.486,13599.336,855.9613333,189.181872,8.398157958
2/3/2023 10:30,3.629,14248.72,890.4833333,189.181872,8.458055649
