Time,generation(kWh),power(W),Irradiance (W/m2),Area,Efficiency
2022-09-01 00:00:00,0.0,0.0,18.61913333333333,770.645654,0.0
2022-09-01 00:15:00,0.0,0.0,19.18526666666667,770.645654,0.0
2022-09-01 00:30:00,0.0,0.0,19.8244,770.645654,0.0
2022-09-01 00:45:00,0.0,0.0,20.10293333333333,770.645654,0.0
2022-09-01 01:00:00,0.0,0.0,20.19786666666667,770.645654,0.0
2022-09-01 01:15:00,0.0,0.0,20.26393333333333,770.645654,0.0
2022-09-01 01:30:00,0.0,0.0,20.4042,770.645654,0.0
2022-09-01 01:45:00,0.0,0.0,20.10993333333333,770.645654,0.0
2022-09-01 02:00:00,0.0,0.0,19.98473333333333,770.645654,0.0
2022-09-01 02:15:00,0.0,0.0,19.97093333333333,770.645654,0.0
2022-09-01 02:30:00,0.0,0.0,20.25013333333333,770.645654,0.0
2022-09-01 02:45:00,0.0,0.0,20.41926666666667,770.645654,0.0
2022-09-01 03:00:00,0.0,0.0,20.42706666666667,770.645654,0.0
2022-09-01 03:15:00,0.0,0.0,20.39773333333333,770.645654,0.0
2022-09-01 03:30:00,0.0,0.0,20.32513333333333,770.645654,0.0
2022-09-01 03:45:00,0.0,0.0,20.27346666666666,770.645654,0.0
2022-09-01 04:00:00,0.0,0.0,20.50126666666667,770.645654,0.0
2022-09-01 04:15:00,0.0,0.0,20.75153333333333,770.645654,0.0
2022-09-01 04:30:00,0.0,0.0,20.83193333333333,770.645654,0.0
2022-09-01 04:45:00,0.0,0.0,20.8242,770.645654,0.0
2022-09-01 05:00:00,0.0,0.0,20.6846,770.645654,0.0
2022-09-01 05:15:00,0.0,0.0,20.54513333333334,770.645654,0.0
2022-09-01 05:30:00,0.0,0.0,20.7588,770.645654,0.0
2022-09-01 05:45:00,0.0,0.0,21.11173333333333,770.645654,0.0
2022-09-01 06:00:00,0.0,0.0,24.1488,770.645654,0.0
2022-09-01 06:15:00,0.098,597.0,33.92193333333334,770.645654,2.2836997336954363
2022-09-01 06:30:00,0.411,1880.3334,55.41593333333334,770.645654,4.402967448133478
2022-09-01 06:45:00,0.757,3136.6667,87.18393333333333,770.645654,4.6684980449675
2022-09-01 07:00:00,1.239,5306.3335,120.0086666666667,770.645654,5.7375594357564434
2022-09-01 07:15:00,2.134,8847.0,172.7806666666667,770.645654,6.6442528033245
2022-09-01 07:30:00,3.077,12557.667,223.5126666666667,770.645654,7.290412279934436
2022-09-01 07:45:00,4.109,16575.334,271.164,770.645654,7.9318688211721975
2022-09-01 08:00:00,5.213,21007.0,318.7646666666667,770.645654,8.551437494396211
2022-09-01 08:15:00,6.287,25042.666,364.8773333333333,770.645654,8.905923133217936
2022-09-01 08:30:00,7.267,28829.666,406.214,770.645654,9.209371453846913
2022-09-01 08:45:00,8.361,33100.668,454.456,770.645654,9.451270283315635
2022-09-01 09:00:00,8.99,36011.332,477.902,770.645654,9.777900282339989
2022-09-01 09:15:00,7.537,30669.334,463.676,770.645654,8.582918611710713
2022-09-01 09:30:00,10.093,44462.0,522.4426666666666,770.645654,11.043217433872517
2022-09-01 09:45:00,11.631,45621.668,613.5066666666667,770.645654,9.649329568622791
2022-09-01 10:00:00,12.213,47464.332,632.1373333333333,770.645654,9.743190623012781
2022-09-01 10:15:00,13.799,53708.668,663.1346666666667,770.645654,10.509641845839063
2022-09-01 10:30:00,13.931,54231.0,675.41,770.645654,10.418984518802544
2022-09-01 10:45:00,14.861,57758.0,697.8113333333333,770.645654,10.740373742527487
2022-09-01 11:00:00,15.083,60337.0,706.5913333333333,770.645654,11.080533549853739
2022-09-01 11:15:00,15.806,61486.668,670.9533333333333,770.645654,11.891425260002299
2022-09-01 11:30:00,15.702,61411.668,735.4413333333334,770.645654,10.835479263727535
2022-09-01 11:45:00,14.148,59341.0,741.4646666666666,770.645654,10.385075706254543
2022-09-01 12:00:00,16.254,63238.668,758.1706666666666,770.645654,10.823332550049656
2022-09-01 12:15:00,16.111,63652.332,756.6833333333333,770.645654,10.9155448247533
2022-09-01 12:30:00,16.056,56124.668,668.8,770.645654,10.889370813042992
2022-09-01 12:45:00,14.225,49108.0,709.4266666666666,770.645654,8.982350640382057
2022-09-01 13:00:00,13.11,61339.332,762.0853333333333,770.645654,10.444332876885985
2022-09-01 13:15:00,15.647,59482.668,732.2486666666666,770.645654,10.540886006877551
2022-09-01 13:30:00,11.74,53795.332,649.0086666666666,770.645654,10.755716889602292
2022-09-01 13:45:00,13.195,54227.0,756.7520000000001,770.645654,9.29837950682719
2022-09-01 14:00:00,10.913,27485.334,584.1026666666666,770.645654,6.106004166330605
2022-09-01 14:15:00,11.102,50283.0,454.448,770.645654,14.357613255489706
2022-09-01 14:30:00,9.294,30780.0,456.254,770.645654,8.754013196220141
2022-09-01 14:45:00,8.197000000000001,35798.668,350.3066666666667,770.645654,13.260616998344805
2022-09-01 15:00:00,10.078,36697.668,267.962,770.645654,17.77094501625362
2022-09-01 15:15:00,7.09,25264.0,320.3313333333334,770.645654,10.234059972774476
2022-09-01 15:30:00,3.082,10851.333,162.9513333333333,770.645654,8.64112801557721
2022-09-01 15:45:00,1.314,3719.0,79.55,770.645654,6.066403042562826
2022-09-01 16:00:00,0.09,498.66666,25.0626,770.645654,2.5818409015343673
2022-09-01 16:15:00,0.797,3717.6667,48.852,770.645654,9.874915075396546
2022-09-01 16:30:00,1.339,4765.0,67.5458,770.645654,9.15397709997988
2022-09-01 16:45:00,1.055,4673.0,54.99366666666666,770.645654,11.026263593492356
2022-09-01 17:00:00,1.378,5048.0,72.21433333333334,770.645654,9.07070841355189
2022-09-01 17:15:00,1.106,4058.0,61.04566666666667,770.645654,8.625861251907256
2022-09-01 17:30:00,0.724,2539.6667,45.7336,770.645654,7.2058729730324265
2022-09-01 17:45:00,0.5,1900.3334,38.46386666666667,770.645654,6.410946127212266
2022-09-01 18:00:00,0.315,1059.0,31.00926666666667,770.645654,4.431489562342746
