Time,generation(kWh),power(W),Irradiance (W/m2),Area,Efficiency
2022-09-01 00:00:00,0.0,0.0,18.61913333333333,455.23512,0.0
2022-09-01 00:15:00,0.0,0.0,19.18526666666667,455.23512,0.0
2022-09-01 00:30:00,0.0,0.0,19.8244,455.23512,0.0
2022-09-01 00:45:00,0.0,0.0,20.10293333333333,455.23512,0.0
2022-09-01 01:00:00,0.0,0.0,20.19786666666667,455.23512,0.0
2022-09-01 01:15:00,0.0,0.0,20.26393333333333,455.23512,0.0
2022-09-01 01:30:00,0.0,0.0,20.4042,455.23512,0.0
2022-09-01 01:45:00,0.0,0.0,20.10993333333333,455.23512,0.0
2022-09-01 02:00:00,0.0,0.0,19.98473333333333,455.23512,0.0
2022-09-01 02:15:00,0.0,0.0,19.97093333333333,455.23512,0.0
2022-09-01 02:30:00,0.0,0.0,20.25013333333333,455.23512,0.0
2022-09-01 02:45:00,0.0,0.0,20.41926666666667,455.23512,0.0
2022-09-01 03:00:00,0.0,0.0,20.42706666666667,455.23512,0.0
2022-09-01 03:15:00,0.0,0.0,20.39773333333333,455.23512,0.0
2022-09-01 03:30:00,0.0,0.0,20.32513333333333,455.23512,0.0
2022-09-01 03:45:00,0.0,0.0,20.27346666666666,455.23512,0.0
2022-09-01 04:00:00,0.0,0.0,20.50126666666667,455.23512,0.0
2022-09-01 04:15:00,0.0,0.0,20.75153333333333,455.23512,0.0
2022-09-01 04:30:00,0.0,0.0,20.83193333333333,455.23512,0.0
2022-09-01 04:45:00,0.0,0.0,20.8242,455.23512,0.0
2022-09-01 05:00:00,0.0,0.0,20.6846,455.23512,0.0
2022-09-01 05:15:00,0.0,0.0,20.54513333333334,455.23512,0.0
2022-09-01 05:30:00,0.0,0.0,20.7588,455.23512,0.0
2022-09-01 05:45:00,0.0,0.0,21.11173333333333,455.23512,0.0
2022-09-01 06:00:00,0.0,8.814591,24.1488,455.23512,0.080180886169132
2022-09-01 06:15:00,0.068,513.77563,33.92193333333334,455.23512,3.327033279166252
2022-09-01 06:30:00,0.339,1606.5449,55.41593333333334,455.23512,6.368284491248345
2022-09-01 06:45:00,0.724,3007.079,87.18393333333333,455.23512,7.576569652292343
2022-09-01 07:00:00,1.12,4728.263,120.0086666666667,455.23512,8.654724652687824
2022-09-01 07:15:00,2.003,8323.659,172.7806666666667,455.23512,10.582380558508637
2022-09-01 07:30:00,2.807,11445.293,223.5126666666667,455.23512,11.248355041642062
2022-09-01 07:45:00,3.659,14803.539,271.164,455.23512,11.992169584251036
2022-09-01 08:00:00,4.523,18191.113,318.7646666666667,455.23512,12.535836993176865
2022-09-01 08:15:00,5.346,21195.475,364.8773333333333,455.23512,12.760288963415801
2022-09-01 08:30:00,6.145,24569.05,406.214,455.23512,13.28610614766576
2022-09-01 08:45:00,7.131,28163.406,454.456,455.23512,13.613116937999019
2022-09-01 09:00:00,7.708,30463.648,477.902,455.23512,14.002555457033804
2022-09-01 09:15:00,6.472,22337.053,463.676,455.23512,10.58218861937394
2022-09-01 09:30:00,7.94,31783.164,522.4426666666666,455.23512,13.363577362344268
2022-09-01 09:45:00,9.74,39934.58,613.5066666666667,455.23512,14.298618393426247
2022-09-01 10:00:00,10.354,41796.51,632.1373333333333,455.23512,14.52422006620077
2022-09-01 10:15:00,11.122,43112.336,663.1346666666667,455.23512,14.281179046496778
2022-09-01 10:30:00,11.326,44415.51,675.41,455.23512,14.445461051260553
2022-09-01 10:45:00,11.869,46261.81,697.8113333333333,455.23512,14.56293270897997
2022-09-01 11:00:00,12.009,47094.254,706.5913333333333,455.23512,14.640767917214863
2022-09-01 11:15:00,12.901,50116.113,670.9533333333333,455.23512,16.40776041212215
2022-09-01 11:30:00,12.729,49788.49,735.4413333333334,455.23512,14.871170791733107
2022-09-01 11:45:00,11.446,45405.12,741.4646666666666,455.23512,13.451744455998808
2022-09-01 12:00:00,13.484,52537.113,758.1706666666666,455.23512,15.221710819962293
2022-09-01 12:15:00,13.433,52393.875,756.6833333333333,455.23512,15.210048263667789
2022-09-01 12:30:00,13.7,51750.414,668.8,455.23512,16.99737299785578
2022-09-01 12:45:00,11.855,48245.773,709.4266666666666,455.23512,14.93880989972939
2022-09-01 13:00:00,12.206,45996.97,762.0853333333333,455.23512,13.258361653357479
2022-09-01 13:15:00,12.1,47181.87,732.2486666666666,455.23512,14.154052460188277
2022-09-01 13:30:00,9.563,37261.984,649.0086666666666,455.23512,12.611876797317311
2022-09-01 13:45:00,11.385,43926.32,756.7520000000001,455.23512,12.750742769011394
2022-09-01 14:00:00,8.569,30796.492,584.1026666666666,455.23512,11.581806401025318
2022-09-01 14:15:00,9.286,32367.46,454.448,455.23512,15.645471807512886
2022-09-01 14:30:00,7.838,27711.201,456.254,455.23512,13.341753250731726
2022-09-01 14:45:00,6.152,20837.998,350.3066666666667,455.23512,13.066877822945743
2022-09-01 15:00:00,7.37,30149.441,267.962,455.23512,24.715550864781406
2022-09-01 15:15:00,5.505,20565.053,320.3313333333334,455.23512,14.102452724119216
2022-09-01 15:30:00,2.983,9199.893,162.9513333333333,455.23512,12.401924945061284
2022-09-01 15:45:00,1.208,3639.4404,79.55,455.23512,10.049828915399988
2022-09-01 16:00:00,0.101,338.75397,25.0626,455.23512,2.9690841844252978
2022-09-01 16:15:00,0.542,2745.484,48.852,455.23512,12.345276162345645
2022-09-01 16:30:00,1.11,3993.7227,67.5458,455.23512,12.988045394776101
2022-09-01 16:45:00,0.785,3395.0059,54.99366666666666,455.23512,13.561011905216084
2022-09-01 17:00:00,1.102,4165.146,72.21433333333334,455.23512,12.669838054479643
2022-09-01 17:15:00,0.899,3274.9805,61.04566666666667,455.23512,11.784688794677315
2022-09-01 17:30:00,0.598,2122.144,45.7336,455.23512,10.193039374982682
2022-09-01 17:45:00,0.4,1515.2476,38.46386666666667,455.23512,8.653561910307277
2022-09-01 18:00:00,0.264,912.7283,31.00926666666667,455.23512,6.465680816028915
2022-09-01 18:15:00,0.077,231.53613,21.81753333333333,455.23512,2.3311883425768856
2022-09-01 18:30:00,0.0,78.333336,15.4716,455.23512,1.1121814172695086
2022-09-01 18:45:00,0.0,0.0,12.626,455.23512,0.0
2022-09-01 19:00:00,0.0,0.0,12.4422,455.23512,0.0
2022-09-01 19:15:00,0.0,0.0,12.56706666666667,455.23512,0.0
2022-09-01 19:30:00,0.0,0.0,12.58133333333333,455.23512,0.0
2022-09-01 19:45:00,0.0,0.0,12.62613333333333,455.23512,0.0
2022-09-01 20:00:00,0.0,0.0,13.00826666666667,455.23512,0.0
2022-09-01 20:15:00,0.0,0.0,13.2658,455.23512,0.0
2022-09-01 20:30:00,0.0,0.0,13.50073333333333,455.23512,0.0
2022-09-01 20:45:00,0.0,0.0,13.736,455.23512,0.0
2022-09-01 21:00:00,0.0,0.0,14.3314,455.23512,0.0
2022-09-01 21:15:00,0.0,0.0,14.339,455.23512,0.0
2022-09-01 21:30:00,0.0,0.0,14.69953333333333,455.23512,0.0
2022-09-01 21:45:00,0.0,0.0,14.92,455.23512,0.0
2022-09-01 22:00:00,0.0,0.0,15.02273333333333,455.23512,0.0
2022-09-01 22:15:00,0.0,0.0,15.33826666666667,455.23512,0.0
2022-09-01 22:30:00,0.0,0.0,15.38986666666667,455.23512,0.0
2022-09-01 22:45:00,0.0,0.0,15.67786666666667,455.23512,0.0
2022-09-01 23:00:00,0.0,0.0,15.87613333333333,455.23512,0.0
2022-09-01 23:15:00,0.0,0.0,15.884,455.23512,0.0
2022-09-01 23:30:00,0.0,0.0,15.8836,455.23512,0.0
2022-09-01 23:45:00,0.0,0.0,15.89093333333333,455.23512,0.0
2022-09-02 00:00:00,0.0,0.0,15.95733333333333,455.23512,0.0
2022-09-02 00:15:00,0.0,0.0,16.3688,455.23512,0.0
2022-09-02 00:30:00,0.0,0.0,16.854,455.23512,0.0
2022-09-02 00:45:00,0.0,0.0,17.13353333333333,455.23512,0.0
2022-09-02 01:00:00,0.0,0.0,17.2068,455.23512,0.0
2022-09-02 01:15:00,0.0,0.0,17.19213333333333,455.23512,0.0
2022-09-02 01:30:00,0.0,0.0,17.2364,455.23512,0.0
2022-09-02 01:45:00,0.0,0.0,17.31686666666667,455.23512,0.0
2022-09-02 02:00:00,0.0,0.0,17.47886666666666,455.23512,0.0
2022-09-02 02:15:00,0.0,0.0,17.61146666666667,455.23512,0.0
2022-09-02 02:30:00,0.0,0.0,17.66246666666667,455.23512,0.0
2022-09-02 02:45:00,0.0,0.0,17.8682,455.23512,0.0
2022-09-02 03:00:00,0.0,0.0,17.90546666666667,455.23512,0.0
2022-09-02 03:15:00,0.0,0.0,18.023,455.23512,0.0
2022-09-02 03:30:00,0.0,0.0,18.11833333333333,455.23512,0.0
2022-09-02 03:45:00,0.0,0.0,18.24333333333334,455.23512,0.0
2022-09-02 04:00:00,0.0,0.0,18.56706666666667,455.23512,0.0
2022-09-02 04:15:00,0.0,0.0,18.6408,455.23512,0.0
2022-09-02 04:30:00,0.0,0.0,18.48566666666667,455.23512,0.0
2022-09-02 04:45:00,0.0,0.0,18.87493333333333,455.23512,0.0
2022-09-02 05:00:00,0.0,0.0,19.19153333333333,455.23512,0.0
2022-09-02 05:15:00,0.0,0.0,19.24353333333334,455.23512,0.0
2022-09-02 05:30:00,0.0,0.0,19.32386666666667,455.23512,0.0
2022-09-02 05:45:00,0.0,0.0,19.36833333333333,455.23512,0.0
2022-09-02 06:00:00,0.0,0.0,20.4426,455.23512,0.0
2022-09-02 06:15:00,0.045,368.88895,29.44406666666667,455.23512,2.752086593149969
2022-09-02 06:30:00,0.367,1681.3846,47.416,455.23512,7.789442789615936
2022-09-02 06:45:00,0.742,3078.4927,65.77713333333332,455.23512,10.280812214653752
2022-09-02 07:00:00,0.878,3517.1602,74.44013333333332,455.23512,10.378850314792551
2022-09-02 07:15:00,1.227,5079.926,93.26926666666668,455.23512,11.9641834788238
2022-09-02 07:30:00,1.678,6781.404,116.1526666666667,455.23512,12.824920274499497
2022-09-02 07:45:00,2.169,8856.354,145.8186666666667,455.23512,13.34154377558765
2022-09-02 08:00:00,3.209,13300.164,203.5413333333333,455.23512,14.353857217797747
2022-09-02 08:15:00,4.079,16178.53,244.5033333333334,455.23512,14.53511643649325
2022-09-02 08:30:00,4.173,15939.561,247.2533333333334,455.23512,14.161147348168923
2022-09-02 08:45:00,4.238,15455.225,262.5793333333334,455.23512,12.929419646485377
2022-09-02 09:00:00,5.271,23735.938,332.4653333333333,455.23512,15.68282413170516
2022-09-02 09:15:00,6.327,25206.371,376.9113333333333,455.23512,14.690459104697213
2022-09-02 09:30:00,6.771,26764.48,382.764,455.23512,15.360026550463733
2022-09-02 09:45:00,7.056,27568.23,379.87,455.23512,15.941828306539817
2022-09-02 10:00:00,6.729,25976.29,390.19,455.23512,14.6239680675788
2022-09-02 10:15:00,7.472,29653.914,444.658,455.23512,14.649410684628265
2022-09-02 10:30:00,9.076,34841.23,545.4106666666667,455.23512,14.032469020171881
2022-09-02 10:45:00,9.4,42130.01,585.9573333333334,455.23512,15.793915464351375
2022-09-02 11:00:00,10.391,41436.742,597.2426666666667,455.23512,15.240493014559624
2022-09-02 11:15:00,10.541,41017.633,604.3213333333333,455.23512,14.909631512544397
2022-09-02 11:30:00,10.609,41168.074,601.2833333333333,455.23512,15.03992339883491
