Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.0,2.2667696
2022-09-01 06:15:00,0.064,361.0004
2022-09-01 06:30:00,0.236,1095.8315
2022-09-01 06:45:00,0.51,2131.0986
2022-09-01 07:00:00,0.78,3320.6194
2022-09-01 07:15:00,1.304,5393.7827
2022-09-01 07:30:00,1.837,7456.614
2022-09-01 07:45:00,2.385,9613.631
2022-09-01 08:00:00,2.936,11795.754
2022-09-01 08:15:00,3.516,14056.743
2022-09-01 08:30:00,4.011,15895.275
2022-09-01 08:45:00,4.567,18058.26
2022-09-01 09:00:00,5.045,20326.816
2022-09-01 09:15:00,4.991,20640.822
2022-09-01 09:30:00,5.635,19822.574
2022-09-01 09:45:00,6.719,26617.096
2022-09-01 10:00:00,7.206,28545.021
2022-09-01 10:15:00,7.381,28958.31
2022-09-01 10:30:00,7.545,29360.42
2022-09-01 10:45:00,7.856,30880.957
2022-09-01 11:00:00,7.96,30859.395
2022-09-01 11:15:00,7.468,30921.145
2022-09-01 11:30:00,8.385,33031.6
2022-09-01 11:45:00,8.556,33175.99
2022-09-01 12:00:00,8.47,33295.6
2022-09-01 12:15:00,8.555,33245.188
2022-09-01 12:30:00,8.575,33307.707
2022-09-01 12:45:00,6.501,19934.264
2022-09-01 13:00:00,7.884,27534.994
2022-09-01 13:15:00,6.861,27771.164
2022-09-01 13:30:00,6.391,24097.195
2022-09-01 13:45:00,7.796,30270.691
2022-09-01 14:00:00,5.973,21472.475
2022-09-01 14:15:00,7.405,30223.102
2022-09-01 14:30:00,6.602,22796.877
2022-09-01 14:45:00,4.083,18916.564
2022-09-01 15:00:00,5.286,18276.725
2022-09-01 15:15:00,3.917,14178.678
2022-09-01 15:30:00,2.058,6832.923
2022-09-01 15:45:00,0.928,2873.7422
2022-09-01 16:00:00,0.099,222.4745
2022-09-01 16:15:00,0.315,1655.9574
2022-09-01 16:30:00,0.785,2858.7224
2022-09-01 16:45:00,0.504,2184.442
2022-09-01 17:00:00,0.821,3254.2817
2022-09-01 17:15:00,0.657,2362.5073
2022-09-01 17:30:00,0.443,1562.7592
2022-09-01 17:45:00,0.298,1150.5918
2022-09-01 18:00:00,0.218,754.00525
2022-09-01 18:15:00,0.088,262.85355
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.038,244.6156
2022-09-02 06:30:00,0.253,1153.196
2022-09-02 06:45:00,0.5,2067.5764
2022-09-02 07:00:00,0.603,2403.1704
2022-09-02 07:15:00,0.825,3368.248
2022-09-02 07:30:00,1.115,4512.2363
2022-09-02 07:45:00,1.435,5851.689
2022-09-02 08:00:00,2.105,8758.318
2022-09-02 08:15:00,2.701,10700.756
2022-09-02 08:30:00,2.736,10898.197
2022-09-02 08:45:00,3.02,12005.664
2022-09-02 09:00:00,3.635,14770.871
2022-09-02 09:15:00,4.377,17115.07
2022-09-02 09:30:00,4.422,17333.887
2022-09-02 09:45:00,4.515,16434.117
2022-09-02 10:00:00,4.474,16875.287
2022-09-02 10:15:00,5.011,22134.613
2022-09-02 10:30:00,5.945,23351.83
2022-09-02 10:45:00,5.385,23981.277
2022-09-02 11:00:00,6.929,27028.064
2022-09-02 11:15:00,7.0,27187.994
2022-09-02 11:30:00,6.977,27247.28
2022-09-02 11:45:00,6.864,26346.275
2022-09-02 12:00:00,7.29,29502.14
2022-09-02 12:15:00,5.654,19710.94
2022-09-02 12:30:00,5.618,24703.787
2022-09-02 12:45:00,5.913,18843.562
2022-09-02 13:00:00,6.187,25433.443
2022-09-02 13:15:00,6.535,25627.758
2022-09-02 13:30:00,6.495,25245.797
2022-09-02 13:45:00,6.499,25318.61
2022-09-02 14:00:00,6.498,25326.512
2022-09-02 14:15:00,6.849,27187.15
2022-09-02 14:30:00,6.893,26371.656
2022-09-02 14:45:00,6.575,25588.361
2022-09-02 15:00:00,5.721,20444.01
2022-09-02 15:15:00,5.81,23035.947
2022-09-02 15:30:00,5.295,19452.58
2022-09-02 15:45:00,4.85,19092.418
2022-09-02 16:00:00,4.356,16764.12
2022-09-02 16:15:00,3.524,11495.487
2022-09-02 16:30:00,2.794,10435.887
2022-09-02 16:45:00,2.217,7993.805
2022-09-02 17:00:00,1.925,6862.6304
2022-09-02 17:15:00,1.062,3674.593
2022-09-02 17:30:00,0.658,2405.8787
2022-09-02 17:45:00,0.551,2122.0684
2022-09-02 18:00:00,0.371,1254.2184
2022-09-02 18:15:00,0.175,572.2208
2022-09-02 18:30:00,0.025,70.30626
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 21:15:00,0.0,0.0
2022-09-02 21:30:00,0.0,0.0
2022-09-02 21:45:00,0.0,0.0
