Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.002,19.271622
2022-09-01 06:15:00,0.066,326.95233
2022-09-01 06:30:00,0.211,970.726
2022-09-01 06:45:00,0.401,1677.1694
2022-09-01 07:00:00,0.653,2775.4255
2022-09-01 07:15:00,1.06,4382.6636
2022-09-01 07:30:00,1.459,5904.044
2022-09-01 07:45:00,1.84,7400.4243
2022-09-01 08:00:00,2.224,8897.509
2022-09-01 08:15:00,2.584,10286.026
2022-09-01 08:30:00,2.887,11459.893
2022-09-01 08:45:00,3.286,12982.558
2022-09-01 09:00:00,3.493,14431.334
2022-09-01 09:15:00,2.985,9257.3955
2022-09-01 09:30:00,3.737,15217.822
2022-09-01 09:45:00,4.5200000000000005,17843.695
2022-09-01 10:00:00,4.601,15021.866
2022-09-01 10:15:00,4.666,18969.812
2022-09-01 10:30:00,4.944,19192.047
2022-09-01 10:45:00,5.086,19816.754
2022-09-01 11:00:00,5.253,20490.477
2022-09-01 11:15:00,5.3660000000000005,21381.156
2022-09-01 11:30:00,5.42,20888.064
2022-09-01 11:45:00,4.999,17724.932
2022-09-01 12:00:00,5.572,21636.652
2022-09-01 12:15:00,5.5920000000000005,22153.512
2022-09-01 12:30:00,5.2250000000000005,19007.521
2022-09-01 12:45:00,5.564,20639.97
2022-09-01 13:00:00,5.522,23033.828
2022-09-01 13:15:00,5.144,16646.54
2022-09-01 13:30:00,4.728,18297.719
2022-09-01 13:45:00,5.126,17260.271
2022-09-01 14:00:00,4.3100000000000005,12844.884
2022-09-01 14:15:00,3.044,13784.3
2022-09-01 14:30:00,3.336,11040.672
2022-09-01 14:45:00,2.888,11993.032
2022-09-01 15:00:00,2.513,11288.157
2022-09-01 15:15:00,2.559,9049.241
2022-09-01 15:30:00,1.171,4120.2056
2022-09-01 15:45:00,0.501,1431.4077
2022-09-01 16:00:00,0.047,199.06854
2022-09-01 16:15:00,0.296,1432.3074
2022-09-01 16:30:00,0.464,1625.3558
2022-09-01 16:45:00,0.356,1573.712
2022-09-01 17:00:00,0.485,1737.8025
2022-09-01 17:15:00,0.397,1459.3158
2022-09-01 17:30:00,0.266,948.1135
2022-09-01 17:45:00,0.199,752.6931
2022-09-01 18:00:00,0.123,411.53928
2022-09-01 18:15:00,0.037,105.331085
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.047,265.77515
2022-09-02 06:30:00,0.205,914.27826
2022-09-02 06:45:00,0.365,1494.3204
2022-09-02 07:00:00,0.432,1726.6486
2022-09-02 07:15:00,0.602,2469.844
2022-09-02 07:30:00,0.796,3201.8857
2022-09-02 07:45:00,1.04,4285.7163
2022-09-02 08:00:00,1.517,6197.948
2022-09-02 08:15:00,1.862,7317.442
2022-09-02 08:30:00,1.89,7424.688
2022-09-02 08:45:00,1.947,7551.732
2022-09-02 09:00:00,2.5,9941.324
2022-09-02 09:15:00,2.905,11113.738
2022-09-02 09:30:00,3.036,12098.865
2022-09-02 09:45:00,3.0700000000000003,11667.597
2022-09-02 10:00:00,3.059,11937.724
2022-09-02 10:15:00,3.351,13998.328
2022-09-02 10:30:00,4.298,16850.36
2022-09-02 10:45:00,4.624,17426.883
2022-09-02 11:00:00,4.572,15533.906
2022-09-02 11:15:00,4.612,18137.91
2022-09-02 11:30:00,4.621,17911.502
2022-09-02 11:45:00,4.463,17354.023
2022-09-02 12:00:00,4.932,17275.748
2022-09-02 12:15:00,3.5740000000000003,13885.133
2022-09-02 12:30:00,3.726,15424.21
2022-09-02 12:45:00,4.134,16777.875
2022-09-02 13:00:00,4.235,16808.818
2022-09-02 13:15:00,3.978,14335.067
2022-09-02 13:30:00,4.321,16812.746
2022-09-02 13:45:00,4.304,17037.379
2022-09-02 14:00:00,4.304,15115.843
2022-09-02 14:15:00,4.329,18360.904
2022-09-02 14:30:00,4.561,18015.625
2022-09-02 14:45:00,4.38,17573.906
2022-09-02 15:00:00,3.707,15547.952
2022-09-02 15:15:00,4.281,16644.979
2022-09-02 15:30:00,3.593,13907.212
2022-09-02 15:45:00,3.229,13380.04
2022-09-02 16:00:00,3.005,10272.131
2022-09-02 16:15:00,2.634,9904.852
2022-09-02 16:30:00,2.132,8115.694
2022-09-02 16:45:00,1.806,7000.82
2022-09-02 17:00:00,1.573,6031.235
2022-09-02 17:15:00,1.322,4881.812
2022-09-02 17:30:00,0.903,3276.5596
2022-09-02 17:45:00,0.607,2319.6118
2022-09-02 18:00:00,0.261,883.6919
2022-09-02 18:15:00,0.112,356.99957
2022-09-02 18:30:00,0.003,18.24735
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 21:15:00,0.0,0.0
