Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.0,93.0
2022-09-01 06:15:00,0.205,1390.3333
2022-09-01 06:30:00,0.9,4277.0
2022-09-01 06:45:00,2.002,8283.666
2022-09-01 07:00:00,3.051,13141.334
2022-09-01 07:15:00,5.179,21372.332
2022-09-01 07:30:00,7.141,28950.332
2022-09-01 07:45:00,9.144,36787.332
2022-09-01 08:00:00,11.053,43994.332
2022-09-01 08:15:00,13.019,51611.0
2022-09-01 08:30:00,14.638,58352.664
2022-09-01 08:45:00,16.653,65503.67
2022-09-01 09:00:00,17.833000000000002,68942.664
2022-09-01 09:15:00,14.508,54241.336
2022-09-01 09:30:00,19.211,79004.33
2022-09-01 09:45:00,22.038,90684.67
2022-09-01 10:00:00,21.742,78806.664
2022-09-01 10:15:00,25.284,98126.67
2022-09-01 10:30:00,25.114,97608.67
2022-09-01 10:45:00,26.18,101736.0
2022-09-01 11:00:00,25.535,104243.33
2022-09-01 11:15:00,28.086,106526.0
2022-09-01 11:30:00,27.363,105417.67
2022-09-01 11:45:00,26.211,107699.67
2022-09-01 12:00:00,28.457,110691.0
2022-09-01 12:15:00,27.888,100949.67
2022-09-01 12:30:00,30.079,115604.0
2022-09-01 12:45:00,23.761,94613.0
2022-09-01 13:00:00,25.854,108837.67
2022-09-01 13:15:00,29.223,108510.33
2022-09-01 13:30:00,22.643,92919.0
2022-09-01 13:45:00,22.513,64762.664
2022-09-01 14:00:00,19.183,98194.0
2022-09-01 14:15:00,20.753,52011.336
2022-09-01 14:30:00,17.952,61712.664
2022-09-01 14:45:00,14.432,61765.336
2022-09-01 15:00:00,18.136,76922.67
2022-09-01 15:15:00,12.169,48397.0
2022-09-01 15:30:00,6.019,20447.334
2022-09-01 15:45:00,2.613,7828.0
2022-09-01 16:00:00,0.185,691.3333
2022-09-01 16:15:00,1.235,5881.667
2022-09-01 16:30:00,2.501,8969.667
2022-09-01 16:45:00,1.748,7813.0
2022-09-01 17:00:00,2.5340000000000003,9921.0
2022-09-01 17:15:00,2.008,7403.0
2022-09-01 17:30:00,1.33,4630.3335
2022-09-01 17:45:00,0.866,3317.0
2022-09-01 18:00:00,0.585,2004.6665
2022-09-01 18:15:00,0.181,572.0
2022-09-01 18:30:00,0.0,60.666668
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.094,964.3334
2022-09-02 06:30:00,0.8200000000000001,3778.333
2022-09-02 06:45:00,1.641,6795.0
2022-09-02 07:00:00,1.907,7762.334
2022-09-02 07:15:00,2.691,10987.0
2022-09-02 07:30:00,3.673,14867.0
2022-09-02 07:45:00,4.765,19396.0
2022-09-02 08:00:00,7.138,29858.668
2022-09-02 08:15:00,9.124,36395.332
2022-09-02 08:30:00,9.208,35996.336
2022-09-02 08:45:00,9.49,36984.336
2022-09-02 09:00:00,11.578,47393.336
2022-09-02 09:15:00,13.634,49802.336
2022-09-02 09:30:00,14.775,57406.336
2022-09-02 09:45:00,15.485,56932.0
2022-09-02 10:00:00,14.455,57886.0
2022-09-02 10:15:00,16.543,74369.0
2022-09-02 10:30:00,18.826,68803.664
2022-09-02 10:45:00,18.896,72501.67
2022-09-02 11:00:00,21.821,87415.0
2022-09-02 11:15:00,22.06,85751.0
2022-09-02 11:30:00,22.307,87396.664
2022-09-02 11:45:00,22.135,84908.336
2022-09-02 12:00:00,23.145,95034.33
2022-09-02 12:15:00,14.728,52027.664
2022-09-02 12:30:00,16.643,70139.67
2022-09-02 12:45:00,19.206,71106.664
2022-09-02 13:00:00,21.082,84563.664
2022-09-02 13:15:00,19.683,79138.336
2022-09-02 13:30:00,21.115,82264.664
2022-09-02 13:45:00,21.432,83932.336
2022-09-02 14:00:00,21.04,84542.0
2022-09-02 14:15:00,21.989,90890.0
2022-09-02 14:30:00,23.002,88724.336
2022-09-02 14:45:00,21.911,79567.0
2022-09-02 15:00:00,19.507,53021.664
2022-09-02 15:15:00,19.607,79017.67
2022-09-02 15:30:00,17.419,64278.664
2022-09-02 15:45:00,15.791,63480.332
2022-09-02 16:00:00,14.378,57318.0
2022-09-02 16:15:00,12.132,46067.332
2022-09-02 16:30:00,9.683,35591.664
2022-09-02 16:45:00,7.913,30263.0
2022-09-02 17:00:00,6.7250000000000005,24969.0
2022-09-02 17:15:00,5.12,18424.0
2022-09-02 17:30:00,2.806,9444.0
2022-09-02 17:45:00,1.824,6943.0
2022-09-02 18:00:00,1.114,3748.0
2022-09-02 18:15:00,0.483,1547.3334
2022-09-02 18:30:00,0.0,173.33334
2022-09-02 18:45:00,0.0,27.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 21:15:00,0.0,0.0
2022-09-02 21:30:00,0.0,0.0
2022-09-02 21:45:00,0.0,0.0
