Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.0,1.9095675
2022-09-01 06:15:00,0.053,342.15018
2022-09-01 06:30:00,0.251,1186.9637
2022-09-01 06:45:00,0.558,2354.4624
2022-09-01 07:00:00,0.883,3735.0825
2022-09-01 07:15:00,1.459,6025.075
2022-09-01 07:30:00,2.01,8128.3535
2022-09-01 07:45:00,2.503,10029.281
2022-09-01 08:00:00,2.987,11929.705
2022-09-01 08:15:00,3.454,13748.104
2022-09-01 08:30:00,4.082,16284.916
2022-09-01 08:45:00,4.63,18163.387
2022-09-01 09:00:00,5.254,19914.23
2022-09-01 09:15:00,4.237,14723.53
2022-09-01 09:30:00,5.956,24184.256
2022-09-01 09:45:00,6.656000000000001,27717.86
2022-09-01 10:00:00,6.534,26661.777
2022-09-01 10:15:00,7.621,29529.09
2022-09-01 10:30:00,7.707,30076.988
2022-09-01 10:45:00,8.101,31850.492
2022-09-01 11:00:00,8.141,32760.93
2022-09-01 11:15:00,8.669,33786.996
2022-09-01 11:30:00,8.354000000000001,32517.184
2022-09-01 11:45:00,7.516,30273.217
2022-09-01 12:00:00,8.092,31171.033
2022-09-01 12:15:00,7.507000000000001,26680.238
2022-09-01 12:30:00,7.835,29999.25
2022-09-01 12:45:00,6.378,24802.646
2022-09-01 13:00:00,6.3100000000000005,23359.488
2022-09-01 13:15:00,6.501,24485.78
2022-09-01 13:30:00,5.056,17885.96
2022-09-01 13:45:00,5.124,17867.027
2022-09-01 14:00:00,4.226,17232.727
2022-09-01 14:15:00,4.251,14381.372
2022-09-01 14:30:00,3.5620000000000003,12848.637
2022-09-01 14:45:00,3.129,12357.294
2022-09-01 15:00:00,3.5340000000000003,13678.314
2022-09-01 15:15:00,2.619,9421.882
2022-09-01 15:30:00,1.503,5294.218
2022-09-01 15:45:00,0.634,1840.493
2022-09-01 16:00:00,0.02,143.30594
2022-09-01 16:15:00,0.356,1706.9656
2022-09-01 16:30:00,0.6920000000000001,2457.0864
2022-09-01 16:45:00,0.5,2226.4763
2022-09-01 17:00:00,0.6970000000000001,2629.4014
2022-09-01 17:15:00,0.528,1905.4534
2022-09-01 17:30:00,0.329,1145.3601
2022-09-01 17:45:00,0.208,790.57324
2022-09-01 18:00:00,0.135,448.96246
2022-09-01 18:15:00,0.022,87.21077
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.03,214.63052
2022-09-02 06:30:00,0.235,1069.7089
2022-09-02 06:45:00,0.459,1882.6279
2022-09-02 07:00:00,0.521,2067.5107
2022-09-02 07:15:00,0.754,3089.4058
2022-09-02 07:30:00,1.033,4172.103
2022-09-02 07:45:00,1.353,5567.986
2022-09-02 08:00:00,2.049,8499.836
2022-09-02 08:15:00,2.602,9911.168
2022-09-02 08:30:00,2.603,10280.452
2022-09-02 08:45:00,2.654,10218.059
2022-09-02 09:00:00,3.311,12927.379
2022-09-02 09:15:00,3.887,15342.85
2022-09-02 09:30:00,4.314,16957.82
2022-09-02 09:45:00,4.567,17438.879
2022-09-02 10:00:00,4.195,14866.152
2022-09-02 10:15:00,4.872,18962.906
2022-09-02 10:30:00,5.574,20109.414
2022-09-02 10:45:00,5.5600000000000005,19313.43
2022-09-02 11:00:00,6.726,24591.344
2022-09-02 11:15:00,6.785,26225.16
2022-09-02 11:30:00,6.808,26613.184
2022-09-02 11:45:00,6.513,25130.719
2022-09-02 12:00:00,6.563,24496.445
2022-09-02 12:15:00,4.1370000000000005,14080.8125
2022-09-02 12:30:00,4.551,17695.404
2022-09-02 12:45:00,5.226,20073.314
2022-09-02 13:00:00,5.263,18408.826
2022-09-02 13:15:00,4.6530000000000005,19062.771
2022-09-02 13:30:00,4.57,17699.473
2022-09-02 13:45:00,4.276,16512.152
2022-09-02 14:00:00,3.892,14346.001
2022-09-02 14:15:00,3.816,15612.342
2022-09-02 14:30:00,3.61,13590.633
2022-09-02 14:45:00,3.024,11773.799
2022-09-02 15:00:00,2.99,11836.76
2022-09-02 15:15:00,3.039,12079.105
2022-09-02 15:30:00,2.4290000000000003,8769.101
2022-09-02 15:45:00,2.138,8467.055
2022-09-02 16:00:00,2.106,7874.614
2022-09-02 16:15:00,1.844,6823.7783
2022-09-02 16:30:00,1.457,5458.6694
2022-09-02 16:45:00,1.217,4675.7646
2022-09-02 17:00:00,1.156,4478.5923
2022-09-02 17:15:00,1.021,3735.9976
2022-09-02 17:30:00,0.5640000000000001,1955.2122
2022-09-02 17:45:00,0.441,1659.2782
2022-09-02 18:00:00,0.244,809.24023
2022-09-02 18:15:00,0.092,287.2837
2022-09-02 18:30:00,0.0,1.2621026
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
