Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.0,0.0
2022-09-01 06:15:00,0.017,122.0
2022-09-01 06:30:00,0.088,410.0
2022-09-01 06:45:00,0.171,696.3333
2022-09-01 07:00:00,0.245,1044.6666
2022-09-01 07:15:00,0.419,1756.3334
2022-09-01 07:30:00,0.624,2569.3333
2022-09-01 07:45:00,0.863,3499.0
2022-09-01 08:00:00,1.102,4494.6665
2022-09-01 08:15:00,1.475,5944.0
2022-09-01 08:30:00,1.787,7183.0
2022-09-01 08:45:00,2.09,8400.333
2022-09-01 09:00:00,2.466,9778.0
2022-09-01 09:15:00,1.77,5793.6665
2022-09-01 09:30:00,2.756,10893.333
2022-09-01 09:45:00,3.015,12064.667
2022-09-01 10:00:00,3.024,11886.0
2022-09-01 10:15:00,3.41,12165.667
2022-09-01 10:30:00,3.65,14294.667
2022-09-01 10:45:00,3.789,14652.667
2022-09-01 11:00:00,3.978,15657.0
2022-09-01 11:15:00,4.16,15941.667
2022-09-01 11:30:00,3.995,15804.667
2022-09-01 11:45:00,4.062,14707.0
2022-09-01 12:00:00,4.258,16578.666
2022-09-01 12:15:00,4.213,16399.334
2022-09-01 12:30:00,1.759,8303.667
2022-09-01 12:45:00,1.346,5535.0
2022-09-01 13:00:00,2.22,6498.6665
2022-09-01 13:15:00,3.892,13656.667
2022-09-01 13:30:00,2.855,8712.0
2022-09-01 13:45:00,2.9410000000000003,11208.333
2022-09-01 14:00:00,2.462,11148.667
2022-09-01 14:15:00,2.926,12768.667
2022-09-01 14:30:00,2.265,7163.0
2022-09-01 14:45:00,1.868,6353.0
2022-09-01 15:00:00,2.392,8208.667
2022-09-01 15:15:00,1.567,6391.6665
2022-09-01 15:30:00,0.809,2719.6667
2022-09-01 15:45:00,0.366,1166.3334
2022-09-01 16:00:00,0.038,83.0
2022-09-01 16:15:00,0.166,853.0
2022-09-01 16:30:00,0.373,1335.3334
2022-09-01 16:45:00,0.27,1182.3334
2022-09-01 17:00:00,0.341,1313.0
2022-09-01 17:15:00,0.286,1063.6666
2022-09-01 17:30:00,0.196,693.0
2022-09-01 17:45:00,0.131,498.0
2022-09-01 18:00:00,0.092,313.0
2022-09-01 18:15:00,0.029,77.666664
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.011,96.0
2022-09-02 06:30:00,0.109,505.33334
2022-09-02 06:45:00,0.232,970.6667
2022-09-02 07:00:00,0.276,1102.0
2022-09-02 07:15:00,0.373,1536.3334
2022-09-02 07:30:00,0.523,2111.3333
2022-09-02 07:45:00,0.669,2731.3333
2022-09-02 08:00:00,0.974,4042.6667
2022-09-02 08:15:00,1.273,5053.3335
2022-09-02 08:30:00,1.319,5144.0
2022-09-02 08:45:00,1.376,5805.6665
2022-09-02 09:00:00,1.668,6551.3335
2022-09-02 09:15:00,1.877,6708.6665
2022-09-02 09:30:00,2.137,8584.0
2022-09-02 09:45:00,2.287,9061.333
2022-09-02 10:00:00,2.399,8769.0
2022-09-02 10:15:00,2.2840000000000003,9771.0
2022-09-02 10:30:00,2.77,9667.0
2022-09-02 10:45:00,2.626,7619.0
2022-09-02 11:00:00,3.202,13549.667
2022-09-02 11:15:00,3.33,12955.667
2022-09-02 11:30:00,3.388,13193.0
2022-09-02 11:45:00,3.382,13080.667
2022-09-02 12:00:00,3.407,13989.0
2022-09-02 12:15:00,3.024,13561.333
2022-09-02 12:30:00,3.036,9503.333
2022-09-02 12:45:00,3.207,12702.333
2022-09-02 13:00:00,3.1870000000000003,11515.333
2022-09-02 13:15:00,3.18,12258.667
2022-09-02 13:30:00,3.108,12607.0
2022-09-02 13:45:00,3.3040000000000003,13077.667
2022-09-02 14:00:00,3.02,12518.333
2022-09-02 14:15:00,3.3240000000000003,13616.333
2022-09-02 14:30:00,3.402,12930.0
2022-09-02 14:45:00,3.1670000000000003,9918.0
2022-09-02 15:00:00,3.065,12276.667
2022-09-02 15:15:00,2.983,11413.667
2022-09-02 15:30:00,2.491,9630.333
2022-09-02 15:45:00,2.149,7759.3335
2022-09-02 16:00:00,1.949,7053.6665
2022-09-02 16:15:00,1.729,6809.0
2022-09-02 16:30:00,1.425,5385.6665
2022-09-02 16:45:00,1.141,4350.0
2022-09-02 17:00:00,0.964,3631.0
2022-09-02 17:15:00,0.712,2454.6667
2022-09-02 17:30:00,0.321,1175.0
2022-09-02 17:45:00,0.259,993.0
2022-09-02 18:00:00,0.171,567.3333
2022-09-02 18:15:00,0.074,240.0
2022-09-02 18:30:00,0.0,14.666667
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 21:15:00,0.0,0.0
2022-09-02 21:30:00,0.0,0.0
