Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.0,21.0
2022-09-01 06:15:00,0.065,378.66666
2022-09-01 06:30:00,0.262,1212.6666
2022-09-01 06:45:00,0.507,2096.6667
2022-09-01 07:00:00,0.756,3176.0
2022-09-01 07:15:00,1.247,5152.3335
2022-09-01 07:30:00,1.793,7378.0
2022-09-01 07:45:00,2.46,9983.0
2022-09-01 08:00:00,3.08,12399.667
2022-09-01 08:15:00,3.706,14748.667
2022-09-01 08:30:00,4.229,16832.334
2022-09-01 08:45:00,4.837,19291.0
2022-09-01 09:00:00,5.424,21097.666
2022-09-01 09:15:00,4.824,15950.333
2022-09-01 09:30:00,6.234,25077.0
2022-09-01 09:45:00,6.851,23682.0
2022-09-01 10:00:00,6.754,30426.666
2022-09-01 10:15:00,7.79,30136.334
2022-09-01 10:30:00,7.889,30804.666
2022-09-01 10:45:00,8.228,32040.0
2022-09-01 11:00:00,7.68,28641.0
2022-09-01 11:15:00,8.947000000000001,34470.0
2022-09-01 11:30:00,8.604000000000001,34156.0
2022-09-01 11:45:00,8.879,32743.0
2022-09-01 12:00:00,9.212,35838.332
2022-09-01 12:15:00,9.278,36199.0
2022-09-01 12:30:00,9.801,38851.332
2022-09-01 12:45:00,7.458,27247.334
2022-09-01 13:00:00,8.504,24810.666
2022-09-01 13:15:00,9.066,36114.0
2022-09-01 13:30:00,7.381,29802.0
2022-09-01 13:45:00,6.914,22702.666
2022-09-01 14:00:00,6.519,20484.666
2022-09-01 14:15:00,7.684,32261.334
2022-09-01 14:30:00,5.757000000000001,21444.334
2022-09-01 14:45:00,4.813,14989.667
2022-09-01 15:00:00,6.051,22349.666
2022-09-01 15:15:00,3.869,14207.0
2022-09-01 15:30:00,1.792,6306.0
2022-09-01 15:45:00,0.713,1993.3334
2022-09-01 16:00:00,0.05,316.66666
2022-09-01 16:15:00,0.457,2125.3333
2022-09-01 16:30:00,0.774,2782.3333
2022-09-01 16:45:00,0.63,2817.3333
2022-09-01 17:00:00,0.839,3040.0
2022-09-01 17:15:00,0.64,2327.0
2022-09-01 17:30:00,0.414,1452.3334
2022-09-01 17:45:00,0.289,1105.0
2022-09-01 18:00:00,0.182,607.0
2022-09-01 18:15:00,0.041,161.0
2022-09-01 18:30:00,0.0,33.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.049,377.66666
2022-09-02 06:30:00,0.295,1322.0
2022-09-02 06:45:00,0.562,2298.3333
2022-09-02 07:00:00,0.644,2577.3333
2022-09-02 07:15:00,0.909,3747.6667
2022-09-02 07:30:00,1.228,4964.0
2022-09-02 07:45:00,1.594,6557.0
2022-09-02 08:00:00,2.348,9660.0
2022-09-02 08:15:00,2.888,11176.0
2022-09-02 08:30:00,2.908,11393.333
2022-09-02 08:45:00,3.144,12990.333
2022-09-02 09:00:00,3.968,17098.666
2022-09-02 09:15:00,4.378,17101.334
2022-09-02 09:30:00,4.799,19087.334
2022-09-02 09:45:00,4.86,18294.0
2022-09-02 10:00:00,4.628,17279.666
2022-09-02 10:15:00,6.01,24173.334
2022-09-02 10:30:00,6.088,24342.0
2022-09-02 10:45:00,5.973,22546.0
2022-09-02 11:00:00,7.009,24966.666
2022-09-02 11:15:00,7.1850000000000005,27829.334
2022-09-02 11:30:00,7.412,28960.334
2022-09-02 11:45:00,7.332,28516.334
2022-09-02 12:00:00,7.594,27392.0
2022-09-02 12:15:00,4.667,17712.666
2022-09-02 12:30:00,5.9510000000000005,21854.334
2022-09-02 12:45:00,6.482,28184.0
2022-09-02 13:00:00,7.127,21853.0
2022-09-02 13:15:00,7.0120000000000005,28394.334
2022-09-02 13:30:00,7.19,28277.0
2022-09-02 13:45:00,7.329,28576.666
2022-09-02 14:00:00,7.37,28634.666
2022-09-02 14:15:00,7.696,30848.666
2022-09-02 14:30:00,7.79,30047.666
2022-09-02 14:45:00,7.497,29134.334
2022-09-02 15:00:00,6.214,28960.334
2022-09-02 15:15:00,7.001,27372.334
2022-09-02 15:30:00,5.961,23112.666
2022-09-02 15:45:00,5.806,22607.666
2022-09-02 16:00:00,4.902,17127.0
2022-09-02 16:15:00,4.088,15910.0
2022-09-02 16:30:00,3.3040000000000003,12484.0
2022-09-02 16:45:00,2.731,10571.333
2022-09-02 17:00:00,2.238,8478.0
2022-09-02 17:15:00,1.78,6466.0
2022-09-02 17:30:00,1.009,3461.0
2022-09-02 17:45:00,0.626,2392.3333
2022-09-02 18:00:00,0.348,1169.3334
2022-09-02 18:15:00,0.149,454.66666
2022-09-02 18:30:00,0.0,50.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 21:15:00,0.0,0.0
2022-09-02 21:30:00,0.0,0.0
