Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 00:15:00,0.0,0.0
2022-09-01 00:30:00,0.0,0.0
2022-09-01 00:45:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 01:15:00,0.0,0.0
2022-09-01 01:30:00,0.0,0.0
2022-09-01 01:45:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 02:15:00,0.0,0.0
2022-09-01 02:30:00,0.0,0.0
2022-09-01 02:45:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 03:15:00,0.0,0.0
2022-09-01 03:30:00,0.0,0.0
2022-09-01 03:45:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 04:15:00,0.0,0.0
2022-09-01 04:30:00,0.0,0.0
2022-09-01 04:45:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 05:15:00,0.0,0.0
2022-09-01 05:30:00,0.0,0.0
2022-09-01 05:45:00,0.0,0.0
2022-09-01 06:00:00,0.0,37.666668
2022-09-01 06:15:00,0.13,679.0
2022-09-01 06:30:00,0.438,2020.3334
2022-09-01 06:45:00,0.8180000000000001,3421.6667
2022-09-01 07:00:00,1.311,5470.6665
2022-09-01 07:15:00,2.145,8834.333
2022-09-01 07:30:00,2.9330000000000003,11993.667
2022-09-01 07:45:00,3.988,16099.0
2022-09-01 08:00:00,4.806,19382.666
2022-09-01 08:15:00,5.623,22298.0
2022-09-01 08:30:00,6.385,25278.0
2022-09-01 08:45:00,7.229,28489.666
2022-09-01 09:00:00,7.655,30923.666
2022-09-01 09:15:00,6.156,19957.334
2022-09-01 09:30:00,8.595,36787.0
2022-09-01 09:45:00,9.59,35035.0
2022-09-01 10:00:00,10.028,38713.668
2022-09-01 10:15:00,11.017,42188.0
2022-09-01 10:30:00,11.091,43336.332
2022-09-01 10:45:00,11.535,44572.0
2022-09-01 11:00:00,11.562,45435.668
2022-09-01 11:15:00,12.286,47605.0
2022-09-01 11:30:00,12.016,47148.668
2022-09-01 11:45:00,10.832,41437.668
2022-09-01 12:00:00,12.622,48962.332
2022-09-01 12:15:00,12.45,49800.668
2022-09-01 12:30:00,12.124,47188.332
2022-09-01 12:45:00,10.519,34031.668
2022-09-01 13:00:00,10.461,40431.0
2022-09-01 13:15:00,11.88,42569.0
2022-09-01 13:30:00,9.292,34191.668
2022-09-01 13:45:00,10.186,49273.0
2022-09-01 14:00:00,8.104000000000001,22739.334
2022-09-01 14:15:00,8.808,40370.332
2022-09-01 14:30:00,6.719,23330.334
2022-09-01 14:45:00,6.585,26030.666
2022-09-01 15:00:00,7.363,23619.334
2022-09-01 15:15:00,5.263,19037.666
2022-09-01 15:30:00,2.324,8146.0
2022-09-01 15:45:00,0.936,2611.6667
2022-09-01 16:00:00,0.086,462.33334
2022-09-01 16:15:00,0.67,3129.6667
2022-09-01 16:30:00,0.996,3537.0
2022-09-01 16:45:00,0.844,3747.6667
2022-09-01 17:00:00,1.057,3749.3333
2022-09-01 17:15:00,0.838,3038.0
2022-09-01 17:30:00,0.543,1920.6666
2022-09-01 17:45:00,0.402,1522.3334
2022-09-01 18:00:00,0.249,840.0
2022-09-01 18:15:00,0.055,175.0
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-01 19:15:00,0.0,0.0
2022-09-01 19:30:00,0.0,0.0
2022-09-01 19:45:00,0.0,0.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 20:15:00,0.0,0.0
2022-09-01 20:30:00,0.0,0.0
2022-09-01 20:45:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 21:15:00,0.0,0.0
2022-09-01 21:30:00,0.0,0.0
2022-09-01 21:45:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 22:15:00,0.0,0.0
2022-09-01 22:30:00,0.0,0.0
2022-09-01 22:45:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-01 23:15:00,0.0,0.0
2022-09-01 23:30:00,0.0,0.0
2022-09-01 23:45:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 00:15:00,0.0,0.0
2022-09-02 00:30:00,0.0,0.0
2022-09-02 00:45:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 01:15:00,0.0,0.0
2022-09-02 01:30:00,0.0,0.0
2022-09-02 01:45:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 02:15:00,0.0,0.0
2022-09-02 02:30:00,0.0,0.0
2022-09-02 02:45:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 03:15:00,0.0,0.0
2022-09-02 03:30:00,0.0,0.0
2022-09-02 03:45:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 04:15:00,0.0,0.0
2022-09-02 04:30:00,0.0,0.0
2022-09-02 04:45:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 05:15:00,0.0,0.0
2022-09-02 05:30:00,0.0,0.0
2022-09-02 05:45:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 06:15:00,0.09,539.3333
2022-09-02 06:30:00,0.432,1934.0
2022-09-02 06:45:00,0.783,3221.3333
2022-09-02 07:00:00,0.898,3582.6667
2022-09-02 07:15:00,1.277,5284.3335
2022-09-02 07:30:00,1.704,6871.0
2022-09-02 07:45:00,2.231,9200.333
2022-09-02 08:00:00,3.339,13809.667
2022-09-02 08:15:00,4.0360000000000005,15904.667
2022-09-02 08:30:00,4.063,15620.0
2022-09-02 08:45:00,4.124,15435.667
2022-09-02 09:00:00,5.477,24700.334
2022-09-02 09:15:00,6.101,24337.666
2022-09-02 09:30:00,6.691,26970.334
2022-09-02 09:45:00,6.785,27819.666
2022-09-02 10:00:00,6.3500000000000005,25292.334
2022-09-02 10:15:00,7.775,30890.666
2022-09-02 10:30:00,8.76,33300.0
2022-09-02 10:45:00,8.775,39623.0
2022-09-02 11:00:00,9.886,38866.668
2022-09-02 11:15:00,9.977,39330.0
2022-09-02 11:30:00,10.157,39143.0
2022-09-02 11:45:00,9.907,38338.0
2022-09-02 12:00:00,10.191,33573.332
2022-09-02 12:15:00,6.668,28274.334
2022-09-02 12:30:00,7.966,31206.0
2022-09-02 12:45:00,9.05,37794.668
2022-09-02 13:00:00,9.308,26780.0
2022-09-02 13:15:00,9.142,37362.0
2022-09-02 13:30:00,9.523,37286.0
2022-09-02 13:45:00,9.704,37570.668
2022-09-02 14:00:00,9.503,38139.332
2022-09-02 14:15:00,9.744,39834.668
2022-09-02 14:30:00,9.949,38581.668
2022-09-02 14:45:00,9.375,36785.668
2022-09-02 15:00:00,7.932,35109.668
2022-09-02 15:15:00,8.742,33762.668
2022-09-02 15:30:00,7.08,27353.666
2022-09-02 15:45:00,6.507000000000001,25864.666
2022-09-02 16:00:00,5.578,22436.0
2022-09-02 16:15:00,4.611,17375.334
2022-09-02 16:30:00,3.593,13455.667
2022-09-02 16:45:00,2.93,11245.333
2022-09-02 17:00:00,2.416,9116.0
2022-09-02 17:15:00,1.948,7150.0
2022-09-02 17:30:00,1.263,4437.3335
2022-09-02 17:45:00,0.8270000000000001,3166.3333
2022-09-02 18:00:00,0.457,1536.0
2022-09-02 18:15:00,0.199,606.6667
2022-09-02 18:30:00,0.0,71.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-02 19:15:00,0.0,0.0
2022-09-02 19:30:00,0.0,0.0
2022-09-02 19:45:00,0.0,0.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 20:15:00,0.0,0.0
2022-09-02 20:30:00,0.0,0.0
2022-09-02 20:45:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 21:15:00,0.0,0.0
2022-09-02 21:30:00,0.0,0.0
