Time,dcVoltage(V),totalActivePower(W),L1_acCurrent(A),L1_acFrequency(Hz),L1_acVoltage(V),L1_activePower(W),L1_reactivePower(W),L2_acCurrent(A),L2_acFrequency(Hz),L2_acVoltage(V),L2_activePower(W),L2_reactivePower(W),L3_acCurrent(A),L3_acFrequency(Hz),L3_acVoltage(V),L3_activePower(W),L3_reactivePower(W)
2023/5/17 6:00,747.938,313,1.19531,49.9717,225.281,109,-246,1.08594,49.9729,227.094,97,-225,1.17969,49.9715,226.344,107,-244
2023/5/17 6:05,748.25,450,1.17188,50.0109,226.469,129,-229,1.20312,50.0098,227.469,161,-219,1.30469,50.0124,227.516,160,-248
2023/5/17 6:10,747.812,738,1.46875,49.9658,224.438,235,-231,1.5,49.9659,226.172,256,-222,1.52344,49.965,226.578,247,-239
2023/5/17 6:15,747.312,1272,2.09375,49.9762,225.969,405,-244,2.1875,49.9766,227.719,440,-230,2.16406,49.9764,226.266,427,-239
2023/5/17 6:20,747.688,1725,2.69531,49.9708,225.078,567,-211,2.72656,49.9715,227.078,582,-206,2.74219,49.9699,225.828,576,-230
2023/5/17 6:25,747.062,2387,3.53125,49.9658,226.969,772,-205,3.6875,49.9655,228.172,811,-214,3.67188,49.9648,227.375,804,-220
2023/5/17 6:30,747.062,3736,5.60938,49.9682,226.656,1242,-291,5.58594,49.9684,228.219,1242,-291,5.625,49.9688,228.078,1252,-288
2023/5/17 6:35,747.188,3437,5.20312,50.0318,226.469,1148,-249,5.16406,50.0303,228.469,1146,-249,5.16406,50.0333,228.453,1143,-266
2023/5/17 6:40,747.25,2187,3.38281,49.9681,225.734,732,-220,3.33594,49.9679,227.172,728,-210,3.35156,49.9696,226.578,727,-223
2023/5/17 6:45,747.062,2236,3.44531,50.0355,227.078,748,-210,3.39062,50.0358,228.328,746,-185,3.40625,50.0374,227.484,742,-209
2023/5/17 6:50,747.688,3532,5.3125,49.9653,225.734,1173,-252,5.32031,49.9656,227.969,1183,-248,5.3125,49.9652,226.609,1176,-270
2023/5/17 6:55,747.625,4233,6.39844,49.9696,226.219,1421,-288,6.32812,49.9692,227.953,1412,-282,6.30469,49.9697,227.062,1400,-299
2023/5/17 7:00,747.125,3144,4.63281,49.9942,226.391,1022,-222,4.83594,49.9957,227.953,1073,-227,4.76562,49.9944,226.797,1049,-252
2023/5/17 7:05,748.25,3517,5.26562,49.9636,224.828,1158,-268,5.32812,49.9646,226.266,1183,-257,5.33594,49.964,226.281,1176,-279
2023/5/17 7:10,747.438,2475,3.69531,49.9779,224.859,802,-212,3.82812,49.9774,226.359,839,-205,3.83594,49.9779,225.859,834,-228
2023/5/17 7:15,748.312,3694,5.64844,49.9584,225.141,1241,-288,5.53125,49.9586,226.5,1224,-267,5.58594,49.9609,226.25,1229,-286
2023/5/17 7:20,747.625,4221,6.39844,50.0147,226,1402,-290,6.36719,50.0141,227.125,1406,-292,6.42969,50.0166,226.062,1413,-311
2023/5/17 7:25,747.625,4697,7.08594,50.0396,223.766,1562,-301,7.05469,50.0392,225.484,1569,-262,7.07031,50.0391,225.344,1566,-302
2023/5/17 7:30,748.25,4258,6.42969,50.031,223.531,1413,-292,6.44531,50.03,225.141,1429,-278,6.42188,50.0281,224.797,1416,-306
2023/5/17 7:35,747.625,5857,8.71875,49.9577,226.359,1930,-304,8.78906,49.9561,227.5,1956,-280,8.85938,49.9601,225.766,1971,-308
2023/5/17 7:40,747.125,4544,6.84375,49.9681,224.016,1505,-306,6.85938,49.9686,225.891,1523,-287,6.85156,49.9671,225.016,1516,-307
2023/5/17 7:45,747.688,6432,9.59375,50.0332,224.328,2125,-298,9.64062,50.0331,226.359,2151,-285,9.67188,50.0316,225,2156,-300
2023/5/17 7:50,747.688,9326,13.5234,49.987,227.734,3078,-273,13.6406,49.9868,229.438,3124,-248,13.6484,49.9843,228.344,3124,-238
2023/5/17 7:55,748.25,10255,14.7344,50.023,227.781,3364,-261,15.0859,50.0238,229.594,3463,-263,14.9219,50.0218,229.391,3428,-248
2023/5/17 8:00,748.125,9386,13.8125,49.9672,227.812,3142,-263,13.5781,49.9682,229.984,3115,-238,13.6641,49.9666,228.875,3129,-275
2023/5/17 8:05,747.812,8978,13.3047,49.9507,228.094,3018,-282,13,49.95,230.141,2970,-278,13.1016,49.949,228.344,2990,-310
2023/5/17 8:10,747.625,14656,21.375,50.0355,227.422,4856,-312,21.4141,50.0364,230.438,4904,-262,21.3984,50.0342,228.734,4896,-297
2023/5/17 8:15,747.562,15311,22.4453,49.9707,227.484,5100,-321,22.3438,49.9712,230.078,5115,-287,22.3125,49.9698,228.047,5096,-303
2023/5/17 8:20,747.562,12247,18,50.0222,227.828,4075,-285,17.9375,50.0227,229.75,4089,-257,17.9453,50.0228,228,4083,-301
2023/5/17 8:25,747.625,8954,13.1641,50.0245,227.688,2977,-290,13.1484,50.0228,229.016,2993,-289,13.1328,50.0246,228.062,2984,-319
2023/5/17 8:30,748.188,5775,8.60938,50.0021,224.156,1916,-328,8.65625,50.0045,226.703,1941,-312,8.5625,50.002,226.281,1918,-334
2023/5/17 8:35,747.688,6032,8.97656,50.0231,226.078,1995,-316,8.99219,50.0231,229.078,2016,-312,9.03906,50.0212,227.016,2021,-344
2023/5/17 8:40,747.625,7255,10.6953,50.0212,223.688,2387,-292,10.8359,50.0218,226.609,2442,-280,10.7891,50.0192,225.453,2426,-320
2023/5/17 8:45,747.625,5161,7.77344,49.9995,225.188,1721,-344,7.67188,50.0001,227.031,1713,-315,7.75,50.0001,226.734,1727,-344
2023/5/17 8:50,747.688,3660,5.50781,50.0105,225.219,1194,-323,5.58594,50.0112,228.672,1225,-302,5.67188,50.0112,227.281,1241,-332
2023/5/17 8:55,747.75,1938,3.10938,49.9653,223.562,637,-284,3.10938,49.9645,226.344,660,-244,3.08594,49.964,225.578,641,-273
2023/5/17 9:00,747.688,1430,2.375,49.9796,222.156,456,-269,2.45312,49.9804,225.266,498,-237,2.42188,49.9782,225.203,476,-266
2023/5/17 9:05,748.25,2780,4.26562,50.0301,223.875,917,-270,4.25781,50.029,227.391,932,-241,4.27344,50.0313,226.188,931,-257
2023/5/17 9:10,747.688,2042,3.25,49.9649,222.078,671,-279,3.25,49.9659,225.672,690,-243,3.23438,49.9642,224.906,681,-262
2023/5/17 9:15,747.938,3609,5.5,50.0136,221.906,1192,-303,5.47656,50.0138,225.969,1203,-275,5.53906,50.0134,224.953,1214,-306
2023/5/17 9:20,747.562,6129,9.21094,49.9921,222.047,2032,-338,9.20312,49.9925,226.125,2050,-314,9.20312,49.9926,225.562,2047,-356
2023/5/17 9:25,747.25,7997,11.8672,49.9589,222.562,2645,-262,11.9219,49.9592,225.953,2674,-253,11.9297,49.9587,225.047,2678,-283
2023/5/17 9:30,747.062,7702,11.4688,50.0283,221.656,2557,-286,11.4609,50.029,225.25,2573,-259,11.4375,50.0269,225.688,2572,-287
2023/5/17 9:35,747,7266,10.8906,49.9901,221.797,2416,-326,10.75,49.9901,225.234,2409,-269,10.8906,49.9889,224.641,2441,-305
2023/5/17 9:40,747.188,3814,5.82812,49.9698,221.812,1260,-323,5.82812,49.9696,224.312,1274,-304,5.85156,49.9673,224.188,1280,-317
2023/5/17 9:45,747.688,6690,10.0938,49.973,222.797,2234,-348,9.96875,49.9724,225.531,2227,-320,9.97656,49.9738,225.391,2229,-339
2023/5/17 9:50,747.438,4389,6.71875,49.9604,223.172,1462,-326,6.66406,49.9608,226.172,1466,-307,6.65625,49.963,225.156,1461,-330
2023/5/17 9:55,747.625,5986,9.04688,49.9885,222.734,1994,-328,9.00781,49.9891,225.703,2000,-311,8.96094,49.9888,224.797,1992,-335
2023/5/17 10:00,748.188,4801,7.35938,50.0249,222.234,1604,-341,7.30469,50.0241,225.828,1612,-311,7.1875,50.0247,224.703,1585,-325
