Time,generation(kWh),power(W)
2021-11-13 00:00:00,0.0,0.0
2021-11-13 00:15:00,0.0,0.0
2021-11-13 00:30:00,0.0,0.0
2021-11-13 00:45:00,0.0,0.0
2021-11-13 01:00:00,0.0,0.0
2021-11-13 01:15:00,0.0,0.0
2021-11-13 01:30:00,0.0,0.0
2021-11-13 01:45:00,0.0,0.0
2021-11-13 02:00:00,0.0,0.0
2021-11-13 02:15:00,0.0,0.0
2021-11-13 02:30:00,0.0,0.0
2021-11-13 02:45:00,0.0,0.0
2021-11-13 03:00:00,0.0,0.0
2021-11-13 03:15:00,0.0,0.0
2021-11-13 03:30:00,0.0,0.0
2021-11-13 03:45:00,0.0,0.0
2021-11-13 04:00:00,0.0,0.0
2021-11-13 04:15:00,0.0,0.0
2021-11-13 04:30:00,0.0,0.0
2021-11-13 04:45:00,0.0,0.0
2021-11-13 05:00:00,0.0,0.0
2021-11-13 05:15:00,0.0,0.0
2021-11-13 05:30:00,0.0,0.0
2021-11-13 05:45:00,0.0,0.0
2021-11-13 06:00:00,0.0,0.0
2021-11-13 06:15:00,0.0,0.0
2021-11-13 06:30:00,0.0,0.0
2021-11-13 06:45:00,0.064,352.33334
2021-11-13 07:00:00,0.181,729.3333
2021-11-13 07:15:00,0.274,1130.6666
2021-11-13 07:30:00,0.392,1649.0
2021-11-13 07:45:00,0.532,2120.0
2021-11-13 08:00:00,1.006,4311.0
2021-11-13 08:15:00,1.305,5707.3335
2021-11-13 08:30:00,1.575,5595.3335
2021-11-13 08:45:00,2.177,8756.0
2021-11-13 09:00:00,2.509,9863.667
2021-11-13 09:15:00,2.814,11197.0
2021-11-13 09:30:00,3.054,12008.667
2021-11-13 09:45:00,3.286,12912.333
2021-11-13 10:00:00,3.515,13796.333
2021-11-13 10:15:00,3.717,14565.667
2021-11-13 10:30:00,3.9,15229.667
2021-11-13 10:45:00,4.05,15771.333
2021-11-13 11:00:00,4.172,16259.333
2021-11-13 11:15:00,4.263,16610.334
2021-11-13 11:30:00,4.36,16933.666
2021-11-13 11:45:00,4.42,17179.666
2021-11-13 12:00:00,4.437,17300.666
2021-11-13 12:15:00,4.466,17322.0
2021-11-13 12:30:00,4.437,17182.334
2021-11-13 12:45:00,4.345,16791.334
2021-11-13 13:00:00,4.251,16447.334
2021-11-13 13:15:00,4.121,15909.0
2021-11-13 13:30:00,3.99,15429.667
2021-11-13 13:45:00,3.85,14848.333
2021-11-13 14:00:00,3.66,14093.667
2021-11-13 14:15:00,3.476,13387.333
2021-11-13 14:30:00,3.247,12413.333
2021-11-13 14:45:00,3.016,11556.333
2021-11-13 15:00:00,2.745,10457.0
2021-11-13 15:15:00,2.424,9181.333
2021-11-13 15:30:00,2.072,7812.0
2021-11-13 15:45:00,1.659,6107.6665
2021-11-13 16:00:00,1.306,4865.3335
2021-11-13 16:15:00,1.007,3736.0
2021-11-13 16:30:00,0.714,2584.3333
2021-11-13 16:45:00,0.433,1535.6666
2021-11-13 17:00:00,0.207,677.3333
2021-11-13 17:15:00,0.067,211.66667
2021-11-13 17:30:00,0.0,12.333333
2021-11-13 17:45:00,0.0,0.0
2021-11-13 18:00:00,0.0,0.0
2021-11-13 18:15:00,0.0,0.0
2021-11-13 18:30:00,0.0,0.0
2021-11-13 18:45:00,0.0,0.0
2021-11-13 19:00:00,0.0,0.0
2021-11-13 19:15:00,0.0,0.0
2021-11-13 19:30:00,0.0,0.0
2021-11-13 19:45:00,0.0,0.0
2021-11-13 20:00:00,0.0,0.0
2021-11-13 20:15:00,0.0,0.0
2021-11-13 20:30:00,0.0,0.0
2021-11-13 20:45:00,0.0,0.0
2021-11-13 21:00:00,0.0,0.0
2021-11-13 21:15:00,0.0,0.0
2021-11-13 21:30:00,0.0,0.0
2021-11-13 21:45:00,0.0,0.0
2021-11-13 22:00:00,0.0,0.0
2021-11-13 22:15:00,0.0,0.0
2021-11-13 22:30:00,0.0,0.0
2021-11-13 22:45:00,0.0,0.0
2021-11-13 23:00:00,0.0,0.0
2021-11-13 23:15:00,0.0,0.0
2021-11-13 23:30:00,0.0,0.0
2021-11-13 23:45:00,0.0,0.0
2021-11-14 00:00:00,0.0,0.0
2021-11-14 00:15:00,0.0,0.0
2021-11-14 00:30:00,0.0,0.0
2021-11-14 00:45:00,0.0,0.0
2021-11-14 01:00:00,0.0,0.0
2021-11-14 01:15:00,0.0,0.0
2021-11-14 01:30:00,0.0,0.0
2021-11-14 01:45:00,0.0,0.0
2021-11-14 02:00:00,0.0,0.0
2021-11-14 02:15:00,0.0,0.0
2021-11-14 02:30:00,0.0,0.0
2021-11-14 02:45:00,0.0,0.0
2021-11-14 03:00:00,0.0,0.0
2021-11-14 03:15:00,0.0,0.0
