Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 06:00:00,0.0,0.0
2022-09-01 07:00:00,0.108,108.0
2022-09-01 08:00:00,1.14,1140.0
2022-09-01 09:00:00,2.775,2775.0
2022-09-01 10:00:00,5.32,5320.0
2022-09-01 11:00:00,8.174,8173.999999999999
2022-09-01 12:00:00,10.983,10983.0
2022-09-01 13:00:00,12.014,12014.0
2022-09-01 14:00:00,11.403,11403.0
2022-09-01 15:00:00,7.618,7618.0
2022-09-01 16:00:00,4.06,4060.0
2022-09-01 17:00:00,0.517,517.0
2022-09-01 18:00:00,0.682,682.0
2022-09-01 19:00:00,0.081,81.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 07:00:00,0.183,183.0
2022-09-02 08:00:00,1.173,1173.0
2022-09-02 09:00:00,2.967,2967.0
2022-09-02 10:00:00,4.798,4798.0
2022-09-02 11:00:00,6.603,6603.0
2022-09-02 12:00:00,9.517,9517.0
2022-09-02 13:00:00,9.62,9620.0
2022-09-02 14:00:00,11.06,11060.0
2022-09-02 15:00:00,11.041,11041.0
2022-09-02 16:00:00,9.026,9026.0
2022-09-02 17:00:00,5.279,5279.0
2022-09-02 18:00:00,2.204,2204.0
2022-09-02 19:00:00,0.233,233.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 22:00:00,0.0,0.0
2022-09-02 23:00:00,0.0,0.0
2022-09-03 00:00:00,0.0,0.0
2022-09-03 01:00:00,0.0,0.0
2022-09-03 02:00:00,0.0,0.0
2022-09-03 03:00:00,0.0,0.0
2022-09-03 04:00:00,0.0,0.0
2022-09-03 05:00:00,0.0,0.0
2022-09-03 06:00:00,0.0,0.0
2022-09-03 07:00:00,0.194,194.0
2022-09-03 08:00:00,1.613,1613.0
2022-09-03 09:00:00,3.954,3954.0
2022-09-03 10:00:00,7.065,7065.0
2022-09-03 11:00:00,10.101,10101.0
2022-09-03 12:00:00,13.731,13731.0
2022-09-03 13:00:00,15.201,15201.0
2022-09-03 14:00:00,14.399,14399.0
2022-09-03 15:00:00,11.927,11927.0
2022-09-03 16:00:00,8.843,8843.0
2022-09-03 17:00:00,5.113,5113.0
2022-09-03 18:00:00,1.766,1766.0
2022-09-03 19:00:00,0.119,119.0
2022-09-03 20:00:00,0.0,0.0
2022-09-03 21:00:00,0.0,0.0
2022-09-03 22:00:00,0.0,0.0
2022-09-03 23:00:00,0.0,0.0
2022-09-04 00:00:00,0.0,0.0
2022-09-04 01:00:00,0.0,0.0
2022-09-04 02:00:00,0.0,0.0
2022-09-04 03:00:00,0.0,0.0
2022-09-04 04:00:00,0.0,0.0
2022-09-04 05:00:00,0.0,0.0
2022-09-04 06:00:00,0.0,0.0
2022-09-04 07:00:00,0.142,142.0
2022-09-04 08:00:00,1.482,1482.0
2022-09-04 09:00:00,3.834,3834.0
2022-09-04 10:00:00,7.028,7028.0
2022-09-04 11:00:00,10.199,10199.0
2022-09-04 12:00:00,13.985,13985.0
2022-09-04 13:00:00,15.19,15190.0
