Time,generation(kWh),power(W)
2022-09-01 00:00:00,0.0,0.0
2022-09-01 01:00:00,0.0,0.0
2022-09-01 02:00:00,0.0,0.0
2022-09-01 03:00:00,0.0,0.0
2022-09-01 04:00:00,0.0,0.0
2022-09-01 05:00:00,0.0,0.0
2022-09-01 06:00:00,0.0,0.0
2022-09-01 07:00:00,0.471,471.0
2022-09-01 08:00:00,2.548,2548.0
2022-09-01 09:00:00,6.26,6260.0
2022-09-01 10:00:00,10.404,10404.0
2022-09-01 11:00:00,15.782,15782.0
2022-09-01 12:00:00,18.974,18974.0
2022-09-01 13:00:00,20.584,20584.0
2022-09-01 14:00:00,17.548,17548.0
2022-09-01 15:00:00,12.289,12289.0
2022-09-01 16:00:00,6.578,6578.0
2022-09-01 17:00:00,1.178,1178.0
2022-09-01 18:00:00,1.246,1246.0
2022-09-01 19:00:00,0.206,206.0
2022-09-01 20:00:00,0.0,0.0
2022-09-01 21:00:00,0.0,0.0
2022-09-01 22:00:00,0.0,0.0
2022-09-01 23:00:00,0.0,0.0
2022-09-02 00:00:00,0.0,0.0
2022-09-02 01:00:00,0.0,0.0
2022-09-02 02:00:00,0.0,0.0
2022-09-02 03:00:00,0.0,0.0
2022-09-02 04:00:00,0.0,0.0
2022-09-02 05:00:00,0.0,0.0
2022-09-02 06:00:00,0.0,0.0
2022-09-02 07:00:00,0.614,614.0
2022-09-02 08:00:00,2.352,2352.0
2022-09-02 09:00:00,5.466,5466.0
2022-09-02 10:00:00,8.717,8717.0
2022-09-02 11:00:00,11.856,11856.0
2022-09-02 12:00:00,15.982,15982.0
2022-09-02 13:00:00,13.924,13924.0
2022-09-02 14:00:00,15.733,15733.0
2022-09-02 15:00:00,16.366,16366.0
2022-09-02 16:00:00,13.407,13407.0
2022-09-02 17:00:00,6.948,6948.0
2022-09-02 18:00:00,2.674,2674.0
2022-09-02 19:00:00,0.382,382.0
2022-09-02 20:00:00,0.0,0.0
2022-09-02 21:00:00,0.0,0.0
2022-09-02 22:00:00,0.0,0.0
2022-09-02 23:00:00,0.0,0.0
2022-09-03 00:00:00,0.0,0.0
2022-09-03 01:00:00,0.0,0.0
2022-09-03 02:00:00,0.0,0.0
2022-09-03 03:00:00,0.0,0.0
2022-09-03 04:00:00,0.0,0.0
2022-09-03 05:00:00,0.0,0.0
2022-09-03 06:00:00,0.0,0.0
2022-09-03 07:00:00,0.565,565.0
2022-09-03 08:00:00,2.639,2639.0
2022-09-03 09:00:00,6.485,6485.0
2022-09-03 10:00:00,11.838,11838.0
2022-09-03 11:00:00,15.913,15913.0
2022-09-03 12:00:00,19.684,19684.0
2022-09-03 13:00:00,20.489,20489.0
2022-09-03 14:00:00,20.195,20195.0
2022-09-03 15:00:00,17.761,17761.0
2022-09-03 16:00:00,13.377,13377.0
2022-09-03 17:00:00,6.751,6751.0
2022-09-03 18:00:00,2.136,2136.0
2022-09-03 19:00:00,0.3,300.0
2022-09-03 20:00:00,0.0,0.0
2022-09-03 21:00:00,0.0,0.0
2022-09-03 22:00:00,0.0,0.0
2022-09-03 23:00:00,0.0,0.0
2022-09-04 00:00:00,0.0,0.0
2022-09-04 01:00:00,0.0,0.0
2022-09-04 02:00:00,0.0,0.0
2022-09-04 03:00:00,0.0,0.0
2022-09-04 04:00:00,0.0,0.0
2022-09-04 05:00:00,0.0,0.0
2022-09-04 06:00:00,0.0,0.0
2022-09-04 07:00:00,0.477,477.0
2022-09-04 08:00:00,2.511,2511.0
2022-09-04 09:00:00,6.626,6626.0
2022-09-04 10:00:00,12.0,12000.0
2022-09-04 11:00:00,16.32,16320.0
2022-09-04 12:00:00,19.996,19996.0
2022-09-04 13:00:00,20.658,20658.0
