Time,generation(kWh),power(W)
2021-04-12 01:00:00,0.0,0.0
2021-04-12 02:00:00,0.0,0.0
2021-04-12 03:00:00,0.0,0.0
2021-04-12 04:00:00,0.0,0.0
2021-04-12 05:00:00,0.0,0.0
2021-04-12 06:00:00,0.0,0.0
2021-04-12 07:00:00,0.323,323.0
2021-04-12 08:00:00,1.497,1497.0
2021-04-12 09:00:00,3.25,3250.0
2021-04-12 10:00:00,6.298,6298.0
2021-04-12 11:00:00,13.0,13000.0
2021-04-12 12:00:00,16.528,16528.0
2021-04-12 13:00:00,16.809,16809.0
2021-04-12 14:00:00,16.827,16827.0
2021-04-12 15:00:00,17.11,17110.0
2021-04-12 16:00:00,9.842,9842.0
2021-04-12 17:00:00,3.402,3402.0
2021-04-12 18:00:00,2.795,2795.0
2021-04-12 19:00:00,0.406,406.0
2021-04-12 20:00:00,0.0,0.0
2021-04-12 21:00:00,0.0,0.0
2021-04-12 22:00:00,0.0,0.0
2021-04-12 23:00:00,0.0,0.0
2021-04-13 00:00:00,0.0,0.0
2021-04-13 01:00:00,0.0,0.0
2021-04-13 02:00:00,0.0,0.0
2021-04-13 03:00:00,0.0,0.0
2021-04-13 04:00:00,0.0,0.0
2021-04-13 05:00:00,0.0,0.0
2021-04-13 06:00:00,0.0,0.0
2021-04-13 07:00:00,0.436,436.0
2021-04-13 08:00:00,2.507,2507.0
2021-04-13 09:00:00,6.0,6000.0
2021-04-13 10:00:00,11.665,11665.0
2021-04-13 11:00:00,16.515,16515.0
2021-04-13 12:00:00,21.096,21096.0
2021-04-13 13:00:00,23.571,23571.0
2021-04-13 14:00:00,22.187,22187.0
2021-04-13 15:00:00,17.423,17423.0
2021-04-13 16:00:00,11.08,11080.0
2021-04-13 17:00:00,6.019,6019.0
2021-04-13 18:00:00,2.409,2409.0
2021-04-13 19:00:00,0.299,299.0
2021-04-13 20:00:00,0.0,0.0
2021-04-13 21:00:00,0.0,0.0
2021-04-13 22:00:00,0.0,0.0
2021-04-13 23:00:00,0.0,0.0
2021-04-14 00:00:00,0.0,0.0
2021-04-14 01:00:00,0.0,0.0
2021-04-14 02:00:00,0.0,0.0
2021-04-14 03:00:00,0.0,0.0
2021-04-14 04:00:00,0.0,0.0
2021-04-14 05:00:00,0.0,0.0
2021-04-14 06:00:00,0.0,0.0
2021-04-14 07:00:00,0.277,277.0
2021-04-14 08:00:00,3.498,3498.0
2021-04-14 09:00:00,2.825,2825.0
2021-04-14 10:00:00,3.011,3011.0
2021-04-14 11:00:00,1.162,1162.0
2021-04-14 12:00:00,1.83,1830.0
2021-04-14 13:00:00,2.029,2029.0
2021-04-14 14:00:00,1.714,1714.0
2021-04-14 15:00:00,1.479,1479.0
2021-04-14 16:00:00,1.491,1491.0
2021-04-14 17:00:00,0.537,537.0
2021-04-14 18:00:00,0.194,194.0
2021-04-14 19:00:00,0.014,14.0
2021-04-14 20:00:00,0.0,0.0
2021-04-14 21:00:00,0.0,0.0
2021-04-14 22:00:00,0.0,0.0
2021-04-14 23:00:00,0.0,0.0
2021-04-15 00:00:00,0.0,0.0
2021-04-15 01:00:00,0.0,0.0
2021-04-15 02:00:00,0.0,0.0
2021-04-15 03:00:00,0.0,0.0
2021-04-15 04:00:00,0.0,0.0
2021-04-15 05:00:00,0.0,0.0
2021-04-15 06:00:00,0.0,0.0
2021-04-15 07:00:00,0.0,0.0
2021-04-15 08:00:00,0.059,59.0
2021-04-15 09:00:00,0.305,305.0
2021-04-15 10:00:00,0.726,726.0
2021-04-15 11:00:00,1.281,1281.0
2021-04-15 12:00:00,2.084,2084.0
2021-04-15 13:00:00,1.786,1786.0
2021-04-15 14:00:00,1.227,1227.0
2021-04-15 15:00:00,1.906,1906.0
2021-04-15 16:00:00,1.052,1052.0
2021-04-15 17:00:00,0.576,576.0
2021-04-15 18:00:00,0.146,146.0
2021-04-15 19:00:00,0.003,3.0
2021-04-15 20:00:00,0.0,0.0
2021-04-15 21:00:00,0.0,0.0
2021-04-15 22:00:00,0.0,0.0
2021-04-15 23:00:00,0.0,0.0
2021-04-16 00:00:00,0.0,0.0
2021-04-16 01:00:00,0.0,0.0
2021-04-16 02:00:00,0.0,0.0
2021-04-16 03:00:00,0.0,0.0
2021-04-16 04:00:00,0.0,0.0
2021-04-16 05:00:00,0.0,0.0
2021-04-16 06:00:00,0.0,0.0
2021-04-16 07:00:00,0.0,0.0
2021-04-16 08:00:00,0.067,67.0
2021-04-16 09:00:00,0.373,373.0
2021-04-16 10:00:00,0.689,689.0
2021-04-16 11:00:00,1.093,1093.0
2021-04-16 12:00:00,1.495,1495.0
2021-04-16 13:00:00,4.434,4434.0
2021-04-16 14:00:00,7.822,7822.0
2021-04-16 15:00:00,4.169,4169.0
2021-04-16 16:00:00,2.819,2819.0
2021-04-16 17:00:00,1.328,1328.0
2021-04-16 18:00:00,0.687,687.0
2021-04-16 19:00:00,0.126,126.0
2021-04-16 20:00:00,0.0,0.0
2021-04-16 21:00:00,0.0,0.0
2021-04-16 22:00:00,0.0,0.0
2021-04-16 23:00:00,0.0,0.0
2021-04-17 00:00:00,0.0,0.0
2021-04-17 01:00:00,0.0,0.0
2021-04-17 02:00:00,0.0,0.0
2021-04-17 03:00:00,0.0,0.0
2021-04-17 04:00:00,0.0,0.0
2021-04-17 05:00:00,0.0,0.0
2021-04-17 06:00:00,0.0,0.0
2021-04-17 07:00:00,0.0,0.0
2021-04-17 08:00:00,0.189,189.0
2021-04-17 09:00:00,0.385,385.0
2021-04-17 10:00:00,0.634,634.0
2021-04-17 11:00:00,1.002,1002.0
2021-04-17 12:00:00,1.263,1263.0
2021-04-17 13:00:00,1.121,1121.0
2021-04-17 14:00:00,1.274,1274.0
2021-04-17 15:00:00,1.634,1634.0
2021-04-17 16:00:00,2.638,2638.0
2021-04-17 17:00:00,1.549,1549.0
2021-04-17 18:00:00,0.932,932.0
2021-04-17 19:00:00,0.042,42.0
2021-04-17 20:00:00,0.0,0.0
2021-04-17 21:00:00,0.0,0.0
2021-04-17 22:00:00,0.0,0.0
2021-04-17 23:00:00,0.0,0.0
2021-04-18 00:00:00,0.0,0.0
2021-04-18 01:00:00,0.0,0.0
2021-04-18 02:00:00,0.0,0.0
2021-04-18 03:00:00,0.0,0.0
2021-04-18 04:00:00,0.0,0.0
2021-04-18 05:00:00,0.0,0.0
2021-04-18 06:00:00,0.0,0.0
2021-04-18 07:00:00,1.115,1115.0
2021-04-18 08:00:00,3.298,3298.0
2021-04-18 09:00:00,5.523,5523.0
2021-04-18 10:00:00,10.826,10826.0
2021-04-18 11:00:00,16.089,16088.999999999998
2021-04-18 12:00:00,19.602,19602.0
2021-04-18 13:00:00,12.591,12591.0
2021-04-18 14:00:00,4.319,4319.0
2021-04-18 15:00:00,3.436,3436.0
2021-04-18 16:00:00,4.101,4101.0
2021-04-18 17:00:00,1.941,1941.0
2021-04-18 18:00:00,1.187,1187.0
2021-04-18 19:00:00,0.119,119.0
2021-04-18 20:00:00,0.0,0.0
2021-04-18 21:00:00,0.0,0.0
2021-04-18 22:00:00,0.0,0.0
2021-04-18 23:00:00,0.0,0.0
2021-04-19 00:00:00,0.0,0.0
2021-04-19 01:00:00,0.0,0.0
2021-04-19 02:00:00,0.0,0.0
2021-04-19 03:00:00,0.0,0.0
2021-04-19 04:00:00,0.0,0.0
2021-04-19 05:00:00,0.0,0.0
2021-04-19 06:00:00,0.0,0.0
2021-04-19 07:00:00,0.47,470.0
2021-04-19 08:00:00,1.433,1433.0
2021-04-19 09:00:00,5.133,5133.0
2021-04-19 10:00:00,5.499,5499.0
2021-04-19 11:00:00,9.707,9707.0
