Time,generation(kWh),power(W),Irradiance (W/m2),Area
2022-09-01 00:00:00,0.0,0.0,18.61913333333333,181.071072
2022-09-01 00:15:00,0.0,0.0,19.18526666666667,181.071072
2022-09-01 00:30:00,0.0,0.0,19.8244,181.071072
2022-09-01 00:45:00,0.0,0.0,20.10293333333333,181.071072
2022-09-01 01:00:00,0.0,0.0,20.19786666666667,181.071072
2022-09-01 01:15:00,0.0,0.0,20.26393333333333,181.071072
2022-09-01 01:30:00,0.0,0.0,20.4042,181.071072
2022-09-01 01:45:00,0.0,0.0,20.10993333333333,181.071072
2022-09-01 02:00:00,0.0,0.0,19.98473333333333,181.071072
2022-09-01 02:15:00,0.0,0.0,19.97093333333333,181.071072
2022-09-01 02:30:00,0.0,0.0,20.25013333333333,181.071072
2022-09-01 02:45:00,0.0,0.0,20.41926666666667,181.071072
2022-09-01 03:00:00,0.0,0.0,20.42706666666667,181.071072
2022-09-01 03:15:00,0.0,0.0,20.39773333333333,181.071072
2022-09-01 03:30:00,0.0,0.0,20.32513333333333,181.071072
2022-09-01 03:45:00,0.0,0.0,20.27346666666666,181.071072
2022-09-01 04:00:00,0.0,0.0,20.50126666666667,181.071072
2022-09-01 04:15:00,0.0,0.0,20.75153333333333,181.071072
2022-09-01 04:30:00,0.0,0.0,20.83193333333333,181.071072
2022-09-01 04:45:00,0.0,0.0,20.8242,181.071072
2022-09-01 05:00:00,0.0,0.0,20.6846,181.071072
2022-09-01 05:15:00,0.0,0.0,20.54513333333334,181.071072
2022-09-01 05:30:00,0.0,0.0,20.7588,181.071072
2022-09-01 05:45:00,0.0,0.0,21.11173333333333,181.071072
2022-09-01 06:00:00,0.0,0.0,24.1488,181.071072
2022-09-01 06:15:00,0.07,374.2977,33.92193333333334,181.071072
2022-09-01 06:30:00,0.241,1106.4801,55.41593333333334,181.071072
2022-09-01 06:45:00,0.463,1926.9014,87.18393333333333,181.071072
2022-09-01 07:00:00,0.715,3103.6807,120.0086666666667,181.071072
2022-09-01 07:15:00,1.236,5101.5435,172.7806666666667,181.071072
2022-09-01 07:30:00,1.707,6916.679,223.5126666666667,181.071072
2022-09-01 07:45:00,2.16,8670.631,271.164,181.071072
2022-09-01 08:00:00,2.627,10451.704,318.7646666666667,181.071072
2022-09-01 08:15:00,3.156,12590.08,364.8773333333333,181.071072
2022-09-01 08:30:00,3.693,14603.263,406.214,181.071072
2022-09-01 08:45:00,4.1450000000000005,16412.012,454.456,181.071072
2022-09-01 09:00:00,4.678,18450.768,477.902,181.071072
2022-09-01 09:15:00,3.26,10593.079,463.676,181.071072
2022-09-01 09:30:00,5.405,22259.652,522.4426666666666,181.071072
2022-09-01 09:45:00,5.771,20890.898,613.5066666666667,181.071072
2022-09-01 10:00:00,5.98,25248.459,632.1373333333333,181.071072
2022-09-01 10:15:00,6.4670000000000005,26206.293,663.1346666666667,181.071072
2022-09-01 10:30:00,6.757000000000001,26395.684,675.41,181.071072
2022-09-01 10:45:00,6.796,26372.23,697.8113333333333,181.071072
2022-09-01 11:00:00,7.227,28137.99,706.5913333333333,181.071072
2022-09-01 11:15:00,7.407,28710.05,670.9533333333333,181.071072
2022-09-01 11:30:00,7.317,28861.967,735.4413333333334,181.071072
2022-09-01 11:45:00,7.655,30732.406,741.4646666666666,181.071072
2022-09-01 12:00:00,7.71,29945.668,758.1706666666666,181.071072
2022-09-01 12:15:00,7.678,26308.977,756.6833333333333,181.071072
2022-09-01 12:30:00,8.204,32410.084,668.8,181.071072
2022-09-01 12:45:00,4.873,13694.56,709.4266666666666,181.071072
2022-09-01 13:00:00,3.403,12928.309,762.0853333333333,181.071072
2022-09-01 13:15:00,6.998,29921.758,732.2486666666666,181.071072
2022-09-01 13:30:00,4.806,20104.514,649.0086666666666,181.071072
