Time,generation(kWh),power(W),Irradiance (W/m2),Area
2022-09-01 00:00:00,0.0,0.0,18.61913333333333,341.104896
2022-09-01 00:15:00,0.0,0.0,19.18526666666667,341.104896
2022-09-01 00:30:00,0.0,0.0,19.8244,341.104896
2022-09-01 00:45:00,0.0,0.0,20.10293333333333,341.104896
2022-09-01 01:00:00,0.0,0.0,20.19786666666667,341.104896
2022-09-01 01:15:00,0.0,0.0,20.26393333333333,341.104896
2022-09-01 01:30:00,0.0,0.0,20.4042,341.104896
2022-09-01 01:45:00,0.0,0.0,20.10993333333333,341.104896
2022-09-01 02:00:00,0.0,0.0,19.98473333333333,341.104896
2022-09-01 02:15:00,0.0,0.0,19.97093333333333,341.104896
2022-09-01 02:30:00,0.0,0.0,20.25013333333333,341.104896
2022-09-01 02:45:00,0.0,0.0,20.41926666666667,341.104896
2022-09-01 03:00:00,0.0,0.0,20.42706666666667,341.104896
2022-09-01 03:15:00,0.0,0.0,20.39773333333333,341.104896
2022-09-01 03:30:00,0.0,0.0,20.32513333333333,341.104896
2022-09-01 03:45:00,0.0,0.0,20.27346666666666,341.104896
2022-09-01 04:00:00,0.0,0.0,20.50126666666667,341.104896
2022-09-01 04:15:00,0.0,0.0,20.75153333333333,341.104896
2022-09-01 04:30:00,0.0,0.0,20.83193333333333,341.104896
2022-09-01 04:45:00,0.0,0.0,20.8242,341.104896
2022-09-01 05:00:00,0.0,0.0,20.6846,341.104896
2022-09-01 05:15:00,0.0,0.0,20.54513333333334,341.104896
2022-09-01 05:30:00,0.0,0.0,20.7588,341.104896
2022-09-01 05:45:00,0.0,0.0,21.11173333333333,341.104896
2022-09-01 06:00:00,0.0,0.0,24.1488,341.104896
2022-09-01 06:15:00,0.05,354.66666,33.92193333333334,341.104896
2022-09-01 06:30:00,0.232,1063.6666,55.41593333333334,341.104896
2022-09-01 06:45:00,0.384,1550.0,87.18393333333333,341.104896
2022-09-01 07:00:00,0.546,2253.0,120.0086666666667,341.104896
2022-09-01 07:15:00,0.811,3300.3333,172.7806666666667,341.104896
2022-09-01 07:30:00,1.08,4390.3335,223.5126666666667,341.104896
2022-09-01 07:45:00,1.395,5682.6665,271.164,341.104896
2022-09-01 08:00:00,1.884,7748.0,318.7646666666667,341.104896
2022-09-01 08:15:00,2.491,10349.333,364.8773333333333,341.104896
2022-09-01 08:30:00,3.794,15231.333,406.214,341.104896
2022-09-01 08:45:00,4.832,19517.666,454.456,341.104896
2022-09-01 09:00:00,5.543,22505.666,477.902,341.104896
2022-09-01 09:15:00,4.582,14896.0,463.676,341.104896
2022-09-01 09:30:00,6.986,29340.0,522.4426666666666,341.104896
2022-09-01 09:45:00,8.029,29558.334,613.5066666666667,341.104896
2022-09-01 10:00:00,8.506,33159.332,632.1373333333333,341.104896
2022-09-01 10:15:00,9.764,37538.332,663.1346666666667,341.104896
2022-09-01 10:30:00,10.113,39819.0,675.41,341.104896
2022-09-01 10:45:00,10.797,41703.0,697.8113333333333,341.104896
2022-09-01 11:00:00,11.455,44986.0,706.5913333333333,341.104896
2022-09-01 11:15:00,12.03,46954.332,670.9533333333333,341.104896
2022-09-01 11:30:00,12.096,47267.668,735.4413333333334,341.104896
2022-09-01 11:45:00,10.474,40700.0,741.4646666666666,341.104896
2022-09-01 12:00:00,12.437,48246.668,758.1706666666666,341.104896
2022-09-01 12:15:00,12.417,48699.668,756.6833333333333,341.104896
2022-09-01 12:30:00,12.185,48694.332,668.8,341.104896
2022-09-01 12:45:00,11.132,45584.0,709.4266666666666,341.104896
2022-09-01 13:00:00,9.715,40755.668,762.0853333333333,341.104896
2022-09-01 13:15:00,11.199,40758.668,732.2486666666666,341.104896
2022-09-01 13:30:00,8.938,35014.668,649.0086666666666,341.104896
2022-09-01 13:45:00,10.409,47644.668,756.7520000000001,341.104896
2022-09-01 14:00:00,7.673,30320.0,584.1026666666666,341.104896
2022-09-01 14:15:00,8.459,31710.0,454.448,341.104896
2022-09-01 14:30:00,6.061,22602.666,456.254,341.104896
2022-09-01 14:45:00,5.9030000000000005,26256.666,350.3066666666667,341.104896
2022-09-01 15:00:00,7.074,24165.334,267.962,341.104896
2022-09-01 15:15:00,5.002,17465.666,320.3313333333334,341.104896
2022-09-01 15:30:00,1.976,6892.0,162.9513333333333,341.104896
2022-09-01 15:45:00,0.751,2015.3334,79.55,341.104896
2022-09-01 16:00:00,0.07,465.66666,25.0626,341.104896
2022-09-01 16:15:00,0.627,2941.3333,48.852,341.104896
2022-09-01 16:30:00,0.87,3059.6667,67.5458,341.104896
2022-09-01 16:45:00,0.807,3532.6667,54.99366666666666,341.104896
2022-09-01 17:00:00,0.912,3239.0,72.21433333333334,341.104896
2022-09-01 17:15:00,0.741,2679.0,61.04566666666667,341.104896
2022-09-01 17:30:00,0.476,1660.0,45.7336,341.104896
2022-09-01 17:45:00,0.334,1259.3334,38.46386666666667,341.104896
2022-09-01 18:00:00,0.195,651.0,31.00926666666667,341.104896
2022-09-01 18:15:00,0.034,150.66667,21.81753333333333,341.104896
2022-09-01 18:30:00,0.0,0.0,15.4716,341.104896
2022-09-01 18:45:00,0.0,0.0,12.626,341.104896
2022-09-01 19:00:00,0.0,0.0,12.4422,341.104896
2022-09-01 19:15:00,0.0,0.0,12.56706666666667,341.104896
2022-09-01 19:30:00,0.0,0.0,12.58133333333333,341.104896
2022-09-01 19:45:00,0.0,0.0,12.62613333333333,341.104896
2022-09-01 20:00:00,0.0,0.0,13.00826666666667,341.104896
2022-09-01 20:15:00,0.0,0.0,13.2658,341.104896
2022-09-01 20:30:00,0.0,0.0,13.50073333333333,341.104896
2022-09-01 20:45:00,0.0,0.0,13.736,341.104896
2022-09-01 21:00:00,0.0,0.0,14.3314,341.104896
2022-09-01 21:15:00,0.0,0.0,14.339,341.104896
2022-09-01 21:30:00,0.0,0.0,14.69953333333333,341.104896
2022-09-01 21:45:00,0.0,0.0,14.92,341.104896
2022-09-01 22:00:00,0.0,0.0,15.02273333333333,341.104896
2022-09-01 22:15:00,0.0,0.0,15.33826666666667,341.104896
2022-09-01 22:30:00,0.0,0.0,15.38986666666667,341.104896
2022-09-01 22:45:00,0.0,0.0,15.67786666666667,341.104896
2022-09-01 23:00:00,0.0,0.0,15.87613333333333,341.104896
2022-09-01 23:15:00,0.0,0.0,15.884,341.104896
2022-09-01 23:30:00,0.0,0.0,15.8836,341.104896
2022-09-01 23:45:00,0.0,0.0,15.89093333333333,341.104896
2022-09-02 00:00:00,0.0,0.0,15.95733333333333,341.104896
2022-09-02 00:15:00,0.0,0.0,16.3688,341.104896
2022-09-02 00:30:00,0.0,0.0,16.854,341.104896
2022-09-02 00:45:00,0.0,0.0,17.13353333333333,341.104896
2022-09-02 01:00:00,0.0,0.0,17.2068,341.104896
2022-09-02 01:15:00,0.0,0.0,17.19213333333333,341.104896
2022-09-02 01:30:00,0.0,0.0,17.2364,341.104896
2022-09-02 01:45:00,0.0,0.0,17.31686666666667,341.104896
2022-09-02 02:00:00,0.0,0.0,17.47886666666666,341.104896
2022-09-02 02:15:00,0.0,0.0,17.61146666666667,341.104896
2022-09-02 02:30:00,0.0,0.0,17.66246666666667,341.104896
2022-09-02 02:45:00,0.0,0.0,17.8682,341.104896
2022-09-02 03:00:00,0.0,0.0,17.90546666666667,341.104896
