Time,generation,power(W),Irradiance (W/m2),Area
1/9/2022 0:00,0.0,0.0,18.61913333,186.057216
1/9/2022 0:15,0.0,0.0,19.18526667,186.057216
1/9/2022 0:30,0.0,0.0,19.8244,186.057216
1/9/2022 0:45,0.0,0.0,20.10293333,186.057216
1/9/2022 1:00,0.0,0.0,20.19786667,186.057216
1/9/2022 1:15,0.0,0.0,20.26393333,186.057216
1/9/2022 1:30,0.0,0.0,20.4042,186.057216
1/9/2022 1:45,0.0,0.0,20.10993333,186.057216
1/9/2022 2:00,0.0,0.0,19.98473333,186.057216
1/9/2022 2:15,0.0,0.0,19.97093333,186.057216
1/9/2022 2:30,0.0,0.0,20.25013333,186.057216
1/9/2022 2:45,0.0,0.0,20.41926667,186.057216
1/9/2022 3:00,0.0,0.0,20.42706667,186.057216
1/9/2022 3:15,0.0,0.0,20.39773333,186.057216
1/9/2022 3:30,0.0,0.0,20.32513333,186.057216
1/9/2022 3:45,0.0,0.0,20.27346667,186.057216
1/9/2022 4:00,0.0,0.0,20.50126667,186.057216
1/9/2022 4:15,0.0,0.0,20.75153333,186.057216
1/9/2022 4:30,0.0,0.0,20.83193333,186.057216
1/9/2022 4:45,0.0,0.0,20.8242,186.057216
1/9/2022 5:00,0.0,0.0,20.6846,186.057216
1/9/2022 5:15,0.0,0.0,20.54513333,186.057216
1/9/2022 5:30,0.0,0.0,20.7588,186.057216
1/9/2022 5:45,0.0,0.0,21.11173333,186.057216
1/9/2022 6:00,0.0,11.401376,24.1488,186.057216
1/9/2022 6:15,0.055,283.07745,33.92193333,186.057216
1/9/2022 6:30,0.193,884.07587,55.41593333,186.057216
1/9/2022 6:45,0.335,1359.5635,87.18393333,186.057216
1/9/2022 7:00,0.472,1937.1775,120.0086667,186.057216
1/9/2022 7:15,0.719,2955.9165,172.7806667,186.057216
1/9/2022 7:30,0.979,4000.5903,223.5126667,186.057216
1/9/2022 7:45,1.264,5083.8066,271.164,186.057216
1/9/2022 8:00,1.528,6152.474,318.7646667,186.057216
1/9/2022 8:15,1.869,7630.366,364.8773333,186.057216
1/9/2022 8:30,2.381,9503.479,406.214,186.057216
1/9/2022 8:45,2.821,11341.733,454.456,186.057216
1/9/2022 9:00,3.363,14055.776,477.902,186.057216
1/9/2022 9:15,2.887,9825.396,463.676,186.057216
1/9/2022 9:30,4.326,17507.139,522.4426667,186.057216
