Time,generation(kWh),power(W),Irradiance (W/m2),Area
2022-09-01 00:00:00,0.0,0.0,18.61913333333333,318.571488
2022-09-01 00:15:00,0.0,0.0,19.18526666666667,318.571488
2022-09-01 00:30:00,0.0,0.0,19.8244,318.571488
2022-09-01 00:45:00,0.0,0.0,20.10293333333333,318.571488
2022-09-01 01:00:00,0.0,0.0,20.19786666666667,318.571488
2022-09-01 01:15:00,0.0,0.0,20.26393333333333,318.571488
2022-09-01 01:30:00,0.0,0.0,20.4042,318.571488
2022-09-01 01:45:00,0.0,0.0,20.10993333333333,318.571488
2022-09-01 02:00:00,0.0,0.0,19.98473333333333,318.571488
2022-09-01 02:15:00,0.0,0.0,19.97093333333333,318.571488
2022-09-01 02:30:00,0.0,0.0,20.25013333333333,318.571488
2022-09-01 02:45:00,0.0,0.0,20.41926666666667,318.571488
2022-09-01 03:00:00,0.0,0.0,20.42706666666667,318.571488
2022-09-01 03:15:00,0.0,0.0,20.39773333333333,318.571488
2022-09-01 03:30:00,0.0,0.0,20.32513333333333,318.571488
2022-09-01 03:45:00,0.0,0.0,20.27346666666666,318.571488
2022-09-01 04:00:00,0.0,0.0,20.50126666666667,318.571488
2022-09-01 04:15:00,0.0,0.0,20.75153333333333,318.571488
2022-09-01 04:30:00,0.0,0.0,20.83193333333333,318.571488
2022-09-01 04:45:00,0.0,0.0,20.8242,318.571488
2022-09-01 05:00:00,0.0,0.0,20.6846,318.571488
2022-09-01 05:15:00,0.0,0.0,20.54513333333334,318.571488
2022-09-01 05:30:00,0.0,0.0,20.7588,318.571488
2022-09-01 05:45:00,0.0,0.0,21.11173333333333,318.571488
2022-09-01 06:00:00,0.0,37.666668,24.1488,318.571488
2022-09-01 06:15:00,0.13,679.0,33.92193333333334,318.571488
2022-09-01 06:30:00,0.438,2020.3334,55.41593333333334,318.571488
2022-09-01 06:45:00,0.8180000000000001,3421.6667,87.18393333333333,318.571488
2022-09-01 07:00:00,1.311,5470.6665,120.0086666666667,318.571488
2022-09-01 07:15:00,2.145,8834.333,172.7806666666667,318.571488
2022-09-01 07:30:00,2.9330000000000003,11993.667,223.5126666666667,318.571488
2022-09-01 07:45:00,3.988,16099.0,271.164,318.571488
2022-09-01 08:00:00,4.806,19382.666,318.7646666666667,318.571488
2022-09-01 08:15:00,5.623,22298.0,364.8773333333333,318.571488
2022-09-01 08:30:00,6.385,25278.0,406.214,318.571488
2022-09-01 08:45:00,7.229,28489.666,454.456,318.571488
2022-09-01 09:00:00,7.655,30923.666,477.902,318.571488
2022-09-01 09:15:00,6.156,19957.334,463.676,318.571488
2022-09-01 09:30:00,8.595,36787.0,522.4426666666666,318.571488
2022-09-01 09:45:00,9.59,35035.0,613.5066666666667,318.571488
2022-09-01 10:00:00,10.028,38713.668,632.1373333333333,318.571488
2022-09-01 10:15:00,11.017,42188.0,663.1346666666667,318.571488
2022-09-01 10:30:00,11.091,43336.332,675.41,318.571488
2022-09-01 10:45:00,11.535,44572.0,697.8113333333333,318.571488
2022-09-01 11:00:00,11.562,45435.668,706.5913333333333,318.571488
2022-09-01 11:15:00,12.286,47605.0,670.9533333333333,318.571488
2022-09-01 11:30:00,12.016,47148.668,735.4413333333334,318.571488
2022-09-01 11:45:00,10.832,41437.668,741.4646666666666,318.571488
2022-09-01 12:00:00,12.622,48962.332,758.1706666666666,318.571488
2022-09-01 12:15:00,12.45,49800.668,756.6833333333333,318.571488
2022-09-01 12:30:00,12.124,47188.332,668.8,318.571488
2022-09-01 12:45:00,10.519,34031.668,709.4266666666666,318.571488
2022-09-01 13:00:00,10.461,40431.0,762.0853333333333,318.571488
2022-09-01 13:15:00,11.88,42569.0,732.2486666666666,318.571488
2022-09-01 13:30:00,9.292,34191.668,649.0086666666666,318.571488
2022-09-01 13:45:00,10.186,49273.0,756.7520000000001,318.571488
2022-09-01 14:00:00,8.104000000000001,22739.334,584.1026666666666,318.571488
2022-09-01 14:15:00,8.808,40370.332,454.448,318.571488
2022-09-01 14:30:00,6.719,23330.334,456.254,318.571488
2022-09-01 14:45:00,6.585,26030.666,350.3066666666667,318.571488
2022-09-01 15:00:00,7.363,23619.334,267.962,318.571488
2022-09-01 15:15:00,5.263,19037.666,320.3313333333334,318.571488
2022-09-01 15:30:00,2.324,8146.0,162.9513333333333,318.571488
2022-09-01 15:45:00,0.936,2611.6667,79.55,318.571488
2022-09-01 16:00:00,0.086,462.33334,25.0626,318.571488
2022-09-01 16:15:00,0.67,3129.6667,48.852,318.571488
2022-09-01 16:30:00,0.996,3537.0,67.5458,318.571488
2022-09-01 16:45:00,0.844,3747.6667,54.99366666666666,318.571488
2022-09-01 17:00:00,1.057,3749.3333,72.21433333333334,318.571488
2022-09-01 17:15:00,0.838,3038.0,61.04566666666667,318.571488
2022-09-01 17:30:00,0.543,1920.6666,45.7336,318.571488
2022-09-01 17:45:00,0.402,1522.3334,38.46386666666667,318.571488
2022-09-01 18:00:00,0.249,840.0,31.00926666666667,318.571488
2022-09-01 18:15:00,0.055,175.0,21.81753333333333,318.571488
2022-09-01 18:30:00,0.0,0.0,15.4716,318.571488
2022-09-01 18:45:00,0.0,0.0,12.626,318.571488
2022-09-01 19:00:00,0.0,0.0,12.4422,318.571488
2022-09-01 19:15:00,0.0,0.0,12.56706666666667,318.571488
2022-09-01 19:30:00,0.0,0.0,12.58133333333333,318.571488
