Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,18.61913333333333
2022-09-01 00:15:00,0.0,0.0,19.18526666666667
2022-09-01 00:30:00,0.0,0.0,19.8244
2022-09-01 00:45:00,0.0,0.0,20.10293333333333
2022-09-01 01:00:00,0.0,0.0,20.19786666666667
2022-09-01 01:15:00,0.0,0.0,20.26393333333333
2022-09-01 01:30:00,0.0,0.0,20.4042
2022-09-01 01:45:00,0.0,0.0,20.10993333333333
2022-09-01 02:00:00,0.0,0.0,19.98473333333333
2022-09-01 02:15:00,0.0,0.0,19.97093333333333
2022-09-01 02:30:00,0.0,0.0,20.25013333333333
2022-09-01 02:45:00,0.0,0.0,20.41926666666667
2022-09-01 03:00:00,0.0,0.0,20.42706666666667
2022-09-01 03:15:00,0.0,0.0,20.39773333333333
2022-09-01 03:30:00,0.0,0.0,20.32513333333333
2022-09-01 03:45:00,0.0,0.0,20.27346666666666
2022-09-01 04:00:00,0.0,0.0,20.50126666666667
2022-09-01 04:15:00,0.0,0.0,20.75153333333333
2022-09-01 04:30:00,0.0,0.0,20.83193333333333
2022-09-01 04:45:00,0.0,0.0,20.8242
2022-09-01 05:00:00,0.0,0.0,20.6846
2022-09-01 05:15:00,0.0,0.0,20.54513333333334
2022-09-01 05:30:00,0.0,0.0,20.7588
2022-09-01 05:45:00,0.0,0.0,21.11173333333333
2022-09-01 06:00:00,0.0,0.0,24.1488
2022-09-01 06:15:00,0.014,131.66667,33.92193333333334
2022-09-01 06:30:00,0.09,417.66666,55.41593333333334
2022-09-01 06:45:00,0.174,710.6667,87.18393333333333
2022-09-01 07:00:00,0.255,1085.3334,120.0086666666667
2022-09-01 07:15:00,0.431,1810.3334,172.7806666666667
2022-09-01 07:30:00,0.651,2676.0,223.5126666666667
2022-09-01 07:45:00,0.95,3879.3333,271.164
2022-09-01 08:00:00,1.216,4924.3335,318.7646666666667
2022-09-01 08:15:00,1.534,6133.0,364.8773333333333
2022-09-01 08:30:00,1.834,7362.3335,406.214
2022-09-01 08:45:00,2.155,8620.333,454.456
2022-09-01 09:00:00,2.508,9907.667,477.902
2022-09-01 09:15:00,1.775,5665.6665,463.676
2022-09-01 09:30:00,2.782,10644.333,522.4426666666666
2022-09-01 09:45:00,3.081,12568.667,613.5066666666667
2022-09-01 10:00:00,3.11,11596.667,632.1373333333333
2022-09-01 10:15:00,3.456,12347.667,663.1346666666667
2022-09-01 10:30:00,3.677,14415.0,675.41
2022-09-01 10:45:00,3.775,14619.667,697.8113333333333
2022-09-01 11:00:00,3.998,15732.333,706.5913333333333
2022-09-01 11:15:00,4.1690000000000005,15915.0,670.9533333333333
