Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,18.61913333333333
2022-09-01 00:15:00,0.0,0.0,19.18526666666667
2022-09-01 00:30:00,0.0,0.0,19.8244
2022-09-01 00:45:00,0.0,0.0,20.10293333333333
2022-09-01 01:00:00,0.0,0.0,20.19786666666667
2022-09-01 01:15:00,0.0,0.0,20.26393333333333
2022-09-01 01:30:00,0.0,0.0,20.4042
2022-09-01 01:45:00,0.0,0.0,20.10993333333333
2022-09-01 02:00:00,0.0,0.0,19.98473333333333
2022-09-01 02:15:00,0.0,0.0,19.97093333333333
2022-09-01 02:30:00,0.0,0.0,20.25013333333333
2022-09-01 02:45:00,0.0,0.0,20.41926666666667
2022-09-01 03:00:00,0.0,0.0,20.42706666666667
2022-09-01 03:15:00,0.0,0.0,20.39773333333333
2022-09-01 03:30:00,0.0,0.0,20.32513333333333
2022-09-01 03:45:00,0.0,0.0,20.27346666666666
2022-09-01 04:00:00,0.0,0.0,20.50126666666667
2022-09-01 04:15:00,0.0,0.0,20.75153333333333
2022-09-01 04:30:00,0.0,0.0,20.83193333333333
2022-09-01 04:45:00,0.0,0.0,20.8242
2022-09-01 05:00:00,0.0,0.0,20.6846
2022-09-01 05:15:00,0.0,0.0,20.54513333333334
2022-09-01 05:30:00,0.0,0.0,20.7588
2022-09-01 05:45:00,0.0,0.0,21.11173333333333
2022-09-01 06:00:00,0.0,0.0,24.1488
2022-09-01 06:15:00,0.06,319.624,33.92193333333334
2022-09-01 06:30:00,0.217,996.2662,55.41593333333334
2022-09-01 06:45:00,0.402,1655.9374,87.18393333333333
2022-09-01 07:00:00,0.631,2624.2874,120.0086666666667
2022-09-01 07:15:00,1.058,4372.2407,172.7806666666667
2022-09-01 07:30:00,1.457,5891.634,223.5126666666667
2022-09-01 07:45:00,1.815,7287.1973,271.164
2022-09-01 08:00:00,2.219,8994.127,318.7646666666667
2022-09-01 08:15:00,2.6670000000000003,10618.881,364.8773333333333
2022-09-01 08:30:00,3.136,12325.338,406.214
2022-09-01 08:45:00,3.532,14014.921,454.456
2022-09-01 09:00:00,3.961,15586.807,477.902
2022-09-01 09:15:00,2.62,11317.129,463.676
2022-09-01 09:30:00,4.767,19055.61,522.4426666666666
2022-09-01 09:45:00,4.936,20155.168,613.5066666666667
2022-09-01 10:00:00,5.163,21696.49,632.1373333333333
2022-09-01 10:15:00,5.577,22012.646,663.1346666666667
2022-09-01 10:30:00,5.8180000000000005,22622.73,675.41
2022-09-01 10:45:00,5.863,22966.502,697.8113333333333
2022-09-01 11:00:00,6.2700000000000005,24656.307,706.5913333333333
2022-09-01 11:15:00,6.384,24823.518,670.9533333333333
