Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,18.61913333333333
2022-09-01 00:15:00,0.0,0.0,19.18526666666667
2022-09-01 00:30:00,0.0,0.0,19.8244
2022-09-01 00:45:00,0.0,0.0,20.10293333333333
2022-09-01 01:00:00,0.0,0.0,20.19786666666667
2022-09-01 01:15:00,0.0,0.0,20.26393333333333
2022-09-01 01:30:00,0.0,0.0,20.4042
2022-09-01 01:45:00,0.0,0.0,20.10993333333333
2022-09-01 02:00:00,0.0,0.0,19.98473333333333
2022-09-01 02:15:00,0.0,0.0,19.97093333333333
2022-09-01 02:30:00,0.0,0.0,20.25013333333333
2022-09-01 02:45:00,0.0,0.0,20.41926666666667
2022-09-01 03:00:00,0.0,0.0,20.42706666666667
2022-09-01 03:15:00,0.0,0.0,20.39773333333333
2022-09-01 03:30:00,0.0,0.0,20.32513333333333
2022-09-01 03:45:00,0.0,0.0,20.27346666666666
2022-09-01 04:00:00,0.0,0.0,20.50126666666667
2022-09-01 04:15:00,0.0,0.0,20.75153333333333
2022-09-01 04:30:00,0.0,0.0,20.83193333333333
2022-09-01 04:45:00,0.0,0.0,20.8242
2022-09-01 05:00:00,0.0,0.0,20.6846
2022-09-01 05:15:00,0.0,0.0,20.54513333333334
2022-09-01 05:30:00,0.0,0.0,20.7588
2022-09-01 05:45:00,0.0,0.0,21.11173333333333
2022-09-01 06:00:00,0.0,0.0,24.1488
2022-09-01 06:15:00,0.059,310.85974,33.92193333333334
2022-09-01 06:30:00,0.217,999.28986,55.41593333333334
2022-09-01 06:45:00,0.43,1798.7006,87.18393333333333
2022-09-01 07:00:00,0.68,2862.9116,120.0086666666667
2022-09-01 07:15:00,1.164,4813.382,172.7806666666667
2022-09-01 07:30:00,1.612,6549.2944,223.5126666666667
2022-09-01 07:45:00,2.089,8462.452,271.164
2022-09-01 08:00:00,2.583,10369.214,318.7646666666667
2022-09-01 08:15:00,3.0540000000000003,12197.822,364.8773333333333
2022-09-01 08:30:00,3.526,14109.309,406.214
2022-09-01 08:45:00,4.066,16125.689,454.456
2022-09-01 09:00:00,4.399,16902.613,477.902
2022-09-01 09:15:00,3.898,15949.393,463.676
2022-09-01 09:30:00,5.013,20947.848,522.4426666666666
2022-09-01 09:45:00,5.433,21906.725,613.5066666666667
2022-09-01 10:00:00,5.43,18875.164,632.1373333333333
2022-09-01 10:15:00,6.263,24216.523,663.1346666666667
2022-09-01 10:30:00,6.247,24246.547,675.41
2022-09-01 10:45:00,6.458,25108.453,697.8113333333333
2022-09-01 11:00:00,6.164,24819.36,706.5913333333333
2022-09-01 11:15:00,7.013,26990.838,670.9533333333333
