Time,generation,power(W),Irradiance (W/m2)
1/9/2022 0:00,0,0,18.61913333
1/9/2022 0:15,0,0,19.18526667
1/9/2022 0:30,0,0,19.8244
1/9/2022 0:45,0,0,20.10293333
1/9/2022 1:00,0,0,20.19786667
1/9/2022 1:15,0,0,20.26393333
1/9/2022 1:30,0,0,20.4042
1/9/2022 1:45,0,0,20.10993333
1/9/2022 2:00,0,0,19.98473333
1/9/2022 2:15,0,0,19.97093333
1/9/2022 2:30,0,0,20.25013333
1/9/2022 2:45,0,0,20.41926667
1/9/2022 3:00,0,0,20.42706667
1/9/2022 3:15,0,0,20.39773333
1/9/2022 3:30,0,0,20.32513333
1/9/2022 3:45,0,0,20.27346667
1/9/2022 4:00,0,0,20.50126667
1/9/2022 4:15,0,0,20.75153333
1/9/2022 4:30,0,0,20.83193333
1/9/2022 4:45,0,0,20.8242
1/9/2022 5:00,0,0,20.6846
1/9/2022 5:15,0,0,20.54513333
1/9/2022 5:30,0,0,20.7588
1/9/2022 5:45,0,0,21.11173333
1/9/2022 6:00,0,11.401376,24.1488
1/9/2022 6:15,0.055,283.07745,33.92193333
1/9/2022 6:30,0.193,884.07587,55.41593333
1/9/2022 6:45,0.335,1359.5635,87.18393333
1/9/2022 7:00,0.472,1937.1775,120.0086667
1/9/2022 7:15,0.719,2955.9165,172.7806667
1/9/2022 7:30,0.979,4000.5903,223.5126667
1/9/2022 7:45,1.264,5083.8066,271.164
1/9/2022 8:00,1.528,6152.474,318.7646667
1/9/2022 8:15,1.869,7630.366,364.8773333
1/9/2022 8:30,2.381,9503.479,406.214
1/9/2022 8:45,2.821,11341.733,454.456
1/9/2022 9:00,3.363,14055.776,477.902
1/9/2022 9:15,2.887,9825.396,463.676
1/9/2022 9:30,4.326,17507.139,522.4426667
1/9/2022 9:45,4.84,18188.98,613.5066667
1/9/2022 10:00,4.731,18859.184,632.1373333
1/9/2022 10:15,5.723,22246.22,663.1346667
1/9/2022 10:30,5.803,22652.06,675.41
1/9/2022 10:45,6.103,23649.725,697.8113333
1/9/2022 11:00,6.249,24538.818,706.5913333
1/9/2022 11:15,6.545,25408.422,670.9533333
1/9/2022 11:30,6.55,25961.404,735.4413333
1/9/2022 11:45,6.147,23352.75,741.4646667
1/9/2022 12:00,7.143,27817.377,758.1706667
1/9/2022 12:15,7.004,28251.475,756.6833333
1/9/2022 12:30,7.525,29543.018,668.8
1/9/2022 12:45,6.301,25639.58,709.4266667
1/9/2022 13:00,6.131,25439.215,762.0853333
1/9/2022 13:15,6.916,24387.553,732.2486667
1/9/2022 13:30,5,19995.713,649.0086667
1/9/2022 13:45,5.732,27485.596,756.752
1/9/2022 14:00,4.33,11570.575,584.1026667
1/9/2022 14:15,4.798,22514.479,454.448
1/9/2022 14:30,3.536,12291.54,456.254
1/9/2022 14:45,3.519,14550.692,350.3066667
1/9/2022 15:00,4.23,13869.47,267.962
1/9/2022 15:15,2.734,9729.852,320.3313333
1/9/2022 15:30,1.196,4190.107,162.9513333
1/9/2022 15:45,0.471,1293.3192,79.55
1/9/2022 16:00,0.046,266.5216,25.0626
1/9/2022 16:15,0.357,1686.6356,48.852
1/9/2022 16:30,0.535,1913.3796,67.5458
1/9/2022 16:45,0.466,2050.3765,54.99366667
1/9/2022 17:00,0.555,1960.8336,72.21433333
1/9/2022 17:15,0.442,1600.7412,61.04566667
1/9/2022 17:30,0.287,1012.4942,45.7336
1/9/2022 17:45,0.207,795.2486,38.46386667
1/9/2022 18:00,0.128,432.1978,31.00926667
1/9/2022 18:15,0.033,86.46792,21.81753333
1/9/2022 18:30,0,1.3108598,15.4716
1/9/2022 18:45,0,0,12.626
1/9/2022 19:00,0,0,12.4422
1/9/2022 19:15,0,0,12.56706667
1/9/2022 19:30,0,0,12.58133333
1/9/2022 19:45,0,0,12.62613333
1/9/2022 20:00,0,0,13.00826667
1/9/2022 20:15,0,0,13.2658
1/9/2022 20:30,0,0,13.50073333
1/9/2022 20:45,0,0,13.736
1/9/2022 21:00,0,0,14.3314
1/9/2022 21:15,0,0,14.339
1/9/2022 21:30,0,0,14.69953333
1/9/2022 21:45,0,0,14.92
1/9/2022 22:00,0,0,15.02273333
1/9/2022 22:15,0,0,15.33826667
1/9/2022 22:30,0,0,15.38986667
1/9/2022 22:45,0,0,15.67786667
1/9/2022 23:00,0,0,15.87613333
1/9/2022 23:15,0,0,15.884
1/9/2022 23:30,0,0,15.8836
1/9/2022 23:45,0,0,15.89093333
2/9/2022 0:00,0,0,15.95733333
2/9/2022 0:15,0,0,16.3688
2/9/2022 0:30,0,0,16.854
2/9/2022 0:45,0,0,17.13353333
2/9/2022 1:00,0,0,17.2068
2/9/2022 1:15,0,0,17.19213333
2/9/2022 1:30,0,0,17.2364
2/9/2022 1:45,0,0,17.31686667
2/9/2022 2:00,0,0,17.47886667
2/9/2022 2:15,0,0,17.61146667
2/9/2022 2:30,0,0,17.66246667
2/9/2022 2:45,0,0,17.8682
2/9/2022 3:00,0,0,17.90546667
2/9/2022 3:15,0,0,18.023
2/9/2022 3:30,0,0,18.11833333
2/9/2022 3:45,0,0,18.24333333
2/9/2022 4:00,0,0,18.56706667
2/9/2022 4:15,0,0,18.6408
2/9/2022 4:30,0,0,18.48566667
2/9/2022 4:45,0,0,18.87493333
2/9/2022 5:00,0,0,19.19153333
2/9/2022 5:15,0,0,19.24353333
2/9/2022 5:30,0,0,19.32386667
2/9/2022 5:45,0,0,19.36833333
2/9/2022 6:00,0,0,20.4426
2/9/2022 6:15,0.041,257.04,29.44406667
2/9/2022 6:30,0.219,973.7749,47.416
2/9/2022 6:45,0.402,1655.7706,65.77713333
2/9/2022 7:00,0.452,1793.8796,74.44013333
2/9/2022 7:15,0.64,2654.8865,93.26926667
2/9/2022 7:30,0.863,3475.7537,116.1526667
2/9/2022 7:45,1.099,4489.3706,145.8186667
2/9/2022 8:00,1.568,6422.47,203.5413333
2/9/2022 8:15,1.923,7597.4717,244.5033333
2/9/2022 8:30,2,7917.832,247.2533333
2/9/2022 8:45,2.066,7923.569,262.5793333
2/9/2022 9:00,2.665,12106.012,332.4653333
2/9/2022 9:15,2.983,12265.44,376.9113333
2/9/2022 9:30,3.351,13384.701,382.764
2/9/2022 9:45,3.513,13467.366,379.87
2/9/2022 10:00,3.292,11629.395,390.19
2/9/2022 10:15,4.071,14742.088,444.658
2/9/2022 10:30,4.485,15513.312,545.4106667
2/9/2022 10:45,4.516,19926.088,585.9573333
2/9/2022 11:00,5.309,21026.814,597.2426667
2/9/2022 11:15,5.35,20962.086,604.3213333
2/9/2022 11:30,5.556,21605.635,601.2833333
2/9/2022 11:45,5.507,21382.955,575.1313333
2/9/2022 12:00,5.642,21145.322,649.032
2/9/2022 12:15,3.881,17534.543,490.6673333
2/9/2022 12:30,4.41,17355.19,489.01
2/9/2022 12:45,5.287,21602.602,502.7093333
2/9/2022 13:00,5.386,18248.285,540.9953333
2/9/2022 13:15,5.281,21364.11,517.1026667
2/9/2022 13:30,5.456,21798.799,554.0553333
2/9/2022 13:45,5.516,21580.162,550.9146667
2/9/2022 14:00,5.27,20995.982,558.1506667
2/9/2022 14:15,5.327,17824.795,562.002
2/9/2022 14:30,5.445,21121.096,562.136
2/9/2022 14:45,5.061,19937.627,591.5433333
2/9/2022 15:00,4.532,19286.283,487.768
2/9/2022 15:15,4.735,18316.396,557.79
2/9/2022 15:30,3.879,14850.917,468.39
2/9/2022 15:45,3.57,14317.389,450.73
2/9/2022 16:00,3.072,12133.409,397.0493333
2/9/2022 16:15,2.661,10036.508,341.816
2/9/2022 16:30,2.099,7802.0728,275.6213333
2/9/2022 16:45,1.788,6838.0093,234.9526667
2/9/2022 17:00,1.547,5923.1943,207.8413333
2/9/2022 17:15,1.26,4618.9907,125.2716667
2/9/2022 17:30,0.616,1984.9287,68.00233333
2/9/2022 17:45,0.447,1712.2281,63.44293333
2/9/2022 18:00,0.248,830.3129,45.53053333
2/9/2022 18:15,0.107,330.7172,32.50426667
2/9/2022 18:30,0,10.645433,21.59693333
2/9/2022 18:45,0,0,16.9744
2/9/2022 19:00,0,0,15.89386667
2/9/2022 19:15,0,0,16.27706667
2/9/2022 19:30,0,0,16.505
2/9/2022 19:45,0,0,16.55693333
2/9/2022 20:00,0,0,17.02806667
2/9/2022 20:15,0,0,17.624
2/9/2022 20:30,0,0,17.78573333
2/9/2022 20:45,0,0,17.85206667
2/9/2022 21:00,0,0,17.86666667
2/9/2022 21:15,0,0,17.9108
2/9/2022 21:30,0,0,18.34466667
2/9/2022 21:45,0,0,18.529
2/9/2022 22:00,0,0,18.55086667
2/9/2022 22:15,0,0,18.54353333
2/9/2022 22:30,0,0,18.60266667
2/9/2022 22:45,0,0,18.63193333
2/9/2022 23:00,0,0,19.08826667
2/9/2022 23:15,0,0,19.50033333
2/9/2022 23:30,0,0,19.57506667
