Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,18.61913333333333
2022-09-01 00:15:00,0.0,0.0,19.18526666666667
2022-09-01 00:30:00,0.0,0.0,19.8244
2022-09-01 00:45:00,0.0,0.0,20.10293333333333
2022-09-01 01:00:00,0.0,0.0,20.19786666666667
2022-09-01 01:15:00,0.0,0.0,20.26393333333333
2022-09-01 01:30:00,0.0,0.0,20.4042
2022-09-01 01:45:00,0.0,0.0,20.10993333333333
2022-09-01 02:00:00,0.0,0.0,19.98473333333333
2022-09-01 02:15:00,0.0,0.0,19.97093333333333
2022-09-01 02:30:00,0.0,0.0,20.25013333333333
2022-09-01 02:45:00,0.0,0.0,20.41926666666667
2022-09-01 03:00:00,0.0,0.0,20.42706666666667
2022-09-01 03:15:00,0.0,0.0,20.39773333333333
2022-09-01 03:30:00,0.0,0.0,20.32513333333333
2022-09-01 03:45:00,0.0,0.0,20.27346666666666
2022-09-01 04:00:00,0.0,0.0,20.50126666666667
2022-09-01 04:15:00,0.0,0.0,20.75153333333333
2022-09-01 04:30:00,0.0,0.0,20.83193333333333
2022-09-01 04:45:00,0.0,0.0,20.8242
2022-09-01 05:00:00,0.0,0.0,20.6846
2022-09-01 05:15:00,0.0,0.0,20.54513333333334
2022-09-01 05:30:00,0.0,0.0,20.7588
2022-09-01 05:45:00,0.0,0.0,21.11173333333333
2022-09-01 06:00:00,0.0,0.0,24.1488
2022-09-01 06:15:00,0.001,22.716606,33.92193333333334
2022-09-01 06:30:00,0.026,128.0901,55.41593333333334
2022-09-01 06:45:00,0.062,251.02399,87.18393333333333
2022-09-01 07:00:00,0.083,342.4927,120.0086666666667
2022-09-01 07:15:00,0.128,528.23413,172.7806666666667
2022-09-01 07:30:00,0.184,755.5147,223.5126666666667
2022-09-01 07:45:00,0.237,941.667,271.164
2022-09-01 08:00:00,0.286,1199.9982,318.7646666666667
2022-09-01 08:15:00,0.424,1695.947,364.8773333333333
2022-09-01 08:30:00,0.488,1926.6487,406.214
2022-09-01 08:45:00,0.49,1998.5021,454.456
2022-09-01 09:00:00,0.619,2406.1091,477.902
2022-09-01 09:15:00,0.761,2539.894,463.676
2022-09-01 09:30:00,0.925,3545.9902,522.4426666666666
2022-09-01 09:45:00,1.258,4617.336,613.5066666666667
2022-09-01 10:00:00,1.515,5952.884,632.1373333333333
2022-09-01 10:15:00,1.624,6373.0723,663.1346666666667
2022-09-01 10:30:00,1.642,6384.04,675.41
2022-09-01 10:45:00,1.644,6376.0283,697.8113333333333
2022-09-01 11:00:00,1.641,6373.7935,706.5913333333333
2022-09-01 11:15:00,1.643,6380.236,670.9533333333333
