Time,generation(kWh),power(W),Irradiance (W/m2),Area
1/9/2022 0:00,0.0,0.0,19.43293333,153.109584
1/9/2022 1:00,0.0,0.0,20.24398333,153.109584
1/9/2022 2:00,0.0,0.0,20.15626667,153.109584
1/9/2022 3:00,0.0,0.0,20.35585,153.109584
1/9/2022 4:00,0.0,0.0,20.72723333,153.109584
1/9/2022 5:00,0.0,0.0,20.77506667,153.109584
1/9/2022 6:00,0.0,0.0,50.16765,153.109584
1/9/2022 7:00,0.2,200.0,196.8665,153.109584
1/9/2022 8:00,1.803,1803.0,386.078,153.109584
1/9/2022 9:00,5.56,5560.0,519.3818333,153.109584
1/9/2022 10:00,8.953,8953.0,667.1233333,153.109584
1/9/2022 11:00,13.095,13095.0,713.6126667,153.109584
1/9/2022 12:00,14.491,14491.0,723.2701667,153.109584
1/9/2022 13:00,14.819,14819.0,725.0236667,153.109584
1/9/2022 14:00,13.133,13133.0,461.2778333,153.109584
1/9/2022 15:00,8.486,8486.0,207.6986667,153.109584
1/9/2022 16:00,4.617,4617.0,49.11351667,153.109584
1/9/2022 17:00,0.666,666.0,54.36436667,153.109584
1/9/2022 18:00,0.867,867.0,20.2311,153.109584
1/9/2022 19:00,0.104,104.0,12.55418333,153.109584
1/9/2022 20:00,0.0,0.0,13.3777,153.109584
1/9/2022 21:00,0.0,0.0,14.57248333,153.109584
1/9/2022 22:00,0.0,0.0,15.35718333,153.109584
1/9/2022 23:00,0.0,0.0,15.88366667,153.109584
2/9/2022 0:00,0.0,0.0,16.57841667,153.109584
2/9/2022 1:00,0.0,0.0,17.23805,153.109584
2/9/2022 2:00,0.0,0.0,17.65525,153.109584
2/9/2022 3:00,0.0,0.0,18.07253333,153.109584
2/9/2022 4:00,0.0,0.0,18.64211667,153.109584
2/9/2022 5:00,0.0,0.0,19.28181667,153.109584
2/9/2022 6:00,0.0,0.0,40.76995,153.109584
2/9/2022 7:00,0.41,410.0,107.4201833,153.109584
2/9/2022 8:00,1.612,1612.0,239.4693333,153.109584
2/9/2022 9:00,4.278,4278.0,368.0026667,153.109584
2/9/2022 10:00,7.005,7005.0,491.554,153.109584
2/9/2022 11:00,9.52,9520.0,594.4946667,153.109584
2/9/2022 12:00,12.466,12466.0,532.8546667,153.109584
2/9/2022 13:00,10.74,10740.0,540.767,153.109584
2/9/2022 14:00,10.592,10592.0,568.458,153.109584
2/9/2022 15:00,9.882,9882.0,491.1695,153.109584
2/9/2022 16:00,7.161,7161.0,312.3598333,153.109584
2/9/2022 17:00,2.12,2120.0,116.1395667,153.109584
2/9/2022 18:00,1.988,1988.0,29.15153333,153.109584
2/9/2022 19:00,0.219,219.0,16.30821667,153.109584
2/9/2022 20:00,0.0,0.0,17.57246667,153.109584
2/9/2022 21:00,0.0,0.0,18.16278333,153.109584
2/9/2022 22:00,0.0,0.0,18.58225,153.109584
2/9/2022 23:00,0.0,0.0,19.49351667,153.109584
3/9/2022 0:00,0.0,0.0,20.34196667,153.109584
3/9/2022 1:00,0.0,0.0,20.57106667,153.109584
3/9/2022 2:00,0.0,0.0,21.13556667,153.109584
3/9/2022 3:00,0.0,0.0,21.27101667,153.109584
3/9/2022 4:00,0.0,0.0,21.77025,153.109584
3/9/2022 5:00,0.0,0.0,21.99301667,153.109584
3/9/2022 6:00,0.0,0.0,56.2816,153.109584
3/9/2022 7:00,0.24,240.0,202.872,153.109584
3/9/2022 8:00,1.874,1874.0,389.6216667,153.109584
3/9/2022 9:00,5.753,5753.0,546.4738333,153.109584
3/9/2022 10:00,9.564,9564.0,663.7115,153.109584
3/9/2022 11:00,13.272,13272.0,731.872,153.109584
3/9/2022 12:00,15.361,15361.0,745.0365,153.109584
3/9/2022 13:00,15.735,15735.0,707.0593333,153.109584
3/9/2022 14:00,13.644,13644.0,618.1786667,153.109584
3/9/2022 15:00,10.57,10570.0,477.6898333,153.109584
3/9/2022 16:00,7.59,7590.0,308.939,153.109584
3/9/2022 17:00,4.275,4275.0,99.39241667,153.109584
3/9/2022 18:00,1.55,1550.0,20.27755,153.109584
3/9/2022 19:00,0.107,107.0,11.97608333,153.109584
3/9/2022 20:00,0.0,0.0,13.10186667,153.109584
3/9/2022 21:00,0.0,0.0,14.40348333,153.109584
3/9/2022 22:00,0.0,0.0,16.047,153.109584
3/9/2022 23:00,0.0,0.0,17.2622,153.109584
4/9/2022 0:00,0.0,0.0,17.98665,153.109584
4/9/2022 1:00,0.0,0.0,18.52416667,153.109584
4/9/2022 2:00,0.0,0.0,19.07886667,153.109584
4/9/2022 3:00,0.0,0.0,19.28621667,153.109584
4/9/2022 4:00,0.0,0.0,19.82691667,153.109584
4/9/2022 5:00,0.0,0.0,19.99045,153.109584
4/9/2022 6:00,0.0,0.0,59.38405,153.109584
4/9/2022 7:00,0.176,176.0,219.8753333,153.109584
4/9/2022 8:00,1.721,1721.0,387.1749333,153.109584
4/9/2022 9:00,5.778,5778.0,556.1385,153.109584
4/9/2022 10:00,9.617,9617.0,668.4125,153.109584
4/9/2022 11:00,13.622,13622.0,733.0811667,153.109584
4/9/2022 12:00,15.667,15667.0,747.8863333,153.109584
4/9/2022 13:00,15.716,15716.0,716.0816667,153.109584
4/9/2022 14:00,13.555,13555.0,632.7701667,153.109584
4/9/2022 15:00,10.508,10508.0,497.7605,153.109584
4/9/2022 16:00,7.527,7527.0,332.7555,153.109584
4/9/2022 17:00,4.161,4161.0,108.38955,153.109584
4/9/2022 18:00,1.534,1534.0,19.362855,153.109584
4/9/2022 19:00,0.114,114.0,10.63386167,153.109584
4/9/2022 20:00,0.0,0.0,11.70626667,153.109584
4/9/2022 21:00,0.0,0.0,12.5621,153.109584
4/9/2022 22:00,0.0,0.0,14.12623333,153.109584
4/9/2022 23:00,0.0,0.0,16.17753333,153.109584
5/9/2022 0:00,0.0,0.0,17.51045,153.109584
5/9/2022 1:00,0.0,0.0,18.33746667,153.109584
5/9/2022 2:00,0.0,0.0,18.86971667,153.109584
5/9/2022 3:00,0.0,0.0,19.21458333,153.109584
5/9/2022 4:00,0.0,0.0,20.03148333,153.109584
5/9/2022 5:00,0.0,0.0,20.1674,153.109584
5/9/2022 6:00,0.0,0.0,37.83951667,153.109584
5/9/2022 7:00,0.114,114.0,129.0012167,153.109584
5/9/2022 8:00,1.385,1385.0,264.5788333,153.109584
5/9/2022 9:00,4.548,4548.0,328.476,153.109584
5/9/2022 10:00,5.928,5928.0,519.826,153.109584
5/9/2022 11:00,10.029,10029.0,734.5088333,153.109584
5/9/2022 12:00,15.54,15540.0,752.9408333,153.109584
5/9/2022 13:00,15.568,15568.0,712.4678333,153.109584
5/9/2022 14:00,13.317,13317.0,626.5093333,153.109584
5/9/2022 15:00,10.226,10226.0,432.48,153.109584
5/9/2022 16:00,6.417,6417.0,247.3032667,153.109584
