Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,19.43293333333333
2022-09-01 01:00:00,0.0,0.0,20.24398333333333
2022-09-01 02:00:00,0.0,0.0,20.15626666666667
2022-09-01 03:00:00,0.0,0.0,20.35585
2022-09-01 04:00:00,0.0,0.0,20.72723333333333
2022-09-01 05:00:00,0.0,0.0,20.77506666666667
2022-09-01 06:00:00,0.0,0.0,50.16765
2022-09-01 07:00:00,0.236,236.0,196.8665
2022-09-01 08:00:00,2.492,2492.0,386.078
2022-09-01 09:00:00,6.273,6273.0,519.3818333333334
2022-09-01 10:00:00,10.423,10423.0,667.1233333333333
2022-09-01 11:00:00,15.169,15169.0,713.6126666666667
2022-09-01 12:00:00,16.753,16753.0,723.2701666666667
2022-09-01 13:00:00,17.57,17570.0,725.0236666666667
2022-09-01 14:00:00,17.099,17099.0,461.2778333333333
2022-09-01 15:00:00,11.672,11672.0,207.6986666666667
2022-09-01 16:00:00,5.601,5601.0,49.11351666666667
2022-09-01 17:00:00,0.754,754.0,54.36436666666667
2022-09-01 18:00:00,1.029,1029.0,20.2311
2022-09-01 19:00:00,0.13,130.0,12.55418333333333
2022-09-01 20:00:00,0.0,0.0,13.3777
2022-09-01 21:00:00,0.0,0.0,14.57248333333333
2022-09-01 22:00:00,0.0,0.0,15.35718333333334
2022-09-01 23:00:00,0.0,0.0,15.88366666666666
2022-09-02 00:00:00,0.0,0.0,16.57841666666667
2022-09-02 01:00:00,0.0,0.0,17.23805
2022-09-02 02:00:00,0.0,0.0,17.65525
2022-09-02 03:00:00,0.0,0.0,18.07253333333333
2022-09-02 04:00:00,0.0,0.0,18.64211666666667
2022-09-02 05:00:00,0.0,0.0,19.28181666666667
2022-09-02 06:00:00,0.0,0.0,40.76994999999999
2022-09-02 07:00:00,0.462,462.0,107.4201833333333
2022-09-02 08:00:00,1.846,1846.0,239.4693333333334
2022-09-02 09:00:00,4.811,4811.0,368.0026666666666
2022-09-02 10:00:00,8.064,8064.0,491.554
2022-09-02 11:00:00,11.149,11149.0,594.4946666666666
2022-09-02 12:00:00,14.705,14705.0,532.8546666666666
2022-09-02 13:00:00,13.57,13570.0,540.767
2022-09-02 14:00:00,13.291,13291.0,568.4580000000001
2022-09-02 15:00:00,13.859,13859.0,491.1695
2022-09-02 16:00:00,10.506,10506.0,312.3598333333333
2022-09-02 17:00:00,5.444,5444.0,116.1395666666667
2022-09-02 18:00:00,2.21,2210.0,29.15153333333333
2022-09-02 19:00:00,0.274,274.0,16.30821666666667
2022-09-02 20:00:00,0.0,0.0,17.57246666666667
2022-09-02 21:00:00,0.0,0.0,18.16278333333333
2022-09-02 22:00:00,0.0,0.0,18.58225
2022-09-02 23:00:00,0.0,0.0,19.49351666666666
2022-09-03 00:00:00,0.0,0.0,20.34196666666667
2022-09-03 01:00:00,0.0,0.0,20.57106666666666
2022-09-03 02:00:00,0.0,0.0,21.13556666666667
2022-09-03 03:00:00,0.0,0.0,21.27101666666667
2022-09-03 04:00:00,0.0,0.0,21.77025
2022-09-03 05:00:00,0.0,0.0,21.99301666666667
2022-09-03 06:00:00,0.0,0.0,56.2816
2022-09-03 07:00:00,0.277,277.0,202.872
2022-09-03 08:00:00,2.653,2653.0,389.6216666666667
2022-09-03 09:00:00,6.433,6433.0,546.4738333333333
2022-09-03 10:00:00,10.853,10853.0,663.7115
2022-09-03 11:00:00,15.28,15280.0,731.8720000000001
2022-09-03 12:00:00,17.776,17776.0,745.0365
2022-09-03 13:00:00,18.372,18372.0,707.0593333333334
2022-09-03 14:00:00,17.407,17407.0,618.1786666666667
2022-09-03 15:00:00,14.813,14813.0,477.6898333333333
2022-09-03 16:00:00,10.009,10009.0,308.939
2022-09-03 17:00:00,5.327,5327.0,99.39241666666668
2022-09-03 18:00:00,1.712,1712.0,20.27755
2022-09-03 19:00:00,0.137,137.0,11.97608333333334
2022-09-03 20:00:00,0.0,0.0,13.10186666666667
2022-09-03 21:00:00,0.0,0.0,14.40348333333333
2022-09-03 22:00:00,0.0,0.0,16.047
2022-09-03 23:00:00,0.0,0.0,17.2622
2022-09-04 00:00:00,0.0,0.0,17.98665
2022-09-04 01:00:00,0.0,0.0,18.52416666666667
2022-09-04 02:00:00,0.0,0.0,19.07886666666667
2022-09-04 03:00:00,0.0,0.0,19.28621666666667
2022-09-04 04:00:00,0.0,0.0,19.82691666666667
2022-09-04 05:00:00,0.0,0.0,19.99045
2022-09-04 06:00:00,0.0,0.0,59.38404999999999
2022-09-04 07:00:00,0.242,242.0,219.8753333333333
2022-09-04 08:00:00,2.722,2722.0,387.1749333333333
2022-09-04 09:00:00,6.509,6509.0,556.1385
2022-09-04 10:00:00,10.886,10886.0,668.4125
2022-09-04 11:00:00,15.667,15667.0,733.0811666666667
2022-09-04 12:00:00,18.127,18127.0,747.8863333333334
2022-09-04 13:00:00,18.368,18368.0,716.0816666666667
2022-09-04 14:00:00,17.461,17461.0,632.7701666666667
2022-09-04 15:00:00,15.032,15032.0,497.7605
2022-09-04 16:00:00,9.89,9890.0,332.7555
2022-09-04 17:00:00,5.472,5472.0,108.38955
2022-09-04 18:00:00,1.651,1651.0,19.362855
2022-09-04 19:00:00,0.156,156.0,10.63386166666667
2022-09-04 20:00:00,0.0,0.0,11.70626666666666
2022-09-04 21:00:00,0.0,0.0,12.5621
2022-09-04 22:00:00,0.0,0.0,14.12623333333333
2022-09-04 23:00:00,0.0,0.0,16.17753333333334
2022-09-05 00:00:00,0.0,0.0,17.51045
2022-09-05 01:00:00,0.0,0.0,18.33746666666666
2022-09-05 02:00:00,0.0,0.0,18.86971666666667
2022-09-05 03:00:00,0.0,0.0,19.21458333333333
2022-09-05 04:00:00,0.0,0.0,20.03148333333333
2022-09-05 05:00:00,0.0,0.0,20.1674
2022-09-05 06:00:00,0.0,0.0,37.83951666666666
2022-09-05 07:00:00,0.136,136.0,129.0012166666667
2022-09-05 08:00:00,1.794,1794.0,264.5788333333333
2022-09-05 09:00:00,4.719,4719.0,328.476
2022-09-05 10:00:00,6.971,6971.0,519.826
2022-09-05 11:00:00,11.704,11704.0,734.5088333333333
2022-09-05 12:00:00,17.918,17918.0,752.9408333333333
2022-09-05 13:00:00,18.126,18126.0,712.4678333333334
2022-09-05 14:00:00,17.035,17035.0,626.5093333333333
2022-09-05 15:00:00,14.252,14252.0,432.48
2022-09-05 16:00:00,8.605,8605.0,247.3032666666666
2022-09-05 17:00:00,4.665,4665.0,103.5006166666667
2022-09-05 18:00:00,1.688,1688.0,22.12668333333333
2022-09-05 19:00:00,0.17,170.0,12.58466666666667
2022-09-05 20:00:00,0.0,0.0,13.20546666666666
2022-09-05 21:00:00,0.0,0.0,14.37418333333333
2022-09-05 22:00:00,0.0,0.0,15.58208333333334
2022-09-05 23:00:00,0.0,0.0,17.04216666666667
2022-09-06 00:00:00,0.0,0.0,17.85318333333333
2022-09-06 01:00:00,0.0,0.0,18.64241666666667
2022-09-06 02:00:00,0.0,0.0,20.00908333333334
2022-09-06 03:00:00,0.0,0.0,21.58286666666667
2022-09-06 04:00:00,0.0,0.0,22.5809
2022-09-06 05:00:00,0.0,0.0,23.34815
