Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,19.43293333333333
2022-09-01 01:00:00,0.0,0.0,20.24398333333333
2022-09-01 02:00:00,0.0,0.0,20.15626666666667
2022-09-01 03:00:00,0.0,0.0,20.35585
2022-09-01 04:00:00,0.0,0.0,20.72723333333333
2022-09-01 05:00:00,0.0,0.0,20.77506666666667
2022-09-01 06:00:00,0.0,0.0,50.16765
2022-09-01 07:00:00,0.59,590.0,196.8665
2022-09-01 08:00:00,4.711,4711.0,386.078
2022-09-01 09:00:00,12.654,12654.0,519.3818333333334
2022-09-01 10:00:00,19.582,19582.0,667.1233333333333
2022-09-01 11:00:00,27.114,27114.0,713.6126666666667
2022-09-01 12:00:00,28.542,28542.0,723.2701666666667
2022-09-01 13:00:00,30.555,30555.0,725.0236666666667
2022-09-01 14:00:00,27.344,27344.0,461.2778333333333
2022-09-01 15:00:00,18.545,18545.0,207.6986666666667
2022-09-01 16:00:00,10.218,10218.0,49.11351666666667
2022-09-01 17:00:00,1.598,1598.0,54.36436666666667
2022-09-01 18:00:00,2.001,2001.0,20.2311
2022-09-01 19:00:00,0.346,346.0,12.55418333333333
2022-09-01 20:00:00,0.0,0.0,13.3777
2022-09-01 21:00:00,0.0,0.0,14.57248333333333
2022-09-01 22:00:00,0.0,0.0,15.35718333333334
2022-09-01 23:00:00,0.0,0.0,15.88366666666666
2022-09-02 00:00:00,0.0,0.0,16.57841666666667
2022-09-02 01:00:00,0.0,0.0,17.23805
2022-09-02 02:00:00,0.0,0.0,17.65525
2022-09-02 03:00:00,0.0,0.0,18.07253333333333
2022-09-02 04:00:00,0.0,0.0,18.64211666666667
2022-09-02 05:00:00,0.0,0.0,19.28181666666667
2022-09-02 06:00:00,0.0,0.0,40.76994999999999
2022-09-02 07:00:00,0.86,860.0,107.4201833333333
2022-09-02 08:00:00,3.538,3538.0,239.4693333333334
2022-09-02 09:00:00,8.973,8973.0,368.0026666666666
2022-09-02 10:00:00,14.994,14994.0,491.554
2022-09-02 11:00:00,19.554,19554.0,594.4946666666666
2022-09-02 12:00:00,25.083,25083.0,532.8546666666666
2022-09-02 13:00:00,21.948,21948.0,540.767
2022-09-02 14:00:00,22.839,22839.0,568.4580000000001
2022-09-02 15:00:00,23.455,23455.0,491.1695
2022-09-02 16:00:00,19.398,19398.0,312.3598333333333
2022-09-02 17:00:00,11.753,11753.0,116.1395666666667
2022-09-02 18:00:00,4.438,4438.0,29.15153333333333
2022-09-02 19:00:00,0.653,653.0,16.30821666666667
2022-09-02 20:00:00,0.0,0.0,17.57246666666667
2022-09-02 21:00:00,0.0,0.0,18.16278333333333
2022-09-02 22:00:00,0.0,0.0,18.58225
2022-09-02 23:00:00,0.0,0.0,19.49351666666666
2022-09-03 00:00:00,0.0,0.0,20.34196666666667
2022-09-03 01:00:00,0.0,0.0,20.57106666666666
2022-09-03 02:00:00,0.0,0.0,21.13556666666667
2022-09-03 03:00:00,0.0,0.0,21.27101666666667
2022-09-03 04:00:00,0.0,0.0,21.77025
2022-09-03 05:00:00,0.0,0.0,21.99301666666667
2022-09-03 06:00:00,0.0,0.0,56.2816
2022-09-03 07:00:00,0.683,683.0,202.872
2022-09-03 08:00:00,4.999,4999.0,389.6216666666667
2022-09-03 09:00:00,13.267,13267.0,546.4738333333333
2022-09-03 10:00:00,21.667,21667.0,663.7115
2022-09-03 11:00:00,27.241,27241.0,731.8720000000001
2022-09-03 12:00:00,30.116,30116.0,745.0365
2022-09-03 13:00:00,30.986,30986.0,707.0593333333334
2022-09-03 14:00:00,29.505,29505.0,618.1786666666667
2022-09-03 15:00:00,25.651,25651.0,477.6898333333333
2022-09-03 16:00:00,19.061,19061.0,308.939
2022-09-03 17:00:00,12.082,12082.0,99.39241666666668
2022-09-03 18:00:00,3.594,3594.0,20.27755
2022-09-03 19:00:00,0.398,398.0,11.97608333333334
2022-09-03 20:00:00,0.0,0.0,13.10186666666667
2022-09-03 21:00:00,0.0,0.0,14.40348333333333
2022-09-03 22:00:00,0.0,0.0,16.047
2022-09-03 23:00:00,0.0,0.0,17.2622
2022-09-04 00:00:00,0.0,0.0,17.98665
2022-09-04 01:00:00,0.0,0.0,18.52416666666667
2022-09-04 02:00:00,0.0,0.0,19.07886666666667
2022-09-04 03:00:00,0.0,0.0,19.28621666666667
2022-09-04 04:00:00,0.0,0.0,19.82691666666667
2022-09-04 05:00:00,0.0,0.0,19.99045
2022-09-04 06:00:00,0.0,0.0,59.38404999999999
2022-09-04 07:00:00,0.59,590.0,219.8753333333333
2022-09-04 08:00:00,5.425,5425.0,387.1749333333333
2022-09-04 09:00:00,13.857,13857.0,556.1385
2022-09-04 10:00:00,22.188,22188.0,668.4125
2022-09-04 11:00:00,28.039,28039.0,733.0811666666667
2022-09-04 12:00:00,30.66,30660.0,747.8863333333334
2022-09-04 13:00:00,31.089,31089.0,716.0816666666667
2022-09-04 14:00:00,29.725,29725.0,632.7701666666667
2022-09-04 15:00:00,25.892,25892.0,497.7605
2022-09-04 16:00:00,19.508,19508.0,332.7555
2022-09-04 17:00:00,12.664,12664.0,108.38955
2022-09-04 18:00:00,3.515,3515.0,19.362855
2022-09-04 19:00:00,0.416,416.0,10.63386166666667
2022-09-04 20:00:00,0.0,0.0,11.70626666666666
2022-09-04 21:00:00,0.0,0.0,12.5621
2022-09-04 22:00:00,0.0,0.0,14.12623333333333
2022-09-04 23:00:00,0.0,0.0,16.17753333333334
2022-09-05 00:00:00,0.0,0.0,17.51045
2022-09-05 01:00:00,0.0,0.0,18.33746666666666
2022-09-05 02:00:00,0.0,0.0,18.86971666666667
2022-09-05 03:00:00,0.0,0.0,19.21458333333333
2022-09-05 04:00:00,0.0,0.0,20.03148333333333
2022-09-05 05:00:00,0.0,0.0,20.1674
2022-09-05 06:00:00,0.0,0.0,37.83951666666666
2022-09-05 07:00:00,0.384,384.0,129.0012166666667
2022-09-05 08:00:00,3.039,3039.0,264.5788333333333
2022-09-05 09:00:00,9.514,9514.0,328.476
2022-09-05 10:00:00,12.563,12563.0,519.826
2022-09-05 11:00:00,20.333,20333.0,734.5088333333333
2022-09-05 12:00:00,30.402,30402.0,752.9408333333333
2022-09-05 13:00:00,30.853,30853.0,712.4678333333334
2022-09-05 14:00:00,29.101,29101.0,626.5093333333333
2022-09-05 15:00:00,25.01,25010.0,432.48
2022-09-05 16:00:00,16.044,16044.0,247.3032666666666
2022-09-05 17:00:00,9.518,9518.0,103.5006166666667
2022-09-05 18:00:00,3.309,3309.0,22.12668333333333
2022-09-05 19:00:00,0.449,449.0,12.58466666666667
2022-09-05 20:00:00,0.0,0.0,13.20546666666666
2022-09-05 21:00:00,0.0,0.0,14.37418333333333
2022-09-05 22:00:00,0.0,0.0,15.58208333333334
2022-09-05 23:00:00,0.0,0.0,17.04216666666667
2022-09-06 00:00:00,0.0,0.0,17.85318333333333
2022-09-06 01:00:00,0.0,0.0,18.64241666666667
2022-09-06 02:00:00,0.0,0.0,20.00908333333334
2022-09-06 03:00:00,0.0,0.0,21.58286666666667
2022-09-06 04:00:00,0.0,0.0,22.5809
2022-09-06 05:00:00,0.0,0.0,23.34815
