Time,generation(kWh),power(W)
2022-09-01 07:00:00,1.325,5525.6665
2022-09-01 07:15:00,2.114,8684.667
2022-09-01 07:30:00,2.878,11738.667
2022-09-01 07:45:00,3.838,15591.333
2022-09-01 08:00:00,4.844,19438.666
2022-09-01 08:15:00,5.625,22386.666
2022-09-01 08:30:00,6.348,25562.334
2022-09-01 08:45:00,7.279,28688.0
2022-09-01 09:00:00,7.638,30717.666
2022-09-01 09:15:00,6.6240000000000006,23795.0
2022-09-01 09:30:00,8.739,36838.668
2022-09-01 09:45:00,10.149,40314.0
2022-09-01 10:00:00,10.209,38567.332
2022-09-01 10:15:00,10.798,42081.668
2022-09-01 10:30:00,11.052,42817.332
2022-09-01 10:45:00,11.394,44292.0
2022-09-01 11:00:00,11.702,46344.0
2022-09-01 11:15:00,12.054,46888.0
2022-09-01 11:30:00,12.348,47983.332
2022-09-01 11:45:00,11.219,42227.332
2022-09-01 12:00:00,12.886,49962.0
2022-09-01 12:15:00,12.86,51031.332
2022-09-01 12:30:00,12.096,44820.0
2022-09-01 12:45:00,12.665,52743.332
2022-09-01 13:00:00,11.815,50248.668
2022-09-01 13:15:00,11.649,46400.332
2022-09-01 13:30:00,10.703,45550.332
2022-09-01 13:45:00,11.648,45508.0
2022-09-01 14:00:00,9.148,19783.666
2022-09-01 14:15:00,7.202,33662.668
2022-09-01 14:30:00,6.941,19283.666
2022-09-01 14:45:00,6.715,25168.666
2022-09-01 15:00:00,5.761,25658.334
2022-09-01 15:15:00,5.76,18866.0
2022-09-01 15:30:00,2.506,8847.0
2022-09-01 15:45:00,1.009,2789.3333
2022-09-01 16:00:00,0.084,458.0
2022-09-01 16:15:00,0.71,3339.3333
2022-09-01 16:30:00,0.991,3418.6667
2022-09-01 16:45:00,0.8300000000000001,3703.3333
2022-09-01 17:00:00,1.064,3743.0
2022-09-01 17:15:00,0.855,3118.3333
2022-09-01 17:30:00,0.5640000000000001,1997.0
2022-09-01 17:45:00,0.422,1588.3334
2022-09-01 18:00:00,0.241,788.0
2022-09-01 18:15:00,0.058,190.66667
