Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.31,1295.3334
2022-09-01 07:15:00,0.497,2056.0
2022-09-01 07:30:00,0.708,2884.3333
2022-09-01 07:45:00,0.936,3809.6667
2022-09-01 08:00:00,1.204,4910.3335
2022-09-01 08:15:00,1.527,6158.3335
2022-09-01 08:30:00,1.806,7198.0
2022-09-01 08:45:00,2.138,8477.667
2022-09-01 09:00:00,2.453,8712.667
2022-09-01 09:15:00,1.673,8010.0
2022-09-01 09:30:00,2.968,11674.0
2022-09-01 09:45:00,3.01,12564.0
2022-09-01 10:00:00,3.047,10678.0
2022-09-01 10:15:00,3.327,13649.0
2022-09-01 10:30:00,3.653,14207.333
2022-09-01 10:45:00,3.762,14725.333
2022-09-01 11:00:00,4.0280000000000005,15945.0
2022-09-01 11:15:00,4.104,15876.333
2022-09-01 11:30:00,4.1,15749.667
2022-09-01 11:45:00,4.023,16124.667
2022-09-01 12:00:00,4.265,16262.333
2022-09-01 12:15:00,4.268,16387.666
2022-09-01 12:30:00,4.33,16998.0
2022-09-01 12:45:00,2.648,8646.0
2022-09-01 13:00:00,2.645,12772.333
2022-09-01 13:15:00,3.927,16531.0
2022-09-01 13:30:00,2.662,10384.333
2022-09-01 13:45:00,3.22,13249.333
2022-09-01 14:00:00,2.278,9065.667
2022-09-01 14:15:00,3.103,11861.0
2022-09-01 14:30:00,1.835,6659.6665
2022-09-01 14:45:00,2.04,9114.667
2022-09-01 15:00:00,2.299,9014.0
2022-09-01 15:15:00,1.552,5497.3335
2022-09-01 15:30:00,0.6920000000000001,2398.0
2022-09-01 15:45:00,0.278,770.3333
2022-09-01 16:00:00,0.028,154.0
2022-09-01 16:15:00,0.231,1070.0
2022-09-01 16:30:00,0.343,1244.3334
2022-09-01 16:45:00,0.307,1297.3334
2022-09-01 17:00:00,0.333,1194.0
2022-09-01 17:15:00,0.27,976.3333
2022-09-01 17:30:00,0.176,625.3333
2022-09-01 17:45:00,0.129,480.33334
2022-09-01 18:00:00,0.079,266.66666
2022-09-01 18:15:00,0.016,46.333332
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.28,1115.3334
2022-09-02 07:15:00,0.403,1692.3334
2022-09-02 07:30:00,0.547,2207.3333
2022-09-02 07:45:00,0.711,2916.6667
2022-09-02 08:00:00,1.052,4337.6665
2022-09-02 08:15:00,1.297,5116.3335
2022-09-02 08:30:00,1.307,5143.3335
2022-09-02 08:45:00,1.397,5671.0
2022-09-02 09:00:00,1.732,7295.0
2022-09-02 09:15:00,1.914,8078.6665
2022-09-02 09:30:00,2.166,8466.0
2022-09-02 09:45:00,2.321,9151.333
2022-09-02 10:00:00,2.233,8511.0
2022-09-02 10:15:00,2.524,10508.333
2022-09-02 10:30:00,2.723,10801.333
2022-09-02 10:45:00,2.802,12744.333
2022-09-02 11:00:00,3.229,13259.667
2022-09-02 11:15:00,3.335,12864.333
2022-09-02 11:30:00,3.43,13419.333
2022-09-02 11:45:00,3.402,13379.333
2022-09-02 12:00:00,3.398,12925.0
2022-09-02 12:15:00,3.218,11845.0
2022-09-02 12:30:00,2.832,10253.0
2022-09-02 12:45:00,3.27,12944.667
2022-09-02 13:00:00,3.221,13212.333
2022-09-02 13:15:00,3.1590000000000003,12490.333
2022-09-02 13:30:00,3.21,12241.333
2022-09-02 13:45:00,3.294,13109.0
2022-09-02 14:00:00,3.081,12858.333
2022-09-02 14:15:00,3.348,13674.0
2022-09-02 14:30:00,3.376,13106.0
2022-09-02 14:45:00,3.149,12574.0
2022-09-02 15:00:00,3.061,12214.667
2022-09-02 15:15:00,2.943,11173.333
2022-09-02 15:30:00,2.439,9213.667
2022-09-02 15:45:00,2.022,9431.0
2022-09-02 16:00:00,1.961,6864.3335
2022-09-02 16:15:00,1.735,6906.6665
2022-09-02 16:30:00,1.361,4678.3335
2022-09-02 16:45:00,1.145,4313.3335
2022-09-02 17:00:00,0.953,3584.3333
2022-09-02 17:15:00,0.667,2220.3333
2022-09-02 17:30:00,0.304,1122.6666
2022-09-02 17:45:00,0.26,995.0
2022-09-02 18:00:00,0.143,480.0
2022-09-02 18:15:00,0.059,182.66667
2022-09-02 18:30:00,0.0,0.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-03 07:00:00,0.374,1551.3334
2022-09-03 07:15:00,0.528,2162.6667
2022-09-03 07:30:00,0.709,2906.0
2022-09-03 07:45:00,0.956,3968.6667
2022-09-03 08:00:00,1.24,5011.3335
2022-09-03 08:15:00,1.571,6297.3335
2022-09-03 08:30:00,1.858,7440.6665
2022-09-03 08:45:00,2.185,8689.333
2022-09-03 09:00:00,2.535,10056.333
2022-09-03 09:15:00,2.8040000000000003,11018.0
2022-09-03 09:30:00,2.975,11647.333
2022-09-03 09:45:00,3.198,12562.0
2022-09-03 10:00:00,3.394,13276.333
2022-09-03 10:15:00,3.58,14046.0
2022-09-03 10:30:00,3.728,14496.333
2022-09-03 10:45:00,3.904,15210.667
2022-09-03 11:00:00,4.014,15681.667
2022-09-03 11:15:00,4.125,16081.667
2022-09-03 11:30:00,4.219,16499.666
2022-09-03 11:45:00,4.281,16640.666
2022-09-03 12:00:00,4.317,16715.0
2022-09-03 12:15:00,4.271,16617.0
2022-09-03 12:30:00,4.251,16609.334
2022-09-03 12:45:00,4.258,16538.334
2022-09-03 13:00:00,4.196,16217.333
2022-09-03 13:15:00,4.122,16025.0
2022-09-03 13:30:00,4.087,15792.333
2022-09-03 13:45:00,3.976,15427.667
2022-09-03 14:00:00,3.807,14648.333
2022-09-03 14:15:00,3.608,13940.333
2022-09-03 14:30:00,3.41,13102.333
2022-09-03 14:45:00,3.21,12326.667
2022-09-03 15:00:00,2.97,11423.0
2022-09-03 15:15:00,2.772,10619.0
2022-09-03 15:30:00,2.518,9601.667
2022-09-03 15:45:00,2.306,8830.0
2022-09-03 16:00:00,2.014,7642.0
2022-09-03 16:15:00,1.747,6623.0
2022-09-03 16:30:00,1.466,5483.0
2022-09-03 16:45:00,1.1,4015.0
2022-09-03 17:00:00,0.782,2878.0
2022-09-03 17:15:00,0.467,1489.0
2022-09-03 17:30:00,0.22,819.3333
2022-09-03 17:45:00,0.138,477.33334
2022-09-03 18:00:00,0.086,308.66666
2022-09-03 18:15:00,0.03,76.0
2022-09-03 18:30:00,0.0,0.0
2022-09-03 18:45:00,0.0,0.0
2022-09-03 19:00:00,0.0,0.0
2022-09-04 07:00:00,0.323,1367.0
2022-09-04 07:15:00,0.469,1913.6666
2022-09-04 07:30:00,0.634,2605.6667
2022-09-04 07:45:00,0.88,3578.3333
2022-09-04 08:00:00,1.184,4850.3335
2022-09-04 08:15:00,1.581,6390.6665
2022-09-04 08:30:00,1.983,7956.3335
2022-09-04 08:45:00,2.246,8875.667
2022-09-04 09:00:00,2.564,10186.0
2022-09-04 09:15:00,2.82,11074.667
2022-09-04 09:30:00,3.006,11810.333
2022-09-04 09:45:00,3.272,12800.0
2022-09-04 10:00:00,3.476,13596.333
2022-09-04 10:15:00,3.658,14373.667
2022-09-04 10:30:00,3.816,14934.333
2022-09-04 10:45:00,3.976,15580.333
2022-09-04 11:00:00,4.144,16179.667
2022-09-04 11:15:00,4.206,16314.0
2022-09-04 11:30:00,4.257,16558.0
2022-09-04 11:45:00,4.313,16759.0
2022-09-04 12:00:00,4.312,16741.666
2022-09-04 12:15:00,4.304,16695.334
2022-09-04 12:30:00,4.292,16679.0
2022-09-04 12:45:00,4.225,16367.0
2022-09-04 13:00:00,4.198,16319.333
2022-09-04 13:15:00,4.149,16055.0
2022-09-04 13:30:00,4.049,15647.667
2022-09-04 13:45:00,3.942,15249.333
2022-09-04 14:00:00,3.828,14773.333
2022-09-04 14:15:00,3.666,14101.667
2022-09-04 14:30:00,3.468,13374.0
2022-09-04 14:45:00,3.278,12563.667
2022-09-04 15:00:00,3.045,11673.333
2022-09-04 15:15:00,2.852,10950.667
2022-09-04 15:30:00,2.589,9881.0
2022-09-04 15:45:00,2.332,8963.0
2022-09-04 16:00:00,2.103,7988.0
2022-09-04 16:15:00,1.799,6771.6665
2022-09-04 16:30:00,1.489,5535.3335
2022-09-04 16:45:00,1.103,4037.6667
2022-09-04 17:00:00,0.777,2867.0
2022-09-04 17:15:00,0.372,1189.0
2022-09-04 17:30:00,0.153,582.0
2022-09-04 17:45:00,0.125,464.0
2022-09-04 18:00:00,0.088,312.33334
2022-09-04 18:15:00,0.035,101.333336
2022-09-04 18:30:00,0.0,0.0
2022-09-04 18:45:00,0.0,0.0
2022-09-04 19:00:00,0.0,0.0
2022-09-05 07:00:00,0.221,969.3333
2022-09-05 07:15:00,0.44,1742.6666
2022-09-05 07:30:00,0.351,1371.3334
2022-09-05 07:45:00,0.514,2123.6667
2022-09-05 08:00:00,1.157,5318.6665
2022-09-05 08:15:00,1.11,3486.3333
2022-09-05 08:30:00,1.503,5639.0
2022-09-05 08:45:00,1.497,5559.0
2022-09-05 09:00:00,1.417,5576.3335
2022-09-05 09:15:00,1.56,6148.3335
2022-09-05 09:30:00,2.113,8607.667
2022-09-05 09:45:00,1.924,7709.6665
2022-09-05 10:00:00,2.188,8583.667
2022-09-05 10:15:00,2.613,10259.667
2022-09-05 10:30:00,3.485,14934.333
2022-09-05 10:45:00,3.618,15311.0
2022-09-05 11:00:00,4.008,15768.333
2022-09-05 11:15:00,4.17,16230.333
2022-09-05 11:30:00,4.25,16492.0
2022-09-05 11:45:00,4.272,16596.334
2022-09-05 12:00:00,4.279,16625.334
2022-09-05 12:15:00,4.282,16624.0
2022-09-05 12:30:00,4.246,16503.666
2022-09-05 12:45:00,4.212,16241.0
2022-09-05 13:00:00,4.121,15940.0
2022-09-05 13:15:00,4.078,15755.0
2022-09-05 13:30:00,4.003,15518.333
2022-09-05 13:45:00,3.873,14986.667
2022-09-05 14:00:00,3.736,14391.0
2022-09-05 14:15:00,3.564,13746.333
2022-09-05 14:30:00,3.371,12984.0
2022-09-05 14:45:00,3.137,12053.0
2022-09-05 15:00:00,2.916,11183.0
2022-09-05 15:15:00,2.152,6047.0
2022-09-05 15:30:00,1.807,5666.6665
2022-09-05 15:45:00,1.39,6724.0
2022-09-05 16:00:00,1.653,6327.3335
2022-09-05 16:15:00,1.611,5968.3335
2022-09-05 16:30:00,0.846,2170.0
2022-09-05 16:45:00,0.986,3606.3333
2022-09-05 17:00:00,0.749,2765.3333
2022-09-05 17:15:00,0.38,1205.3334
2022-09-05 17:30:00,0.214,790.6667
2022-09-05 17:45:00,0.157,570.3333
2022-09-05 18:00:00,0.101,353.33334
2022-09-05 18:15:00,0.036,96.0
