Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.631,2624.2874
2022-09-01 07:15:00,1.058,4372.2407
2022-09-01 07:30:00,1.457,5891.634
2022-09-01 07:45:00,1.815,7287.1973
2022-09-01 08:00:00,2.219,8994.127
2022-09-01 08:15:00,2.6670000000000003,10618.881
2022-09-01 08:30:00,3.136,12325.338
2022-09-01 08:45:00,3.532,14014.921
2022-09-01 09:00:00,3.961,15586.807
2022-09-01 09:15:00,2.62,11317.129
2022-09-01 09:30:00,4.767,19055.61
2022-09-01 09:45:00,4.936,20155.168
2022-09-01 10:00:00,5.163,21696.49
2022-09-01 10:15:00,5.577,22012.646
2022-09-01 10:30:00,5.8180000000000005,22622.73
2022-09-01 10:45:00,5.863,22966.502
2022-09-01 11:00:00,6.2700000000000005,24656.307
2022-09-01 11:15:00,6.384,24823.518
2022-09-01 11:30:00,6.2940000000000005,24641.846
2022-09-01 11:45:00,6.6080000000000005,25986.746
2022-09-01 12:00:00,6.594,25744.572
2022-09-01 12:15:00,6.508,25067.723
2022-09-01 12:30:00,7.1370000000000005,28260.875
2022-09-01 12:45:00,3.837,13191.521
2022-09-01 13:00:00,3.0540000000000003,14854.874
2022-09-01 13:15:00,6.051,24040.846
2022-09-01 13:30:00,4.004,15318.506
2022-09-01 13:45:00,4.977,23228.193
2022-09-01 14:00:00,3.147,12128.448
2022-09-01 14:15:00,4.372,15882.809
2022-09-01 14:30:00,2.682,9233.014
2022-09-01 14:45:00,3.19,13537.587
2022-09-01 15:00:00,3.345,13057.806
2022-09-01 15:15:00,2.1710000000000003,7759.0376
2022-09-01 15:30:00,1.049,3666.319
2022-09-01 15:45:00,0.448,1264.8723
2022-09-01 16:00:00,0.049,248.80603
2022-09-01 16:15:00,0.343,1608.5958
2022-09-01 16:30:00,0.536,1938.5308
2022-09-01 16:45:00,0.471,1985.5345
2022-09-01 17:00:00,0.51,1838.2367
2022-09-01 17:15:00,0.425,1541.6207
2022-09-01 17:30:00,0.278,984.1056
2022-09-01 17:45:00,0.201,765.42847
2022-09-01 18:00:00,0.13,447.5051
2022-09-01 18:15:00,0.037,100.1943
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.441,1731.9723
2022-09-02 07:15:00,0.636,2658.282
2022-09-02 07:30:00,0.863,3473.9766
2022-09-02 07:45:00,1.117,4570.994
2022-09-02 08:00:00,1.671,6888.3335
2022-09-02 08:15:00,2.073,7990.101
2022-09-02 08:30:00,2.063,7869.6626
2022-09-02 08:45:00,2.214,8957.115
2022-09-02 09:00:00,2.651,11445.279
2022-09-02 09:15:00,3.098,11928.55
2022-09-02 09:30:00,3.4370000000000003,13388.994
2022-09-02 09:45:00,3.672,14329.728
2022-09-02 10:00:00,3.539,15383.83
2022-09-02 10:15:00,3.707,14005.602
2022-09-02 10:30:00,4.381,16538.193
2022-09-02 10:45:00,4.317,21944.688
2022-09-02 11:00:00,5.005,20347.809
2022-09-02 11:15:00,5.176,19703.074
2022-09-02 11:30:00,5.289,20737.72
2022-09-02 11:45:00,5.252,20431.303
2022-09-02 12:00:00,5.074,19817.936
2022-09-02 12:15:00,5.752,18605.709
2022-09-02 12:30:00,4.6000000000000005,18102.314
2022-09-02 12:45:00,4.978,19431.996
2022-09-02 13:00:00,4.987,19753.604
2022-09-02 13:15:00,4.649,18808.236
2022-09-02 13:30:00,4.697,17825.963
2022-09-02 13:45:00,5.017,19280.963
2022-09-02 14:00:00,4.4190000000000005,19021.287
2022-09-02 14:15:00,5.102,19273.947
2022-09-02 14:30:00,4.9910000000000005,19251.566
2022-09-02 14:45:00,4.624,18018.809
2022-09-02 15:00:00,4.317,17540.068
2022-09-02 15:15:00,4.114,15716.755
2022-09-02 15:30:00,3.358,12869.372
2022-09-02 15:45:00,2.631,10703.334
2022-09-02 16:00:00,2.789,11156.644
2022-09-02 16:15:00,2.319,9105.317
2022-09-02 16:30:00,1.752,6625.363
2022-09-02 16:45:00,1.489,5663.544
2022-09-02 17:00:00,0.836,2731.5938
2022-09-02 17:15:00,0.623,2277.452
2022-09-02 17:30:00,0.435,1628.2805
2022-09-02 17:45:00,0.379,1459.3328
2022-09-02 18:00:00,0.219,737.5194
2022-09-02 18:15:00,0.094,290.69244
2022-09-02 18:30:00,0.0,0.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-03 07:00:00,0.794,3294.585
2022-09-03 07:15:00,1.139,4669.423
2022-09-03 07:30:00,1.475,6037.287
2022-09-03 07:45:00,1.833,7516.1724
2022-09-03 08:00:00,2.274,9087.0625
2022-09-03 08:15:00,2.712,10825.33
2022-09-03 08:30:00,3.18,12626.162
2022-09-03 08:45:00,3.581,14181.193
2022-09-03 09:00:00,3.991,15740.457
2022-09-03 09:15:00,4.442,17493.166
2022-09-03 09:30:00,4.76,18716.41
2022-09-03 09:45:00,5.0760000000000005,19858.645
2022-09-03 10:00:00,5.425,21355.584
2022-09-03 10:15:00,5.767,22449.236
2022-09-03 10:30:00,5.8950000000000005,22992.418
2022-09-03 10:45:00,6.149,23961.77
2022-09-03 11:00:00,6.288,24447.053
2022-09-03 11:15:00,6.44,25056.316
2022-09-03 11:30:00,6.54,25494.67
2022-09-03 11:45:00,6.598,25683.41
2022-09-03 12:00:00,6.626,25629.33
2022-09-03 12:15:00,6.601,25842.727
2022-09-03 12:30:00,6.578,25612.361
2022-09-03 12:45:00,6.533,25366.99
2022-09-03 13:00:00,6.452,24847.426
2022-09-03 13:15:00,6.3,24375.879
2022-09-03 13:30:00,6.129,23652.023
2022-09-03 13:45:00,5.897,22706.088
2022-09-03 14:00:00,5.672,21934.783
2022-09-03 14:15:00,5.447,21048.668
2022-09-03 14:30:00,5.067,19472.154
2022-09-03 14:45:00,4.703,18066.09
2022-09-03 15:00:00,4.271,16387.467
2022-09-03 15:15:00,3.846,14531.341
2022-09-03 15:30:00,3.473,13245.866
2022-09-03 15:45:00,3.139,11976.945
2022-09-03 16:00:00,2.66,9946.762
