Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.68,2862.9116
2022-09-01 07:15:00,1.164,4813.382
2022-09-01 07:30:00,1.612,6549.2944
2022-09-01 07:45:00,2.089,8462.452
2022-09-01 08:00:00,2.583,10369.214
2022-09-01 08:15:00,3.0540000000000003,12197.822
2022-09-01 08:30:00,3.526,14109.309
2022-09-01 08:45:00,4.066,16125.689
2022-09-01 09:00:00,4.399,16902.613
2022-09-01 09:15:00,3.898,15949.393
2022-09-01 09:30:00,5.013,20947.848
2022-09-01 09:45:00,5.433,21906.725
2022-09-01 10:00:00,5.43,18875.164
2022-09-01 10:15:00,6.263,24216.523
2022-09-01 10:30:00,6.247,24246.547
2022-09-01 10:45:00,6.458,25108.453
2022-09-01 11:00:00,6.164,24819.36
2022-09-01 11:15:00,7.013,26990.838
2022-09-01 11:30:00,6.691,26638.67
2022-09-01 11:45:00,6.703,26063.943
2022-09-01 12:00:00,6.9670000000000005,27103.5
2022-09-01 12:15:00,6.88,26868.168
2022-09-01 12:30:00,7.236,28874.172
2022-09-01 12:45:00,5.636,21956.97
2022-09-01 13:00:00,6.255,16835.553
2022-09-01 13:15:00,6.881,25699.826
2022-09-01 13:30:00,5.49,21766.264
2022-09-01 13:45:00,4.916,16636.754
2022-09-01 14:00:00,4.673,14071.541
2022-09-01 14:15:00,5.479,23358.705
2022-09-01 14:30:00,4.054,14473.42
2022-09-01 14:45:00,3.442,10998.037
2022-09-01 15:00:00,4.447,16355.312
2022-09-01 15:15:00,2.761,10356.643
2022-09-01 15:30:00,1.309,4638.095
2022-09-01 15:45:00,0.549,1557.485
2022-09-01 16:00:00,0.05,238.6683
2022-09-01 16:15:00,0.334,1547.4956
2022-09-01 16:30:00,0.5760000000000001,2068.5513
2022-09-01 16:45:00,0.456,2024.7341
2022-09-01 17:00:00,0.606,2231.309
2022-09-01 17:15:00,0.474,1734.7587
2022-09-01 17:30:00,0.313,1113.4155
2022-09-01 17:45:00,0.222,851.8779
2022-09-01 18:00:00,0.147,499.79477
2022-09-01 18:15:00,0.043,127.9199
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.48,1889.4253
2022-09-02 07:15:00,0.679,2775.6213
2022-09-02 07:30:00,0.913,3683.9026
2022-09-02 07:45:00,1.188,4875.23
2022-09-02 08:00:00,1.776,7338.303
2022-09-02 08:15:00,2.198,8672.238
2022-09-02 08:30:00,2.211,8753.987
2022-09-02 08:45:00,2.347,9173.743
2022-09-02 09:00:00,2.986,12540.2295
2022-09-02 09:15:00,3.351,12842.587
