Time,generation(kWh),power(W)
2023-08-01 07:00:00,2.358,9650.624
2023-08-01 07:15:00,3.247,13159.056
2023-08-01 07:30:00,4.138,16733.484
2023-08-01 07:45:00,5.01,20150.146
2023-08-01 08:00:00,5.992,24089.104
2023-08-01 08:15:00,6.881,27796.8
2023-08-01 08:30:00,5.884,21406.55
2023-08-01 08:45:00,10.287,40957.516
2023-08-01 09:00:00,9.84,41533.08
2023-08-01 09:15:00,11.957,46921.418
2023-08-01 09:30:00,13.499,54427.188
2023-08-01 09:45:00,12.052,43024.68
2023-08-01 10:00:00,12.906,52061.67
2023-08-01 10:15:00,12.764,46805.625
2023-08-01 10:30:00,15.361,61727.824
2023-08-01 10:45:00,16.111,55542.438
2023-08-01 11:00:00,16.31,63287.977
2023-08-01 11:15:00,16.399,62999.926
2023-08-01 11:30:00,16.492,64261.184
2023-08-01 11:45:00,13.669,53674.08
2023-08-01 12:00:00,15.72,65653.53
2023-08-01 12:15:00,15.86,58029.527
2023-08-01 12:30:00,13.079,50707.562
2023-08-01 12:45:00,11.02,45124.215
2023-08-01 13:00:00,8.869,30551.268
2023-08-01 13:15:00,4.871,17224.3
2023-08-01 13:30:00,5.676,23140.068
2023-08-01 13:45:00,5.838,22069.674
2023-08-01 14:00:00,1.835,21566.988
2023-08-01 14:15:00,,
2023-08-01 14:30:00,,
2023-08-01 14:45:00,,
2023-08-01 15:00:00,,
2023-08-01 15:15:00,,
2023-08-01 15:30:00,,
2023-08-01 15:45:00,,
2023-08-01 16:00:00,,
2023-08-01 16:15:00,,
2023-08-01 16:30:00,,
2023-08-01 16:45:00,,
2023-08-01 17:00:00,,
2023-08-01 17:15:00,,
2023-08-01 17:30:00,,
2023-08-01 17:45:00,,
2023-08-01 18:00:00,0.0,0.0
2023-08-01 18:15:00,0.0,0.0
2023-08-01 18:30:00,0.0,0.0
2023-08-01 18:45:00,0.0,0.0
2023-08-01 19:00:00,0.0,0.0
2023-08-02 07:00:00,,
2023-08-02 07:15:00,,
2023-08-02 07:30:00,,
2023-08-02 07:45:00,,
2023-08-02 08:00:00,,
2023-08-02 08:15:00,,
2023-08-02 08:30:00,,
2023-08-02 08:45:00,,
2023-08-02 09:00:00,,
2023-08-02 09:15:00,,
2023-08-02 09:30:00,,
2023-08-02 09:45:00,,
2023-08-02 10:00:00,,
2023-08-02 10:15:00,,
2023-08-02 10:30:00,,
2023-08-02 10:45:00,,
2023-08-02 11:00:00,,
2023-08-02 11:15:00,,
2023-08-02 11:30:00,,
2023-08-02 11:45:00,,
2023-08-02 12:00:00,,
2023-08-02 12:15:00,,
2023-08-02 12:30:00,,
2023-08-02 12:45:00,,
2023-08-02 13:00:00,,
2023-08-02 13:15:00,,
2023-08-02 13:30:00,,
2023-08-02 13:45:00,,
2023-08-02 14:00:00,,
2023-08-02 14:15:00,,
2023-08-02 14:30:00,,
2023-08-02 14:45:00,,
2023-08-02 15:00:00,,
2023-08-02 15:15:00,,
2023-08-02 15:30:00,,
2023-08-02 15:45:00,,
2023-08-02 16:00:00,,
2023-08-02 16:15:00,,
2023-08-02 16:30:00,,
2023-08-02 16:45:00,,
2023-08-02 17:00:00,,
2023-08-02 17:15:00,,
2023-08-02 17:30:00,,
2023-08-02 17:45:00,,
2023-08-02 18:00:00,0.0,0.0
2023-08-02 18:15:00,0.0,0.0
2023-08-02 18:30:00,0.0,0.0
2023-08-02 18:45:00,0.0,0.0
2023-08-02 19:00:00,0.0,0.0
2023-08-03 07:00:00,,
2023-08-03 07:15:00,,
2023-08-03 07:30:00,,
2023-08-03 07:45:00,,
2023-08-03 08:00:00,,
2023-08-03 08:15:00,,
2023-08-03 08:30:00,,
2023-08-03 08:45:00,,
2023-08-03 09:00:00,,
2023-08-03 09:15:00,,
2023-08-03 09:30:00,,
2023-08-03 09:45:00,,
2023-08-03 10:00:00,,
2023-08-03 10:15:00,,
2023-08-03 10:30:00,,
2023-08-03 10:45:00,,
2023-08-03 11:00:00,,
2023-08-03 11:15:00,,
2023-08-03 11:30:00,,
2023-08-03 11:45:00,,
2023-08-03 12:00:00,,
2023-08-03 12:15:00,,
2023-08-03 12:30:00,,
2023-08-03 12:45:00,,
2023-08-03 13:00:00,,
2023-08-03 13:15:00,,
2023-08-03 13:30:00,,
2023-08-03 13:45:00,,
2023-08-03 14:00:00,,
2023-08-03 14:15:00,,
2023-08-03 14:30:00,,
2023-08-03 14:45:00,,
2023-08-03 15:00:00,,
2023-08-03 15:15:00,,
2023-08-03 15:30:00,,
2023-08-03 15:45:00,,
2023-08-03 16:00:00,,
2023-08-03 16:15:00,,
2023-08-03 16:30:00,,
2023-08-03 16:45:00,,
2023-08-03 17:00:00,,
2023-08-03 17:15:00,,
2023-08-03 17:30:00,,
2023-08-03 17:45:00,,
2023-08-03 18:00:00,0.0,0.0
2023-08-03 18:15:00,0.0,0.0
2023-08-03 18:30:00,0.0,0.0
2023-08-03 18:45:00,0.0,0.0
2023-08-03 19:00:00,0.0,0.0
2023-08-04 07:00:00,,
2023-08-04 07:15:00,,
2023-08-04 07:30:00,,
2023-08-04 07:45:00,,
2023-08-04 08:00:00,,
2023-08-04 08:15:00,,
2023-08-04 08:30:00,,
2023-08-04 08:45:00,,
2023-08-04 09:00:00,,
2023-08-04 09:15:00,,
2023-08-04 09:30:00,,
2023-08-04 09:45:00,,
2023-08-04 10:00:00,,
2023-08-04 10:15:00,,
2023-08-04 10:30:00,,
2023-08-04 10:45:00,,
2023-08-04 11:00:00,,
2023-08-04 11:15:00,,
