Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.331,1411.6666
2022-09-01 07:15:00,0.5650000000000001,2341.0
2022-09-01 07:30:00,0.8160000000000001,3323.0
2022-09-01 07:45:00,1.038,4175.3335
2022-09-01 08:00:00,1.251,4992.3335
2022-09-01 08:15:00,1.369,5429.6665
2022-09-01 08:30:00,1.639,6649.3335
2022-09-01 08:45:00,1.959,7754.6665
2022-09-01 09:00:00,2.146,8522.667
2022-09-01 09:15:00,1.984,6883.0
2022-09-01 09:30:00,2.252,8094.6665
2022-09-01 09:45:00,2.677,10681.667
2022-09-01 10:00:00,2.823,10980.667
2022-09-01 10:15:00,2.805,10775.667
2022-09-01 10:30:00,2.747,10657.333
2022-09-01 10:45:00,2.774,10864.333
2022-09-01 11:00:00,2.762,10000.667
2022-09-01 11:15:00,2.66,10956.667
2022-09-01 11:30:00,2.668,10405.0
2022-09-01 11:45:00,2.637,10627.0
2022-09-01 12:00:00,2.45,9555.333
2022-09-01 12:15:00,2.363,9199.333
2022-09-01 12:30:00,2.517,9910.667
2022-09-01 12:45:00,1.992,7522.0
2022-09-01 13:00:00,2.364,8285.333
2022-09-01 13:15:00,1.926,7676.0
2022-09-01 13:30:00,1.67,7466.3335
2022-09-01 13:45:00,2.169,8012.3335
2022-09-01 14:00:00,1.477,6014.0
2022-09-01 14:15:00,1.854,6926.6665
2022-09-01 14:30:00,1.58,5858.3335
2022-09-01 14:45:00,1.11,5119.3335
2022-09-01 15:00:00,1.417,5019.6665
2022-09-01 15:15:00,1.136,4261.0
2022-09-01 15:30:00,0.635,1970.6666
2022-09-01 15:45:00,0.246,730.6667
2022-09-01 16:00:00,0.0,0.0
2022-09-01 16:15:00,0.069,403.66666
2022-09-01 16:30:00,0.216,771.6667
2022-09-01 16:45:00,0.123,545.6667
2022-09-01 17:00:00,0.225,893.0
2022-09-01 17:15:00,0.172,614.3333
2022-09-01 17:30:00,0.106,361.0
2022-09-01 17:45:00,0.056,212.66667
2022-09-01 18:00:00,0.035,111.666664
2022-09-01 18:15:00,0.0,7.0
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.165,658.3333
2022-09-02 07:15:00,0.236,969.3333
2022-09-02 07:30:00,0.332,1349.0
2022-09-02 07:45:00,0.447,1854.6666
2022-09-02 08:00:00,0.71,2973.0
2022-09-02 08:15:00,0.936,3715.6667
2022-09-02 08:30:00,0.908,3553.6667
2022-09-02 08:45:00,1.005,3425.3333
2022-09-02 09:00:00,1.219,5235.3335
2022-09-02 09:15:00,1.555,5988.6665
2022-09-02 09:30:00,1.554,6163.6665
2022-09-02 09:45:00,1.596,5657.0
2022-09-02 10:00:00,1.506,5321.3335
2022-09-02 10:15:00,1.633,6650.3335
2022-09-02 10:30:00,2.036,9478.333
2022-09-02 10:45:00,1.926,8997.667
2022-09-02 11:00:00,2.401,9455.333
2022-09-02 11:15:00,2.393,9272.333
2022-09-02 11:30:00,2.342,9193.333
2022-09-02 11:45:00,2.231,8485.333
2022-09-02 12:00:00,2.24,8957.333
2022-09-02 12:15:00,1.624,5057.6665
2022-09-02 12:30:00,1.59,6733.6665
2022-09-02 12:45:00,1.616,4947.3335
2022-09-02 13:00:00,1.571,6554.0
2022-09-02 13:15:00,1.548,6133.0
2022-09-02 13:30:00,1.501,5612.0
2022-09-02 13:45:00,1.456,5646.6665
2022-09-02 14:00:00,1.441,5675.6665
2022-09-02 14:15:00,1.461,5124.6665
2022-09-02 14:30:00,1.395,5353.3335
2022-09-02 14:45:00,1.197,4566.3335
2022-09-02 15:00:00,1.22,5011.3335
2022-09-02 15:15:00,1.366,5553.3335
2022-09-02 15:30:00,1.325,4919.6665
2022-09-02 15:45:00,1.228,4532.3335
2022-09-02 16:00:00,0.901,3077.6667
2022-09-02 16:15:00,0.6,2198.6667
2022-09-02 16:30:00,0.363,1328.0
2022-09-02 16:45:00,0.282,1042.6666
2022-09-02 17:00:00,0.242,910.6667
2022-09-02 17:15:00,0.211,785.0
2022-09-02 17:30:00,0.148,537.6667
2022-09-02 17:45:00,0.122,473.33334
2022-09-02 18:00:00,0.07,220.33333
2022-09-02 18:15:00,0.018,47.333332
2022-09-02 18:30:00,0.0,0.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-03 07:00:00,0.389,1614.0
2022-09-03 07:15:00,0.5740000000000001,2390.0
2022-09-03 07:30:00,0.8240000000000001,3276.3333
2022-09-03 07:45:00,1.017,4133.0
2022-09-03 08:00:00,1.208,4781.0
2022-09-03 08:15:00,1.338,5288.3335
2022-09-03 08:30:00,1.525,6000.0
2022-09-03 08:45:00,1.88,7660.6665
2022-09-03 09:00:00,2.209,8750.667
2022-09-03 09:15:00,2.4130000000000003,9423.667
2022-09-03 09:30:00,2.501,9823.667
2022-09-03 09:45:00,2.644,10323.667
2022-09-03 10:00:00,2.643,10211.0
2022-09-03 10:15:00,2.451,9333.667
2022-09-03 10:30:00,2.459,9580.667
2022-09-03 10:45:00,2.501,9718.333
2022-09-03 11:00:00,2.5,9613.0
2022-09-03 11:15:00,2.391,9300.0
2022-09-03 11:30:00,2.378,9211.0
2022-09-03 11:45:00,2.321,8970.0
2022-09-03 12:00:00,2.283,8833.0
2022-09-03 12:15:00,2.223,8616.333
2022-09-03 12:30:00,2.17,8363.333
2022-09-03 12:45:00,1.962,7554.3335
2022-09-03 13:00:00,1.859,7135.3335
2022-09-03 13:15:00,1.678,6416.6665
2022-09-03 13:30:00,1.475,5702.0
2022-09-03 13:45:00,1.493,5827.6665
2022-09-03 14:00:00,1.474,5657.3335
2022-09-03 14:15:00,1.352,5102.6665
2022-09-03 14:30:00,1.176,4516.6665
2022-09-03 14:45:00,0.951,3548.6667
2022-09-03 15:00:00,0.912,3564.6667
2022-09-03 15:15:00,0.948,3648.6667
2022-09-03 15:30:00,0.933,3571.0
2022-09-03 15:45:00,0.954,3746.3333
2022-09-03 16:00:00,0.676,2229.6667
2022-09-03 16:15:00,0.435,1604.3334
2022-09-03 16:30:00,0.278,1024.0
2022-09-03 16:45:00,0.222,830.3333
2022-09-03 17:00:00,0.161,591.0
2022-09-03 17:15:00,0.119,449.33334
2022-09-03 17:30:00,0.096,354.0
2022-09-03 17:45:00,0.06,207.33333
2022-09-03 18:00:00,0.027,87.666664
2022-09-03 18:15:00,0.0,3.3333333
2022-09-03 18:30:00,0.0,0.0
2022-09-03 18:45:00,0.0,0.0
2022-09-03 19:00:00,0.0,0.0
2022-09-04 07:00:00,0.395,1572.3334
2022-09-04 07:15:00,0.633,2602.0
2022-09-04 07:30:00,0.853,3436.0
2022-09-04 07:45:00,1.041,4147.0
2022-09-04 08:00:00,1.169,4627.6665
2022-09-04 08:15:00,1.309,5103.0
2022-09-04 08:30:00,1.462,5918.6665
2022-09-04 08:45:00,1.926,7895.6665
2022-09-04 09:00:00,2.312,9130.667
2022-09-04 09:15:00,2.457,9562.0
2022-09-04 09:30:00,2.556,10074.333
2022-09-04 09:45:00,2.758,10712.0
2022-09-04 10:00:00,2.581,9632.333
2022-09-04 10:15:00,2.097,8173.0
2022-09-04 10:30:00,2.211,8676.0
2022-09-04 10:45:00,2.267,8751.667
2022-09-04 11:00:00,2.189,8515.0
2022-09-04 11:15:00,2.215,8590.0
2022-09-04 11:30:00,2.225,8663.0
2022-09-04 11:45:00,2.216,8547.0
2022-09-04 12:00:00,2.178,8442.667
2022-09-04 12:15:00,2.1630000000000003,8377.667
2022-09-04 12:30:00,2.119,8171.0
2022-09-04 12:45:00,1.907,7266.6665
2022-09-04 13:00:00,1.793,6862.0
2022-09-04 13:15:00,1.601,6135.3335
2022-09-04 13:30:00,1.054,3827.0
2022-09-04 13:45:00,1.022,4025.6667
2022-09-04 14:00:00,1.079,4159.3335
2022-09-04 14:15:00,1.068,4052.3333
2022-09-04 14:30:00,0.933,3605.6667
2022-09-04 14:45:00,0.728,2617.6667
