Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.193,820.3333
2022-09-01 07:15:00,0.295,1194.3334
2022-09-01 07:30:00,0.368,1489.3334
2022-09-01 07:45:00,0.479,1941.6666
2022-09-01 08:00:00,0.588,2334.6667
2022-09-01 08:15:00,0.6910000000000001,2738.6667
2022-09-01 08:30:00,0.806,3225.3333
2022-09-01 08:45:00,0.931,3661.3333
2022-09-01 09:00:00,0.991,3867.0
2022-09-01 09:15:00,0.762,3204.6667
2022-09-01 09:30:00,1.1,4427.3335
2022-09-01 09:45:00,1.358,5440.3335
2022-09-01 10:00:00,1.494,5865.0
2022-09-01 10:15:00,1.564,6111.0
2022-09-01 10:30:00,1.636,6450.0
2022-09-01 10:45:00,1.745,6796.0
2022-09-01 11:00:00,1.747,6583.0
2022-09-01 11:15:00,1.785,7292.0
2022-09-01 11:30:00,1.895,7475.0
2022-09-01 11:45:00,1.883,7063.6665
2022-09-01 12:00:00,1.983,7658.6665
2022-09-01 12:15:00,1.965,7608.3335
2022-09-01 12:30:00,2.076,7561.3335
2022-09-01 12:45:00,1.584,5837.6665
2022-09-01 13:00:00,1.747,5472.3335
2022-09-01 13:15:00,1.839,7478.6665
2022-09-01 13:30:00,1.504,6493.0
2022-09-01 13:45:00,1.647,4568.6665
2022-09-01 14:00:00,1.282,4007.3333
2022-09-01 14:15:00,1.426,5634.6665
2022-09-01 14:30:00,1.045,3623.0
2022-09-01 14:45:00,0.8300000000000001,3413.3333
2022-09-01 15:00:00,0.892,3327.0
2022-09-01 15:15:00,0.662,2318.6667
2022-09-01 15:30:00,0.348,1214.3334
2022-09-01 15:45:00,0.128,348.66666
2022-09-01 16:00:00,0.005,22.333334
2022-09-01 16:15:00,0.086,390.0
2022-09-01 16:30:00,0.135,477.0
2022-09-01 16:45:00,0.112,514.0
2022-09-01 17:00:00,0.156,558.3333
2022-09-01 17:15:00,0.112,400.33334
2022-09-01 17:30:00,0.067,226.33333
2022-09-01 17:45:00,0.047,179.66667
2022-09-01 18:00:00,0.026,85.0
2022-09-01 18:15:00,0.004,4.6666665
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.12,481.0
2022-09-02 07:15:00,0.174,718.3333
2022-09-02 07:30:00,0.239,957.0
2022-09-02 07:45:00,0.314,1301.0
2022-09-02 08:00:00,0.468,1924.0
2022-09-02 08:15:00,0.557,2172.3333
2022-09-02 08:30:00,0.5660000000000001,2276.6667
2022-09-02 08:45:00,0.611,2194.3333
2022-09-02 09:00:00,0.803,3353.0
2022-09-02 09:15:00,0.875,3290.3333
2022-09-02 09:30:00,0.922,3655.6667
2022-09-02 09:45:00,0.914,3682.6667
2022-09-02 10:00:00,0.924,3729.0
2022-09-02 10:15:00,1.182,4669.6665
2022-09-02 10:30:00,1.298,4597.3335
2022-09-02 10:45:00,1.255,6140.6665
2022-09-02 11:00:00,1.509,5846.6665
2022-09-02 11:15:00,1.518,5979.0
2022-09-02 11:30:00,1.544,5953.6665
2022-09-02 11:45:00,1.492,5826.3335
2022-09-02 12:00:00,1.652,6367.0
2022-09-02 12:15:00,1.026,4682.0
2022-09-02 12:30:00,1.237,4807.0
2022-09-02 12:45:00,1.287,5575.3335
2022-09-02 13:00:00,1.395,4455.3335
2022-09-02 13:15:00,1.439,5602.6665
2022-09-02 13:30:00,1.419,5476.3335
2022-09-02 13:45:00,1.405,5410.0
2022-09-02 14:00:00,1.352,5278.0
2022-09-02 14:15:00,1.356,5346.3335
2022-09-02 14:30:00,1.253,4806.6665
2022-09-02 14:45:00,1.144,4374.3335
2022-09-02 15:00:00,0.92,4100.6665
2022-09-02 15:15:00,0.932,3541.6667
2022-09-02 15:30:00,0.721,2710.6667
2022-09-02 15:45:00,0.658,2491.6667
2022-09-02 16:00:00,0.5740000000000001,2282.0
2022-09-02 16:15:00,0.443,1661.6666
2022-09-02 16:30:00,0.327,1209.0
2022-09-02 16:45:00,0.244,927.0
2022-09-02 17:00:00,0.189,694.6667
2022-09-02 17:15:00,0.14,518.3333
2022-09-02 17:30:00,0.101,372.0
2022-09-02 17:45:00,0.091,346.33334
2022-09-02 18:00:00,0.044,144.66667
2022-09-02 18:15:00,0.013,34.666668
2022-09-02 18:30:00,0.0,0.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-03 07:00:00,0.228,932.0
2022-09-03 07:15:00,0.305,1235.0
2022-09-03 07:30:00,0.367,1498.3334
2022-09-03 07:45:00,0.489,1982.0
2022-09-03 08:00:00,0.598,2393.6667
2022-09-03 08:15:00,0.7030000000000001,2771.0
2022-09-03 08:30:00,0.803,3205.6667
2022-09-03 08:45:00,0.924,3636.3333
2022-09-03 09:00:00,0.991,3895.3333
2022-09-03 09:15:00,1.092,4275.0
2022-09-03 09:30:00,1.183,4640.3335
2022-09-03 09:45:00,1.31,5170.3335
2022-09-03 10:00:00,1.433,5636.3335
2022-09-03 10:15:00,1.537,6013.3335
2022-09-03 10:30:00,1.658,6509.0
2022-09-03 10:45:00,1.727,6733.6665
2022-09-03 11:00:00,1.793,7002.0
2022-09-03 11:15:00,1.863,7270.6665
2022-09-03 11:30:00,1.927,7504.3335
2022-09-03 11:45:00,1.942,7587.0
2022-09-03 12:00:00,1.975,7669.0
2022-09-03 12:15:00,1.966,7612.0
2022-09-03 12:30:00,1.949,7574.3335
2022-09-03 12:45:00,1.942,7506.3335
2022-09-03 13:00:00,1.917,7438.0
2022-09-03 13:15:00,1.893,7332.3335
