Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.424,1801.0
2022-09-01 07:15:00,0.7020000000000001,2900.3333
2022-09-01 07:30:00,1.092,4545.3335
2022-09-01 07:45:00,1.468,5916.0
2022-09-01 08:00:00,1.8,7183.3335
2022-09-01 08:15:00,2.139,8478.333
2022-09-01 08:30:00,2.407,9620.0
2022-09-01 08:45:00,2.9370000000000003,11790.667
2022-09-01 09:00:00,3.349,13236.667
2022-09-01 09:15:00,3.021,11889.333
2022-09-01 09:30:00,3.472,15961.667
2022-09-01 09:45:00,4.149,16652.666
2022-09-01 10:00:00,4.349,16937.334
2022-09-01 10:15:00,4.554,18146.334
2022-09-01 10:30:00,4.672,18184.0
2022-09-01 10:45:00,4.809,18879.666
2022-09-01 11:00:00,4.481,17505.0
2022-09-01 11:15:00,5.214,20369.334
2022-09-01 11:30:00,5.006,19439.334
2022-09-01 11:45:00,5.104,19818.334
2022-09-01 12:00:00,5.1690000000000005,20247.666
2022-09-01 12:15:00,5.236,20350.0
2022-09-01 12:30:00,5.495,21560.334
2022-09-01 12:45:00,4.079,17123.0
2022-09-01 13:00:00,5.171,18822.0
2022-09-01 13:15:00,4.6530000000000005,17192.0
2022-09-01 13:30:00,3.912,15052.0
2022-09-01 13:45:00,4.5600000000000005,17000.0
2022-09-01 14:00:00,3.363,15237.0
2022-09-01 14:15:00,4.424,17044.0
2022-09-01 14:30:00,3.76,12780.667
2022-09-01 14:45:00,2.395,11375.0
2022-09-01 15:00:00,3.219,12843.333
2022-09-01 15:15:00,2.153,7858.0
2022-09-01 15:30:00,1.217,3930.3333
2022-09-01 15:45:00,0.528,1628.3334
2022-09-01 16:00:00,0.045,85.666664
2022-09-01 16:15:00,0.184,940.6667
2022-09-01 16:30:00,0.448,1650.0
2022-09-01 16:45:00,0.289,1248.6666
2022-09-01 17:00:00,0.464,1827.3334
2022-09-01 17:15:00,0.371,1333.6666
2022-09-01 17:30:00,0.246,863.0
2022-09-01 17:45:00,0.156,594.0
2022-09-01 18:00:00,0.114,395.33334
2022-09-01 18:15:00,0.04,109.0
2022-09-01 18:30:00,0.0,26.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.34,1352.0
2022-09-02 07:15:00,0.468,1923.0
2022-09-02 07:30:00,0.65,2639.6667
2022-09-02 07:45:00,0.841,3440.3333
2022-09-02 08:00:00,1.244,5149.0
2022-09-02 08:15:00,1.6,6344.6665
2022-09-02 08:30:00,1.619,6201.3335
2022-09-02 08:45:00,1.773,6542.6665
2022-09-02 09:00:00,2.136,9092.333
2022-09-02 09:15:00,2.624,10203.0
2022-09-02 09:30:00,2.714,10658.333
2022-09-02 09:45:00,2.825,10333.333
2022-09-02 10:00:00,2.715,9006.333
2022-09-02 10:15:00,3.108,12192.333
2022-09-02 10:30:00,3.543,16486.334
2022-09-02 10:45:00,3.424,14957.667
2022-09-02 11:00:00,4.097,16202.667
2022-09-02 11:15:00,4.192,16351.0
2022-09-02 11:30:00,4.2,16407.0
2022-09-02 11:45:00,4.127,15877.667
2022-09-02 12:00:00,4.304,17467.0
2022-09-02 12:15:00,2.942,10345.667
2022-09-02 12:30:00,3.154,13909.667
2022-09-02 12:45:00,3.5700000000000003,12629.0
2022-09-02 13:00:00,3.782,15936.0
2022-09-02 13:15:00,3.855,15578.333
2022-09-02 13:30:00,3.932,15347.333
2022-09-02 13:45:00,4.021,15647.0
2022-09-02 14:00:00,3.992,15687.667
2022-09-02 14:15:00,4.173,14572.667
2022-09-02 14:30:00,4.263,16158.333
2022-09-02 14:45:00,4.061,15781.0
2022-09-02 15:00:00,3.559,12232.667
2022-09-02 15:15:00,3.636,14512.0
2022-09-02 15:30:00,3.035,10087.333
2022-09-02 15:45:00,1.922,7176.0
2022-09-02 16:00:00,1.383,5092.0
2022-09-02 16:15:00,1.074,3745.6667
2022-09-02 16:30:00,0.776,2858.6667
2022-09-02 16:45:00,0.613,2233.3333
2022-09-02 17:00:00,0.526,1973.0
2022-09-02 17:15:00,0.436,1637.0
2022-09-02 17:30:00,0.32,1185.6666
2022-09-02 17:45:00,0.275,1064.6666
2022-09-02 18:00:00,0.182,606.0
2022-09-02 18:15:00,0.077,247.0
2022-09-02 18:30:00,0.0,52.0
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-03 07:00:00,0.517,2127.6667
2022-09-03 07:15:00,0.728,2990.0
2022-09-03 07:30:00,1.116,4546.3335
2022-09-03 07:45:00,1.47,6005.3335
2022-09-03 08:00:00,1.853,7387.0
2022-09-03 08:15:00,2.192,8751.667
2022-09-03 08:30:00,2.488,9681.0
2022-09-03 08:45:00,3.023,12216.667
2022-09-03 09:00:00,3.472,13656.0
2022-09-03 09:15:00,3.772,14835.667
2022-09-03 09:30:00,3.993,15681.333
2022-09-03 09:45:00,4.22,16564.666
2022-09-03 10:00:00,4.442,17376.334
2022-09-03 10:15:00,4.609,17994.666
2022-09-03 10:30:00,4.735,18476.666
2022-09-03 10:45:00,4.863,18902.334
2022-09-03 11:00:00,4.988,19426.334
2022-09-03 11:15:00,5.122,19942.0
2022-09-03 11:30:00,5.215,20302.0
2022-09-03 11:45:00,5.246,20376.0
2022-09-03 12:00:00,5.296,20537.0
2022-09-03 12:15:00,5.264,20456.0
2022-09-03 12:30:00,5.232,20278.0
2022-09-03 12:45:00,5.2330000000000005,20358.334
2022-09-03 13:00:00,5.181,20034.666
2022-09-03 13:15:00,5.053,19552.334
2022-09-03 13:30:00,4.9830000000000005,19332.0
2022-09-03 13:45:00,4.882,18854.0
2022-09-03 14:00:00,4.731,18206.666
2022-09-03 14:15:00,4.523,17471.666
2022-09-03 14:30:00,4.301,16747.334
2022-09-03 14:45:00,4.128,15910.333
2022-09-03 15:00:00,3.844,14661.667
2022-09-03 15:15:00,3.568,13792.667
2022-09-03 15:30:00,2.908,10365.333
2022-09-03 15:45:00,1.682,6067.0
2022-09-03 16:00:00,1.096,3997.0
2022-09-03 16:15:00,0.8300000000000001,3118.6667
2022-09-03 16:30:00,0.681,2535.0
2022-09-03 16:45:00,0.527,1947.3334
2022-09-03 17:00:00,0.375,1368.3334
2022-09-03 17:15:00,0.265,996.0
2022-09-03 17:30:00,0.223,828.3333
2022-09-03 17:45:00,0.154,544.0
2022-09-03 18:00:00,0.091,333.0
2022-09-03 18:15:00,0.042,127.333336
2022-09-03 18:30:00,0.0,32.0
2022-09-03 18:45:00,0.0,0.0
2022-09-03 19:00:00,0.0,0.0
2022-09-04 07:00:00,0.492,2033.6666
2022-09-04 07:15:00,0.739,3015.0
2022-09-04 07:30:00,1.153,4824.6665
2022-09-04 07:45:00,1.565,6305.6665
2022-09-04 08:00:00,1.911,7646.0
2022-09-04 08:15:00,2.247,8971.0
2022-09-04 08:30:00,2.593,10311.667
2022-09-04 08:45:00,3.165,12713.333
2022-09-04 09:00:00,3.585,14052.667
2022-09-04 09:15:00,3.831,15027.0
2022-09-04 09:30:00,4.113,16162.333
