Time,generation(kWh),power(W)
2022-09-01 07:00:00,2.259,9728.334
2022-09-01 07:15:00,3.982,16545.334
2022-09-01 07:30:00,5.582,22676.666
2022-09-01 07:45:00,7.1530000000000005,28835.668
2022-09-01 08:00:00,8.762,35088.0
2022-09-01 08:15:00,10.237,40637.0
2022-09-01 08:30:00,11.559,45805.0
2022-09-01 08:45:00,13.156,51699.664
2022-09-01 09:00:00,13.762,56381.664
2022-09-01 09:15:00,11.568,42894.664
2022-09-01 09:30:00,16.207,64301.336
2022-09-01 09:45:00,18.763,72229.664
2022-09-01 10:00:00,19.501,76152.0
2022-09-01 10:15:00,19.935,78032.0
2022-09-01 10:30:00,20.502,79702.664
2022-09-01 10:45:00,21.135,81582.0
2022-09-01 11:00:00,21.819,86751.67
2022-09-01 11:15:00,22.482,86813.33
2022-09-01 11:30:00,22.398,86789.336
2022-09-01 11:45:00,23.309,91617.33
2022-09-01 12:00:00,23.264,90167.664
2022-09-01 12:15:00,23.485,92922.33
2022-09-01 12:30:00,23.988,89398.0
2022-09-01 12:45:00,22.587,95595.67
2022-09-01 13:00:00,21.195,83041.67
2022-09-01 13:15:00,21.412,88421.336
2022-09-01 13:30:00,20.151,67931.67
2022-09-01 13:45:00,19.875,86190.33
2022-09-01 14:00:00,13.329,34659.664
2022-09-01 14:15:00,13.311,60680.0
2022-09-01 14:30:00,11.236,37067.668
2022-09-01 14:45:00,10.468,36929.664
2022-09-01 15:00:00,12.667,56500.668
2022-09-01 15:15:00,10.363,32781.668
2022-09-01 15:30:00,4.3420000000000005,15147.667
2022-09-01 15:45:00,1.809,5017.6665
2022-09-01 16:00:00,0.18,902.0
2022-09-01 16:15:00,1.258,5943.0
2022-09-01 16:30:00,1.842,6500.3335
2022-09-01 16:45:00,1.56,6812.0
2022-09-01 17:00:00,1.897,6719.667
2022-09-01 17:15:00,1.593,5845.333
2022-09-01 17:30:00,1.069,3813.6665
2022-09-01 17:45:00,0.801,3016.6665
2022-09-01 18:00:00,0.469,1569.3334
2022-09-01 18:15:00,0.127,423.6667
2022-09-01 18:30:00,0.0,78.666664
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
