Time,generation(kWh),power(W)
2022-09-01 07:00:00,,
2022-09-01 07:15:00,,
2022-09-01 07:30:00,,
2022-09-01 07:45:00,,
2022-09-01 08:00:00,,
2022-09-01 08:15:00,,
2022-09-01 08:30:00,,
2022-09-01 08:45:00,,
2022-09-01 09:00:00,,
2022-09-01 09:15:00,,
2022-09-01 09:30:00,,
2022-09-01 09:45:00,,
2022-09-01 10:00:00,,
2022-09-01 10:15:00,,
2022-09-01 10:30:00,,
2022-09-01 10:45:00,,
2022-09-01 11:00:00,,
2022-09-01 11:15:00,,
2022-09-01 11:30:00,,
2022-09-01 11:45:00,,
2022-09-01 12:00:00,,
2022-09-01 12:15:00,,
2022-09-01 12:30:00,,
2022-09-01 12:45:00,,
2022-09-01 13:00:00,,
2022-09-01 13:15:00,,
2022-09-01 13:30:00,,
2022-09-01 13:45:00,,
2022-09-01 14:00:00,,
2022-09-01 14:15:00,,
2022-09-01 14:30:00,,
2022-09-01 14:45:00,,
2022-09-01 15:00:00,,
2022-09-01 15:15:00,,
2022-09-01 15:30:00,,
2022-09-01 15:45:00,,
2022-09-01 16:00:00,,
2022-09-01 16:15:00,,
2022-09-01 16:30:00,,
2022-09-01 16:45:00,,
2022-09-01 17:00:00,,
2022-09-01 17:15:00,,
2022-09-01 17:30:00,,
2022-09-01 17:45:00,,
2022-09-01 18:00:00,0.0,0.0
2022-09-01 18:15:00,0.0,0.0
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,,
2022-09-02 07:15:00,,
2022-09-02 07:30:00,,
2022-09-02 07:45:00,,
2022-09-02 08:00:00,,
2022-09-02 08:15:00,,
2022-09-02 08:30:00,,
2022-09-02 08:45:00,,
2022-09-02 09:00:00,,
2022-09-02 09:15:00,,
2022-09-02 09:30:00,,
2022-09-02 09:45:00,,
2022-09-02 10:00:00,,
2022-09-02 10:15:00,,
2022-09-02 10:30:00,,
2022-09-02 10:45:00,,
2022-09-02 11:00:00,,
2022-09-02 11:15:00,,
2022-09-02 11:30:00,,
2022-09-02 11:45:00,,
2022-09-02 12:00:00,,
2022-09-02 12:15:00,,
2022-09-02 12:30:00,,
2022-09-02 12:45:00,,
2022-09-02 13:00:00,,
2022-09-02 13:15:00,,
2022-09-02 13:30:00,,
2022-09-02 13:45:00,,
2022-09-02 14:00:00,,
2022-09-02 14:15:00,,
2022-09-02 14:30:00,,
2022-09-02 14:45:00,,
2022-09-02 15:00:00,,
2022-09-02 15:15:00,,
2022-09-02 15:30:00,,
2022-09-02 15:45:00,,
2022-09-02 16:00:00,,
2022-09-02 16:15:00,,
2022-09-02 16:30:00,,
2022-09-02 16:45:00,,
2022-09-02 17:00:00,,
