Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.083,342.4927
2022-09-01 07:15:00,0.128,528.23413
2022-09-01 07:30:00,0.184,755.5147
2022-09-01 07:45:00,0.237,941.667
2022-09-01 08:00:00,0.286,1199.9982
2022-09-01 08:15:00,0.424,1695.947
2022-09-01 08:30:00,0.488,1926.6487
2022-09-01 08:45:00,0.49,1998.5021
2022-09-01 09:00:00,0.619,2406.1091
2022-09-01 09:15:00,0.761,2539.894
2022-09-01 09:30:00,0.925,3545.9902
2022-09-01 09:45:00,1.258,4617.336
2022-09-01 10:00:00,1.515,5952.884
2022-09-01 10:15:00,1.624,6373.0723
2022-09-01 10:30:00,1.642,6384.04
2022-09-01 10:45:00,1.644,6376.0283
2022-09-01 11:00:00,1.641,6373.7935
2022-09-01 11:15:00,1.643,6380.236
2022-09-01 11:30:00,1.641,6380.1074
2022-09-01 11:45:00,1.506,6078.6387
2022-09-01 12:00:00,1.643,6378.774
2022-09-01 12:15:00,1.643,6375.561
2022-09-01 12:30:00,1.642,6378.2744
2022-09-01 12:45:00,1.607,6162.6123
2022-09-01 13:00:00,1.522,6376.2153
2022-09-01 13:15:00,1.521,6373.6753
2022-09-01 13:30:00,1.456,5631.783
2022-09-01 13:45:00,1.57,6380.043
2022-09-01 14:00:00,1.367,6178.9424
2022-09-01 14:15:00,1.294,3783.4375
2022-09-01 14:30:00,1.395,5201.8203
2022-09-01 14:45:00,0.905,3263.6956
2022-09-01 15:00:00,1.357,5444.195
2022-09-01 15:15:00,0.984,3846.1584
2022-09-01 15:30:00,0.616,1630.8843
2022-09-01 15:45:00,0.229,720.42957
2022-09-01 16:00:00,0.02,35.869324
2022-09-01 16:15:00,0.068,371.7054
2022-09-01 16:30:00,0.187,676.46106
2022-09-01 16:45:00,0.12,494.52945
2022-09-01 17:00:00,0.173,674.7073
2022-09-01 17:15:00,0.152,559.79675
2022-09-01 17:30:00,0.105,371.07025
2022-09-01 17:45:00,0.067,249.6357
2022-09-01 18:00:00,0.046,158.46576
2022-09-01 18:15:00,0.015,40.994987
2022-09-01 18:30:00,0.0,0.0
2022-09-01 18:45:00,0.0,0.0
2022-09-01 19:00:00,0.0,0.0
2022-09-02 07:00:00,0.132,521.65356
2022-09-02 07:15:00,0.169,703.21704
2022-09-02 07:30:00,0.24,970.654
2022-09-02 07:45:00,0.3,1209.3196
2022-09-02 08:00:00,0.415,1706.7401
2022-09-02 08:15:00,0.546,2179.3958
2022-09-02 08:30:00,0.583,2273.1375
2022-09-02 08:45:00,0.601,2376.9573
2022-09-02 09:00:00,0.697,2652.0183
2022-09-02 09:15:00,0.881,3537.3198
2022-09-02 09:30:00,0.936,3718.7336
2022-09-02 09:45:00,1.036,3860.065
2022-09-02 10:00:00,1.05,4066.2983
2022-09-02 10:15:00,1.11,4891.552
2022-09-02 10:30:00,1.446,6200.6445
2022-09-02 10:45:00,1.512,6386.278
2022-09-02 11:00:00,1.612,6372.2544
2022-09-02 11:15:00,1.643,6379.341
2022-09-02 11:30:00,1.641,6381.401
2022-09-02 11:45:00,1.643,6381.2017
2022-09-02 12:00:00,1.642,6424.0054
2022-09-02 12:15:00,1.285,5345.203
2022-09-02 12:30:00,1.329,5476.08
2022-09-02 12:45:00,1.603,5693.975
2022-09-02 13:00:00,1.616,6375.5635
2022-09-02 13:15:00,1.578,6237.679
2022-09-02 13:30:00,1.64,6379.401
2022-09-02 13:45:00,1.644,6383.0854
2022-09-02 14:00:00,1.573,6382.2627
2022-09-02 14:15:00,1.626,6379.1616
2022-09-02 14:30:00,1.542,6381.4478
2022-09-02 14:45:00,1.601,6383.9995
2022-09-02 15:00:00,1.541,6373.038
2022-09-02 15:15:00,1.59,6379.606
2022-09-02 15:30:00,1.534,5818.2725
2022-09-02 15:45:00,1.383,5380.868
2022-09-02 16:00:00,1.076,4502.2256
2022-09-02 16:15:00,0.966,3623.6045
2022-09-02 16:30:00,0.717,2616.1824
2022-09-02 16:45:00,0.504,1888.4122
2022-09-02 17:00:00,0.395,1430.7421
2022-09-02 17:15:00,0.309,1161.7847
2022-09-02 17:30:00,0.216,776.7672
2022-09-02 17:45:00,0.142,528.394
2022-09-02 18:00:00,0.093,300.6964
2022-09-02 18:15:00,0.037,121.59173
2022-09-02 18:30:00,0.0,6.0756474
2022-09-02 18:45:00,0.0,0.0
2022-09-02 19:00:00,0.0,0.0
2022-09-03 07:00:00,0.101,411.90628
2022-09-03 07:15:00,0.137,564.25946
2022-09-03 07:30:00,0.188,750.70123
