Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.689,689.0
2022-09-01 08:00:00,5.295,5295.0
2022-09-01 09:00:00,11.363,11363.0
2022-09-01 10:00:00,15.111,15111.0
2022-09-01 11:00:00,21.115,21115.0
2022-09-01 12:00:00,22.266,22266.0
2022-09-01 13:00:00,23.922,23922.0
2022-09-01 14:00:00,19.85,19850.0
2022-09-01 15:00:00,13.205,13205.0
2022-09-01 16:00:00,7.235,7235.0
2022-09-01 17:00:00,1.277,1277.0
2022-09-01 18:00:00,1.312,1312.0
2022-09-01 19:00:00,0.156,156.0
2022-09-02 07:00:00,0.645,645.0
2022-09-02 08:00:00,2.895,2895.0
2022-09-02 09:00:00,7.24,7240.0
2022-09-02 10:00:00,11.645,11645.0
2022-09-02 11:00:00,15.541,15541.0
2022-09-02 12:00:00,19.026,19026.0
2022-09-02 13:00:00,16.653,16653.0
2022-09-02 14:00:00,17.923,17923.0
2022-09-02 15:00:00,18.522,18522.0
2022-09-02 16:00:00,15.784,15784.0
2022-09-02 17:00:00,9.966,9966.0
2022-09-02 18:00:00,4.41,4410.0
2022-09-02 19:00:00,0.332,332.0
2022-09-03 07:00:00,0.768,768.0
2022-09-03 08:00:00,5.514,5514.0
2022-09-03 09:00:00,11.819,11819.0
2022-09-03 10:00:00,17.422,17422.0
2022-09-03 11:00:00,21.353,21353.0
2022-09-03 12:00:00,23.485,23485.0
2022-09-03 13:00:00,24.228,24228.0
2022-09-03 14:00:00,23.007,23007.0
2022-09-03 15:00:00,20.368,20368.0
2022-09-03 16:00:00,16.01,16010.0
2022-09-03 17:00:00,10.203,10203.0
2022-09-03 18:00:00,3.667,3667.0
2022-09-03 19:00:00,0.216,216.0
2022-09-04 07:00:00,0.87,870.0
2022-09-04 08:00:00,5.847,5847.0
2022-09-04 09:00:00,12.238,12238.0
2022-09-04 10:00:00,17.816,17816.0
2022-09-04 11:00:00,22.062,22062.0
2022-09-04 12:00:00,24.093,24093.0
2022-09-04 13:00:00,24.497,24497.0
2022-09-04 14:00:00,23.214,23214.0
2022-09-04 15:00:00,20.714,20714.0
2022-09-04 16:00:00,16.519,16519.0
2022-09-04 17:00:00,10.754,10754.0
2022-09-04 18:00:00,3.986,3986.0
2022-09-04 19:00:00,0.221,221.0
2022-09-05 07:00:00,0.33,330.0
2022-09-05 08:00:00,2.847,2847.0
2022-09-05 09:00:00,8.566,8566.0
2022-09-05 10:00:00,9.668,9668.0
2022-09-05 11:00:00,16.342,16342.0
2022-09-05 12:00:00,23.918,23918.0
2022-09-05 13:00:00,24.133,24133.0
2022-09-05 14:00:00,22.572,22572.0
2022-09-05 15:00:00,19.684,19684.0
2022-09-05 16:00:00,12.75,12750.0
2022-09-05 17:00:00,7.917,7917.0
2022-09-05 18:00:00,3.393,3393.0
2022-09-05 19:00:00,0.237,237.0
2022-09-06 07:00:00,0.571,571.0
2022-09-06 08:00:00,2.692,2692.0
2022-09-06 09:00:00,7.894,7894.0
2022-09-06 10:00:00,16.641,16641.0
2022-09-06 11:00:00,20.651,20651.0
2022-09-06 12:00:00,22.326,22326.0
2022-09-06 13:00:00,20.38,20380.0
2022-09-06 14:00:00,20.297,20297.0
2022-09-06 15:00:00,20.179,20179.0
2022-09-06 16:00:00,16.36,16360.0
2022-09-06 17:00:00,9.827,9827.0
2022-09-06 18:00:00,3.253,3253.0
2022-09-06 19:00:00,0.155,155.0
2022-09-07 07:00:00,0.003,3.0
2022-09-07 08:00:00,0.231,231.0
2022-09-07 09:00:00,0.992,992.0
2022-09-07 10:00:00,2.595,2595.0
2022-09-07 11:00:00,2.922,2922.0
2022-09-07 12:00:00,2.386,2386.0
2022-09-07 13:00:00,2.36,2360.0
2022-09-07 14:00:00,3.922,3922.0
2022-09-07 15:00:00,4.13,4130.0
2022-09-07 16:00:00,3.257,3257.0
2022-09-07 17:00:00,1.949,1949.0
2022-09-07 18:00:00,0.823,823.0
2022-09-07 19:00:00,0.006,6.0
2022-09-08 07:00:00,0.969,969.0
2022-09-08 08:00:00,5.264,5264.0
2022-09-08 09:00:00,11.6,11600.0
2022-09-08 10:00:00,17.21,17210.0
2022-09-08 11:00:00,21.194,21194.0
2022-09-08 12:00:00,23.38,23380.0
2022-09-08 13:00:00,24.267,24267.0
2022-09-08 14:00:00,21.202,21202.0
2022-09-08 15:00:00,20.072,20072.0
2022-09-08 16:00:00,15.399,15399.0
2022-09-08 17:00:00,7.273,7273.0
2022-09-08 18:00:00,1.236,1236.0
2022-09-08 19:00:00,0.045,45.0
2022-09-09 07:00:00,0.748,748.0
2022-09-09 08:00:00,5.453,5453.0
2022-09-09 09:00:00,11.781,11781.0
2022-09-09 10:00:00,17.286,17286.0
2022-09-09 11:00:00,21.207,21207.0
2022-09-09 12:00:00,23.238,23238.0
2022-09-09 13:00:00,23.847,23847.0
2022-09-09 14:00:00,22.384,22384.0
2022-09-09 15:00:00,19.626,19626.0
2022-09-09 16:00:00,15.313,15313.0
2022-09-09 17:00:00,9.087,9087.0
2022-09-09 18:00:00,3.249,3249.0
2022-09-09 19:00:00,0.133,133.0
2022-09-10 07:00:00,0.517,517.0
2022-09-10 08:00:00,4.559,4559.0
2022-09-10 09:00:00,8.698,8698.0
2022-09-10 10:00:00,6.807,6807.0
2022-09-10 11:00:00,19.014,19014.0
2022-09-10 12:00:00,21.805,21805.0
2022-09-10 13:00:00,22.4,22400.0
2022-09-10 14:00:00,21.023,21023.0
2022-09-10 15:00:00,17.939,17939.0
2022-09-10 16:00:00,7.814,7814.0
2022-09-10 17:00:00,4.041,4041.0
2022-09-10 18:00:00,1.585,1585.0
2022-09-10 19:00:00,0.041,41.0
2022-09-11 07:00:00,0.576,576.0
2022-09-11 08:00:00,3.691,3691.0
2022-09-11 09:00:00,7.705,7705.0
2022-09-11 10:00:00,11.652,11652.0
2022-09-11 11:00:00,14.625,14625.0
2022-09-11 12:00:00,13.32,13320.0
2022-09-11 13:00:00,16.295,16295.0
2022-09-11 14:00:00,16.281,16281.0
2022-09-11 15:00:00,10.303,10303.0
2022-09-11 16:00:00,8.585,8585.0
2022-09-11 17:00:00,9.12,9120.0
2022-09-11 18:00:00,2.017,2017.0
2022-09-11 19:00:00,0.021,21.0
2022-09-12 07:00:00,0.615,615.0
2022-09-12 08:00:00,4.812,4812.0
2022-09-12 09:00:00,10.574,10574.0
2022-09-12 10:00:00,16.034,16034.0
2022-09-12 11:00:00,20.168,20168.0
2022-09-12 12:00:00,22.079,22079.0
2022-09-12 13:00:00,22.527,22527.0
2022-09-12 14:00:00,20.719,20719.0
2022-09-12 15:00:00,15.225,15225.0
2022-09-12 16:00:00,12.164,12164.0
2022-09-12 17:00:00,7.112,7112.0
2022-09-12 18:00:00,2.395,2395.0
2022-09-12 19:00:00,0.109,109.0
2022-09-13 07:00:00,0.692,692.0
2022-09-13 08:00:00,4.807,4807.0
2022-09-13 09:00:00,10.549,10549.0
2022-09-13 10:00:00,15.974,15974.0
2022-09-13 11:00:00,20.173,20173.0
2022-09-13 12:00:00,22.268,22268.0
2022-09-13 13:00:00,22.71,22710.0
2022-09-13 14:00:00,21.207,21207.0
2022-09-13 15:00:00,18.133,18133.0
2022-09-13 16:00:00,13.52,13520.0
2022-09-13 17:00:00,8.138,8138.0
2022-09-13 18:00:00,2.762,2762.0
2022-09-13 19:00:00,0.11,110.0
2022-09-14 07:00:00,0.565,565.0
2022-09-14 08:00:00,4.133,4133.0
2022-09-14 09:00:00,9.855,9855.0
2022-09-14 10:00:00,14.682,14682.0
2022-09-14 11:00:00,19.973,19973.0
2022-09-14 12:00:00,22.402,22402.0
2022-09-14 13:00:00,22.793,22793.0
2022-09-14 14:00:00,21.705,21705.0
2022-09-14 15:00:00,18.971,18971.0
2022-09-14 16:00:00,14.356,14356.0
2022-09-14 17:00:00,8.681,8681.0
2022-09-14 18:00:00,2.667,2667.0
2022-09-14 19:00:00,0.096,96.0
2022-09-15 07:00:00,0.645,645.0
2022-09-15 08:00:00,4.972,4972.0
2022-09-15 09:00:00,10.919,10919.0
2022-09-15 10:00:00,16.474,16474.0
2022-09-15 11:00:00,20.543,20543.0
2022-09-15 12:00:00,22.566,22566.0
2022-09-15 13:00:00,23.058,23058.0
2022-09-15 14:00:00,19.804,19804.0
2022-09-15 15:00:00,13.443,13443.0
2022-09-15 16:00:00,11.099,11099.0
2022-09-15 17:00:00,7.455,7455.0
2022-09-15 18:00:00,2.498,2498.0
2022-09-15 19:00:00,0.092,92.0
2022-09-16 07:00:00,0.847,847.0
2022-09-16 08:00:00,4.614,4614.0
2022-09-16 09:00:00,11.476,11476.0
2022-09-16 10:00:00,14.525,14525.0
2022-09-16 11:00:00,18.035,18035.0
2022-09-16 12:00:00,21.659,21659.0
2022-09-16 13:00:00,15.621,15621.0
2022-09-16 14:00:00,10.022,10022.0
2022-09-16 15:00:00,8.365,8365.0
2022-09-16 16:00:00,7.256,7256.0
2022-09-16 17:00:00,3.599,3599.0
2022-09-16 18:00:00,1.677,1677.0
2022-09-16 19:00:00,0.076,76.0
2022-09-17 07:00:00,0.577,577.0
2022-09-17 08:00:00,4.383,4383.0
2022-09-17 09:00:00,9.818,9818.0
2022-09-17 10:00:00,14.809,14809.0
2022-09-17 11:00:00,18.875,18875.0
2022-09-17 12:00:00,21.221,21221.0
2022-09-17 13:00:00,17.028,17028.0
2022-09-17 14:00:00,12.815,12815.0
2022-09-17 15:00:00,10.628,10628.0
2022-09-17 16:00:00,5.582,5582.0
2022-09-17 17:00:00,5.084,5084.0
2022-09-17 18:00:00,1.941,1941.0
2022-09-17 19:00:00,0.063,63.0
2022-09-18 07:00:00,0.387,387.0
2022-09-18 08:00:00,2.607,2607.0
2022-09-18 09:00:00,7.144,7144.0
2022-09-18 10:00:00,14.452,14452.0
2022-09-18 11:00:00,16.338,16338.0
2022-09-18 12:00:00,13.897,13897.0
2022-09-18 13:00:00,11.426,11426.0
2022-09-18 14:00:00,19.211,19211.0
2022-09-18 15:00:00,16.986,16986.0
2022-09-18 16:00:00,8.136,8136.0
2022-09-18 17:00:00,1.021,1021.0
2022-09-18 18:00:00,0.585,585.0
2022-09-18 19:00:00,0.019,19.0
2022-09-19 07:00:00,0.02,20.0
2022-09-19 08:00:00,1.301,1301.0
2022-09-19 09:00:00,7.504,7504.0
2022-09-19 10:00:00,9.248,9248.0
2022-09-19 11:00:00,13.753,13753.0
2022-09-19 12:00:00,13.885,13885.0
2022-09-19 13:00:00,19.714,19714.0
2022-09-19 14:00:00,19.454,19454.0
2022-09-19 15:00:00,16.004,16004.0
2022-09-19 16:00:00,11.733,11733.0
2022-09-19 17:00:00,7.184,7184.0
2022-09-19 18:00:00,1.555,1555.0
2022-09-19 19:00:00,0.0,0.0
2022-09-20 07:00:00,0.122,122.0
2022-09-20 08:00:00,1.115,1115.0
2022-09-20 09:00:00,3.876,3876.0
2022-09-20 10:00:00,4.129,4129.0
2022-09-20 11:00:00,9.019,9019.0
2022-09-20 12:00:00,1.731,1731.0
2022-09-20 13:00:00,6.157,6157.0
2022-09-20 14:00:00,8.423,8423.0
2022-09-20 15:00:00,7.937,7937.0
2022-09-20 16:00:00,4.826,4826.0
2022-09-20 17:00:00,2.594,2594.0
2022-09-20 18:00:00,1.077,1077.0
2022-09-20 19:00:00,0.017,17.0
2022-09-21 07:00:00,0.305,305.0
2022-09-21 08:00:00,2.729,2729.0
2022-09-21 09:00:00,9.292,9292.0
2022-09-21 10:00:00,15.593,15593.0
2022-09-21 11:00:00,17.501,17501.0
2022-09-21 12:00:00,19.965,19965.0
2022-09-21 13:00:00,20.683,20683.0
2022-09-21 14:00:00,16.616,16616.0
2022-09-21 15:00:00,17.566,17566.0
2022-09-21 16:00:00,16.087,16087.0
2022-09-21 17:00:00,8.361,8361.0
2022-09-21 18:00:00,1.733,1733.0
2022-09-21 19:00:00,0.04,40.0
2022-09-22 07:00:00,0.537,537.0
2022-09-22 08:00:00,3.9,3900.0
2022-09-22 09:00:00,7.699,7699.0
2022-09-22 10:00:00,15.678,15678.0
2022-09-22 11:00:00,15.309,15309.0
2022-09-22 12:00:00,13.27,13270.0
2022-09-22 13:00:00,16.415,16415.0
2022-09-22 14:00:00,14.889,14889.0
2022-09-22 15:00:00,17.157,17157.0
2022-09-22 16:00:00,13.225,13225.0
2022-09-22 17:00:00,6.768,6768.0
2022-09-22 18:00:00,1.818,1818.0
2022-09-22 19:00:00,0.038,38.0
2022-09-23 07:00:00,0.526,526.0
2022-09-23 08:00:00,4.417,4417.0
2022-09-23 09:00:00,9.668,9668.0
2022-09-23 10:00:00,14.445,14445.0
2022-09-23 11:00:00,18.571,18571.0
2022-09-23 12:00:00,20.347,20347.0
2022-09-23 13:00:00,14.018,14018.0
2022-09-23 14:00:00,11.891,11891.0
2022-09-23 15:00:00,16.214,16214.0
2022-09-23 16:00:00,12.64,12640.0
2022-09-23 17:00:00,6.144,6144.0
2022-09-23 18:00:00,0.555,555.0
2022-09-23 19:00:00,0.005,5.0
2022-09-24 07:00:00,0.151,151.0
2022-09-24 08:00:00,1.263,1263.0
2022-09-24 09:00:00,3.581,3581.0
2022-09-24 10:00:00,11.469,11469.0
2022-09-24 11:00:00,14.378,14378.0
2022-09-24 12:00:00,19.186,19186.0
2022-09-24 13:00:00,21.018,21018.0
2022-09-24 14:00:00,19.318,19318.0
2022-09-24 15:00:00,11.298,11298.0
2022-09-24 16:00:00,8.276,8276.0
2022-09-24 17:00:00,6.205,6205.0
2022-09-24 18:00:00,1.762,1762.0
2022-09-24 19:00:00,0.007,7.0
2022-09-25 07:00:00,0.423,423.0
2022-09-25 08:00:00,5.089,5089.0
2022-09-25 09:00:00,9.494,9494.0
2022-09-25 10:00:00,14.807,14807.0
2022-09-25 11:00:00,18.554,18554.0
2022-09-25 12:00:00,20.582,20582.0
2022-09-25 13:00:00,21.108,21108.0
2022-09-25 14:00:00,19.767,19767.0
2022-09-25 15:00:00,16.812,16812.0
2022-09-25 16:00:00,12.231,12231.0
2022-09-25 17:00:00,7.059,7059.0
2022-09-25 18:00:00,1.99,1990.0
2022-09-25 19:00:00,0.028,28.0
2022-09-26 07:00:00,0.482,482.0
2022-09-26 08:00:00,4.536,4536.0
2022-09-26 09:00:00,9.984,9984.0
2022-09-26 10:00:00,14.995,14995.0
2022-09-26 11:00:00,18.597,18597.0
2022-09-26 12:00:00,19.93,19930.0
2022-09-26 13:00:00,20.736,20736.0
2022-09-26 14:00:00,19.329,19329.0
2022-09-26 15:00:00,16.61,16610.0
2022-09-26 16:00:00,12.38,12380.0
2022-09-26 17:00:00,6.39,6390.0
2022-09-26 18:00:00,1.336,1336.0
2022-09-26 19:00:00,0.012,12.0
2022-09-27 07:00:00,0.135,135.0
2022-09-27 08:00:00,3.712,3712.0
