Time,generation(kWh),power(W)
2022-12-19 07:00:00,0.0,0.0
2022-12-19 08:00:00,0.175,175.0
2022-12-19 09:00:00,1.259,1259.0
2022-12-19 10:00:00,3.131,3131.0
2022-12-19 11:00:00,4.423,4423.0
2022-12-19 12:00:00,4.982,4982.0
2022-12-19 13:00:00,3.566,3566.0
2022-12-19 14:00:00,4.498,4498.0
2022-12-19 15:00:00,3.952,3952.0
2022-12-19 16:00:00,1.93,1930.0
2022-12-19 17:00:00,0.324,324.0
2022-12-19 18:00:00,0.138,138.0
2022-12-19 19:00:00,0.0,0.0
2022-12-20 07:00:00,0.0,0.0
2022-12-20 08:00:00,0.281,281.0
2022-12-20 09:00:00,1.167,1167.0
2022-12-20 10:00:00,2.05,2050.0
2022-12-20 11:00:00,3.28,3280.0
2022-12-20 12:00:00,4.149,4149.0
2022-12-20 13:00:00,4.07,4070.000000000001
2022-12-20 14:00:00,4.486,4486.0
2022-12-20 15:00:00,3.545,3545.0
2022-12-20 16:00:00,1.877,1877.0
2022-12-20 17:00:00,0.536,536.0
2022-12-20 18:00:00,0.12,120.0
2022-12-20 19:00:00,0.0,0.0
2022-12-21 07:00:00,0.0,0.0
2022-12-21 08:00:00,0.204,204.0
2022-12-21 09:00:00,1.365,1365.0
2022-12-21 10:00:00,3.056,3056.0
2022-12-21 11:00:00,4.201,4201.0
2022-12-21 12:00:00,4.881,4881.0
2022-12-21 13:00:00,4.662,4662.0
2022-12-21 14:00:00,4.8,4800.0
2022-12-21 15:00:00,3.75,3750.0
2022-12-21 16:00:00,2.0,2000.0
2022-12-21 17:00:00,0.349,349.0
2022-12-21 18:00:00,0.138,138.0
2022-12-21 19:00:00,0.0,0.0
2022-12-22 07:00:00,0.0,0.0
2022-12-22 08:00:00,0.321,321.0
2022-12-22 09:00:00,1.834,1834.0
2022-12-22 10:00:00,3.273,3273.0
2022-12-22 11:00:00,4.475,4475.0
2022-12-22 12:00:00,4.989,4989.0
2022-12-22 13:00:00,3.757,3757.0
2022-12-22 14:00:00,2.709,2709.0
2022-12-22 15:00:00,3.865,3865.0
2022-12-22 16:00:00,2.112,2112.0
2022-12-22 17:00:00,0.326,326.0
2022-12-22 18:00:00,0.134,134.0
2022-12-22 19:00:00,0.0,0.0
2022-12-23 07:00:00,0.0,0.0
2022-12-23 08:00:00,,
2022-12-23 09:00:00,,
2022-12-23 10:00:00,,
2022-12-23 11:00:00,,
2022-12-23 12:00:00,,
2022-12-23 13:00:00,,
2022-12-23 14:00:00,,
2022-12-23 15:00:00,,
2022-12-23 16:00:00,,
2022-12-23 17:00:00,,
2022-12-23 18:00:00,0.0,0.0
2022-12-23 19:00:00,0.0,0.0
2022-12-24 07:00:00,0.0,0.0
2022-12-24 08:00:00,0.292,292.0
2022-12-24 09:00:00,1.676,1676.0
2022-12-24 10:00:00,3.103,3103.0
2022-12-24 11:00:00,4.347,4347.0
2022-12-24 12:00:00,4.936,4936.0
