Time,generation(kWh),power(W)
2022-09-01 07:00:00,0.2,200.0
2022-09-01 08:00:00,1.803,1803.0
2022-09-01 09:00:00,5.56,5560.0
2022-09-01 10:00:00,8.953,8953.0
2022-09-01 11:00:00,13.095,13095.0
2022-09-01 12:00:00,14.491,14491.0
2022-09-01 13:00:00,14.819,14819.0
2022-09-01 14:00:00,13.133,13133.0
2022-09-01 15:00:00,8.486,8486.0
2022-09-01 16:00:00,4.617,4617.0
2022-09-01 17:00:00,0.666,666.0
2022-09-01 18:00:00,0.867,867.0
2022-09-01 19:00:00,0.104,104.0
2022-09-02 07:00:00,0.41,410.0
2022-09-02 08:00:00,1.612,1612.0
2022-09-02 09:00:00,4.278,4278.0
2022-09-02 10:00:00,7.005,7005.0
2022-09-02 11:00:00,9.52,9520.0
2022-09-02 12:00:00,12.466,12466.0
2022-09-02 13:00:00,10.74,10740.0
2022-09-02 14:00:00,10.592,10592.0
2022-09-02 15:00:00,9.882,9882.0
2022-09-02 16:00:00,7.161,7161.0
2022-09-02 17:00:00,2.12,2120.0
2022-09-02 18:00:00,1.988,1988.0
2022-09-02 19:00:00,0.219,219.0
2022-09-03 07:00:00,0.24,240.0
2022-09-03 08:00:00,1.874,1874.0
2022-09-03 09:00:00,5.753,5753.0
2022-09-03 10:00:00,9.564,9564.0
2022-09-03 11:00:00,13.272,13272.0
2022-09-03 12:00:00,15.361,15361.0
2022-09-03 13:00:00,15.735,15735.0
2022-09-03 14:00:00,13.644,13644.0
2022-09-03 15:00:00,10.57,10570.0
2022-09-03 16:00:00,7.59,7590.0
2022-09-03 17:00:00,4.275,4275.0
2022-09-03 18:00:00,1.55,1550.0
2022-09-03 19:00:00,0.107,107.0
2022-09-04 07:00:00,0.176,176.0
2022-09-04 08:00:00,1.721,1721.0
2022-09-04 09:00:00,5.778,5778.0
2022-09-04 10:00:00,9.617,9617.0
2022-09-04 11:00:00,13.622,13622.0
2022-09-04 12:00:00,15.667,15667.0
2022-09-04 13:00:00,15.716,15716.0
2022-09-04 14:00:00,13.555,13555.0
2022-09-04 15:00:00,10.508,10508.0
2022-09-04 16:00:00,7.527,7527.0
2022-09-04 17:00:00,4.161,4161.0
